datetime,open,high,low,close,volume
2026-01-30 09:15:00,331.0,331.0,324.9,328.75,39561
2026-01-30 09:45:00,328.75,330.6,328.1,329.75,23670
2026-01-30 10:15:00,329.75,330.45,328.65,330.2,17983
2026-01-30 10:45:00,330.15,331.9,329.55,331.25,16856
2026-01-30 11:15:00,331.25,332.6,330.4,330.5,19721
2026-01-30 11:45:00,330.5,331.45,330.1,330.6,16989
2026-01-30 12:15:00,330.4,331.15,329.4,330.0,14550
2026-01-30 12:45:00,329.65,331.2,329.5,331.0,20981
2026-01-30 13:15:00,331.4,333.0,330.85,333.0,18127
2026-01-30 13:45:00,332.75,333.5,332.1,332.45,18179
2026-01-30 14:15:00,332.8,333.3,330.0,330.0,27266
2026-01-30 14:45:00,330.0,332.45,329.0,331.95,52989
2026-01-30 15:15:00,331.95,332.9,330.3,331.5,37099
2026-02-01 09:15:00,331.8,334.9,331.8,334.4,14825
2026-02-01 09:45:00,334.4,336.9,334.4,335.4,14169
2026-02-01 10:15:00,335.4,340.3,335.3,339.65,27461
2026-02-01 10:45:00,339.65,342.95,338.4,340.65,22828
2026-02-01 11:15:00,340.65,345.8,339.15,343.9,149331
2026-02-01 11:45:00,343.85,346.8,342.85,343.5,61863
2026-02-01 12:15:00,343.5,344.1,335.25,341.2,68262
2026-02-01 12:45:00,341.65,341.95,339.65,339.7,11190
2026-02-01 13:15:00,339.7,340.0,336.0,338.0,10405
2026-02-01 13:45:00,338.25,338.95,336.3,336.65,5964
2026-02-01 14:15:00,336.65,337.35,336.25,336.6,1748
2026-02-01 14:45:00,336.75,336.75,334.6,334.7,9639
2026-02-01 15:15:00,334.3,334.9,331.0,333.15,24190
2026-02-02 09:15:00,335.0,335.0,326.5,330.35,44052
2026-02-02 09:45:00,330.35,331.25,329.6,329.85,9073
2026-02-02 10:15:00,329.85,330.0,328.0,328.25,7884
2026-02-02 10:45:00,328.25,328.5,325.2,326.4,14114
2026-02-02 11:15:00,326.35,327.35,325.1,326.75,12099
2026-02-02 11:45:00,326.75,326.85,325.6,326.35,6813
2026-02-02 12:15:00,326.35,327.85,326.35,326.9,2688
2026-02-02 12:45:00,326.9,330.65,326.9,329.95,66024
2026-02-02 13:15:00,330.85,330.85,328.85,329.45,9844
2026-02-02 13:45:00,329.45,330.8,329.45,330.4,7533
2026-02-02 14:15:00,330.4,332.1,329.3,332.1,10602
2026-02-02 14:45:00,332.1,334.9,331.5,334.4,22075
2026-02-02 15:15:00,334.4,335.0,333.8,333.8,19655
2026-02-03 09:15:00,345.0,345.0,336.95,337.0,45937
2026-02-03 09:45:00,337.25,338.9,335.45,336.45,36094
2026-02-03 10:15:00,336.45,337.8,336.0,337.05,45468
2026-02-03 10:45:00,337.05,337.45,336.7,337.1,11649
2026-02-03 11:15:00,337.05,338.0,336.2,337.95,24968
2026-02-03 11:45:00,338.0,338.35,336.65,336.85,862059
2026-02-03 12:15:00,336.85,338.0,336.85,338.0,52725
2026-02-03 12:45:00,338.0,338.9,337.75,338.9,23147
2026-02-03 13:15:00,338.9,339.65,338.2,339.45,16745
2026-02-03 13:45:00,339.45,340.0,338.0,338.35,37521
2026-02-03 14:15:00,338.7,339.5,338.0,339.0,22312
2026-02-03 14:45:00,339.0,339.0,338.0,338.95,48516
2026-02-03 15:15:00,338.95,339.0,338.0,339.0,176703
2026-02-04 09:15:00,338.9,342.0,337.0,341.45,25403
2026-02-04 09:45:00,341.45,342.6,341.05,342.5,11930
2026-02-04 10:15:00,342.5,342.8,341.0,341.1,10030
2026-02-04 10:45:00,341.1,342.2,341.0,341.05,9463
2026-02-04 11:15:00,341.05,341.3,339.75,340.1,9184
2026-02-04 11:45:00,340.1,340.55,339.05,340.15,9346
2026-02-04 12:15:00,340.15,340.35,338.65,338.65,5425
2026-02-04 12:45:00,338.65,340.25,338.65,339.6,10884
2026-02-04 13:15:00,339.6,340.7,339.2,340.25,3125
2026-02-04 13:45:00,340.45,343.95,340.0,343.4,13004
2026-02-04 14:15:00,343.4,346.0,343.4,345.45,28528
2026-02-04 14:45:00,345.45,345.8,344.5,345.3,11532
2026-02-04 15:15:00,345.3,345.3,342.0,343.6,25656
2026-02-05 09:15:00,344.95,349.8,341.95,346.0,66628
2026-02-05 09:45:00,346.0,347.6,344.55,346.05,40202
2026-02-05 10:15:00,346.2,346.2,341.85,342.6,30986
2026-02-05 10:45:00,342.6,343.15,340.8,341.75,28595
2026-02-05 11:15:00,341.75,342.35,340.95,342.1,17175
2026-02-05 11:45:00,342.1,342.1,339.65,340.0,23522
2026-02-05 12:15:00,340.0,341.4,339.7,340.0,14976
2026-02-05 12:45:00,340.0,340.9,339.8,340.1,13230
2026-02-05 13:15:00,340.1,340.75,339.35,340.0,39991
2026-02-05 13:45:00,340.0,340.5,339.25,339.5,11176
2026-02-05 14:15:00,339.5,341.9,337.7,338.0,42140
2026-02-05 14:45:00,338.0,339.95,337.75,338.45,51796
2026-02-05 15:15:00,338.45,339.75,336.6,338.05,31295
2026-02-06 09:15:00,336.0,336.85,332.25,332.6,23244
2026-02-06 09:45:00,332.6,334.6,332.5,333.75,8035
2026-02-06 10:15:00,333.55,334.7,332.5,333.0,11032
2026-02-06 10:45:00,332.95,333.0,331.7,332.45,6564
2026-02-06 11:15:00,332.45,332.45,330.9,331.25,14728
2026-02-06 11:45:00,331.25,331.9,330.25,330.25,11143
2026-02-06 12:15:00,330.25,331.3,330.1,331.0,4811
2026-02-06 12:45:00,331.0,331.9,331.0,331.5,4448
2026-02-06 13:15:00,331.5,331.9,331.5,331.5,3084
2026-02-06 13:45:00,331.5,332.25,331.45,332.25,3205
2026-02-06 14:15:00,332.25,332.5,331.5,332.25,10052
2026-02-06 14:45:00,332.1,332.9,331.75,332.4,13419
2026-02-06 15:15:00,332.35,332.4,330.1,331.0,17098
