datetime,open,high,low,close,volume
2026-01-29 09:15:00,852.55,870.8,852.55,867.25,3374
2026-01-29 09:30:00,867.15,867.2,856.9,856.9,1182
2026-01-29 09:45:00,856.9,859.05,851.7,856.05,4590
2026-01-29 10:00:00,856.05,856.05,851.4,853.1,1573
2026-01-29 10:15:00,853.1,854.6,850.65,852.6,2250
2026-01-29 10:30:00,852.6,859.6,852.55,856.35,2391
2026-01-29 10:45:00,856.35,861.2,855.0,858.75,3254
2026-01-29 11:00:00,858.75,861.55,858.45,859.35,789
2026-01-29 11:15:00,859.35,862.1,859.35,860.4,255
2026-01-29 11:30:00,860.4,863.85,860.4,861.8,600
2026-01-29 11:45:00,861.8,861.85,859.05,860.9,1212
2026-01-29 12:00:00,860.9,861.4,858.5,860.7,433
2026-01-29 12:15:00,860.7,862.25,858.9,860.1,552
2026-01-29 12:30:00,859.8,859.95,857.55,858.0,631
2026-01-29 12:45:00,858.0,859.4,857.2,858.0,411
2026-01-29 13:00:00,858.0,860.0,858.0,858.0,2041
2026-01-29 13:15:00,858.0,858.15,857.4,858.05,106
2026-01-29 13:30:00,858.05,859.9,858.05,858.95,133
2026-01-29 13:45:00,858.95,860.0,858.0,858.25,311
2026-01-29 14:00:00,858.25,858.8,858.0,858.1,347
2026-01-29 14:15:00,858.1,859.6,858.1,858.9,436
2026-01-29 14:30:00,858.9,860.2,857.5,857.5,1276
2026-01-29 14:45:00,857.5,857.85,855.0,856.75,3271
2026-01-29 15:00:00,856.75,856.75,854.55,856.25,2662
2026-01-29 15:15:00,855.0,860.0,853.1,853.1,5581
2026-01-30 09:15:00,840.0,856.95,840.0,840.3,1796
2026-01-30 09:30:00,843.2,858.85,842.65,858.85,4484
2026-01-30 09:45:00,858.85,860.5,856.95,857.75,1565
2026-01-30 10:00:00,857.75,864.15,857.75,863.0,832
2026-01-30 10:15:00,863.0,864.65,859.6,861.85,436
2026-01-30 10:30:00,861.85,864.45,861.85,863.4,626
2026-01-30 10:45:00,863.4,865.65,862.6,865.0,380
2026-01-30 11:00:00,865.0,877.6,860.5,863.95,3145
2026-01-30 11:15:00,863.95,865.45,861.45,864.85,269
2026-01-30 11:30:00,864.85,866.9,864.65,865.55,299
2026-01-30 11:45:00,865.55,868.3,865.55,868.2,1965
2026-01-30 12:00:00,868.2,868.3,867.2,868.3,244
2026-01-30 12:15:00,868.3,868.35,866.55,867.0,551
2026-01-30 12:30:00,867.0,868.0,867.0,868.0,107
2026-01-30 12:45:00,868.0,868.3,867.0,867.1,221
2026-01-30 13:00:00,867.1,868.3,865.35,867.75,1342
2026-01-30 13:15:00,867.15,868.0,867.0,868.0,265
2026-01-30 13:30:00,868.0,868.7,867.0,867.95,379
2026-01-30 13:45:00,867.95,868.65,867.0,867.95,961
2026-01-30 14:00:00,868.0,868.3,867.15,867.45,293
