datetime,open,high,low,close,volume
2026-01-30 09:15:00,87.8,88.0,87.32,87.75,492818
2026-01-30 09:30:00,87.74,88.61,87.65,88.6,603556
2026-01-30 09:45:00,88.6,88.84,88.43,88.79,329812
2026-01-30 10:00:00,88.79,89.48,88.75,89.24,486938
2026-01-30 10:15:00,89.28,89.33,89.07,89.2,248035
2026-01-30 10:30:00,89.18,89.6,89.18,89.5,304312
2026-01-30 10:45:00,89.45,90.75,89.42,90.46,961000
2026-01-30 11:00:00,90.42,92.2,90.42,91.7,2690594
2026-01-30 11:15:00,91.65,94.27,91.6,92.7,6294718
2026-01-30 11:30:00,92.72,93.0,92.21,92.47,2379523
2026-01-30 11:45:00,92.43,92.61,92.05,92.26,1242093
2026-01-30 12:00:00,92.18,92.57,91.11,91.36,1454343
2026-01-30 12:15:00,91.36,91.7,91.15,91.65,902908
2026-01-30 12:30:00,91.69,91.69,91.3,91.55,393798
2026-01-30 12:45:00,91.58,91.79,91.4,91.45,397046
2026-01-30 13:00:00,91.42,91.52,90.88,91.1,741307
2026-01-30 13:15:00,91.07,91.22,90.3,90.45,794800
2026-01-30 13:30:00,90.41,90.74,90.36,90.46,596713
2026-01-30 13:45:00,90.46,90.89,90.3,90.86,444010
2026-01-30 14:00:00,90.84,91.25,90.72,91.07,681661
2026-01-30 14:15:00,91.07,91.07,90.83,90.92,324114
2026-01-30 14:30:00,90.93,91.02,90.43,90.5,454216
2026-01-30 14:45:00,90.5,91.07,90.4,90.86,553407
2026-01-30 15:00:00,90.9,91.1,90.71,90.87,560193
2026-01-30 15:15:00,90.85,90.95,90.5,90.8,1202592
2026-02-01 09:15:00,92.15,92.36,91.17,92.1,712826
2026-02-01 09:30:00,92.07,92.2,91.75,92.1,309056
2026-02-01 09:45:00,92.05,92.25,91.97,92.16,238787
2026-02-01 10:00:00,92.22,93.12,92.12,93.05,501378
2026-02-01 10:15:00,93.05,93.49,92.83,93.06,996884
2026-02-01 10:30:00,93.0,93.15,92.3,92.34,570389
2026-02-01 10:45:00,92.39,92.39,91.76,91.94,470975
2026-02-01 11:00:00,91.93,92.1,91.78,91.86,295122
2026-02-01 11:15:00,91.89,91.95,91.33,91.72,302947
2026-02-01 11:30:00,91.7,91.81,91.18,91.34,252115
2026-02-01 11:45:00,91.32,91.6,91.21,91.22,167763
2026-02-01 12:00:00,91.28,91.29,90.35,90.67,466589
2026-02-01 12:15:00,90.69,90.72,89.35,89.35,595912
2026-02-01 12:30:00,89.28,90.48,88.5,90.3,687032
2026-02-01 12:45:00,90.22,90.41,89.82,90.0,179621
2026-02-01 13:00:00,90.0,90.24,89.85,89.97,182473
2026-02-01 13:15:00,89.98,90.09,89.81,89.81,108598
2026-02-01 13:30:00,89.71,90.15,89.66,89.99,115184
2026-02-01 13:45:00,89.99,90.0,89.52,89.83,198896
2026-02-01 14:00:00,89.84,90.0,89.8,89.92,63746
2026-02-01 14:15:00,89.9,90.0,89.78,89.99,57421
2026-02-01 14:30:00,89.99,90.0,89.86,89.9,96622
2026-02-01 14:45:00,89.9,89.99,89.8,89.95,114241
2026-02-01 15:00:00,89.95,90.0,89.69,89.78,261428
2026-02-01 15:15:00,89.77,89.99,89.15,89.8,488076
2026-02-02 09:15:00,89.7,89.7,88.39,88.64,610794
2026-02-02 09:30:00,88.75,89.17,88.6,88.64,334482
2026-02-02 09:45:00,88.61,89.25,88.6,88.98,261787
2026-02-02 10:00:00,89.0,89.1,88.8,88.98,188092
2026-02-02 10:15:00,89.04,89.07,88.6,88.67,145785
2026-02-02 10:30:00,88.75,89.29,88.65,89.08,140792
2026-02-02 10:45:00,89.04,89.09,88.16,88.28,244070
2026-02-02 11:00:00,88.31,88.36,88.05,88.3,188309
2026-02-02 11:15:00,88.3,88.33,88.02,88.29,203595
2026-02-02 11:30:00,88.21,88.49,88.21,88.32,176068
2026-02-02 11:45:00,88.32,88.32,87.72,87.85,409006
2026-02-02 12:00:00,87.85,87.9,87.15,87.25,544242
2026-02-02 12:15:00,87.24,87.29,87.11,87.24,237989
2026-02-02 12:30:00,87.24,87.27,87.15,87.25,154764
2026-02-02 12:45:00,87.25,87.78,87.2,87.73,253571
2026-02-02 13:00:00,87.73,88.15,87.58,88.05,266016
2026-02-02 13:15:00,88.05,88.24,87.83,88.16,112967
2026-02-02 13:30:00,88.22,88.41,88.04,88.31,117326
2026-02-02 13:45:00,88.26,88.5,88.21,88.39,110478
2026-02-02 14:00:00,88.4,88.7,88.25,88.67,145240
2026-02-02 14:15:00,88.65,88.96,88.55,88.96,126127
2026-02-02 14:30:00,88.96,88.97,88.72,88.94,127826
2026-02-02 14:45:00,88.91,89.02,88.8,88.89,185424
2026-02-02 15:00:00,88.92,90.08,88.92,90.07,562364
2026-02-02 15:15:00,90.09,90.09,89.75,89.8,474451
2026-02-03 09:15:00,94.47,94.77,91.1,91.2,2646012
2026-02-03 09:30:00,91.11,91.48,91.0,91.03,884517
2026-02-03 09:45:00,91.0,91.53,90.96,91.14,466145
2026-02-03 10:00:00,91.13,91.67,91.05,91.52,418174
2026-02-03 10:15:00,91.5,92.08,91.41,91.82,864688
2026-02-03 10:30:00,91.75,92.0,91.48,91.6,486622
2026-02-03 10:45:00,91.6,91.75,91.45,91.7,284459
2026-02-03 11:00:00,91.66,91.8,91.6,91.78,193751
2026-02-03 11:15:00,91.76,91.9,91.7,91.88,175892
2026-02-03 11:30:00,91.8,91.99,91.8,91.93,318172
2026-02-03 11:45:00,91.87,91.91,91.56,91.6,281991
2026-02-03 12:00:00,91.66,92.37,91.51,92.19,567402
2026-02-03 12:15:00,92.12,92.46,91.85,91.96,678212
2026-02-03 12:30:00,91.97,92.0,91.7,91.75,292158
2026-02-03 12:45:00,91.71,92.13,91.7,91.85,599645
2026-02-03 13:00:00,91.8,91.92,91.72,91.8,151074
2026-02-03 13:15:00,91.75,91.9,91.71,91.72,171770
2026-02-03 13:30:00,91.77,91.9,91.6,91.9,234261
2026-02-03 13:45:00,91.81,91.89,91.58,91.6,205275
2026-02-03 14:00:00,91.65,91.84,91.58,91.66,199658
2026-02-03 14:15:00,91.72,91.79,91.52,91.53,236547
2026-02-03 14:30:00,91.57,91.64,91.4,91.5,271889
2026-02-03 14:45:00,91.49,91.55,91.41,91.45,299507
2026-02-03 15:00:00,91.55,91.55,90.93,91.01,740770
2026-02-03 15:15:00,91.04,91.26,90.8,91.0,817085
2026-02-04 09:15:00,91.27,91.27,90.45,90.72,638228
2026-02-04 09:30:00,90.72,91.19,90.71,91.04,398202
2026-02-04 09:45:00,91.04,91.2,90.89,91.11,228590
2026-02-04 10:00:00,91.14,91.55,90.95,91.53,335369
2026-02-04 10:15:00,91.53,91.68,91.2,91.26,224225
2026-02-04 10:30:00,91.26,91.29,91.05,91.25,152360
2026-02-04 10:45:00,91.25,91.45,91.18,91.26,83942
2026-02-04 11:00:00,91.26,91.5,91.21,91.27,104919
2026-02-04 11:15:00,91.27,91.38,91.15,91.22,78947
2026-02-04 11:30:00,91.25,91.39,91.1,91.15,74576
2026-02-04 11:45:00,91.2,91.39,91.13,91.38,65323
2026-02-04 12:00:00,91.38,91.4,91.23,91.35,67192
2026-02-04 12:15:00,91.35,91.37,91.2,91.35,128396
2026-02-04 12:30:00,91.35,91.38,91.25,91.37,63672
2026-02-04 12:45:00,91.37,91.37,91.18,91.23,87505
2026-02-04 13:00:00,91.23,91.3,91.18,91.29,35577
2026-02-04 13:15:00,91.29,91.36,91.2,91.32,56675
2026-02-04 13:30:00,91.35,91.39,91.27,91.37,65212
2026-02-04 13:45:00,91.36,91.47,91.32,91.44,91983
2026-02-04 14:00:00,91.48,91.48,91.34,91.39,74983
2026-02-04 14:15:00,91.39,91.47,91.26,91.3,136793
2026-02-04 14:30:00,91.36,91.55,91.3,91.5,136200
2026-02-04 14:45:00,91.5,91.6,91.42,91.53,107996
2026-02-04 15:00:00,91.59,91.97,91.59,91.95,353462
2026-02-04 15:15:00,91.96,92.0,91.71,91.75,437907
2026-02-05 09:15:00,91.84,91.84,91.15,91.51,321031
2026-02-05 09:30:00,91.5,91.67,91.3,91.3,228693
2026-02-05 09:45:00,91.3,91.7,91.3,91.68,191500
2026-02-05 10:00:00,91.69,91.75,91.4,91.65,193285
2026-02-05 10:15:00,91.65,91.78,91.56,91.6,115315
2026-02-05 10:30:00,91.6,91.65,91.4,91.52,119780
2026-02-05 10:45:00,91.5,91.55,91.37,91.4,68334
2026-02-05 11:00:00,91.37,91.55,91.32,91.55,63640
2026-02-05 11:15:00,91.55,91.6,91.38,91.5,53323
2026-02-05 11:30:00,91.5,91.69,91.4,91.68,99277
2026-02-05 11:45:00,91.68,91.77,91.5,91.72,115379
2026-02-05 12:00:00,91.72,91.77,91.52,91.62,52211
2026-02-05 12:15:00,91.62,91.64,91.4,91.5,48625
2026-02-05 12:30:00,91.44,91.52,91.35,91.46,66039
2026-02-05 12:45:00,91.5,91.5,91.4,91.49,66739
2026-02-05 13:00:00,91.49,91.5,91.43,91.46,29992
2026-02-05 13:15:00,91.46,91.63,91.4,91.45,55521
2026-02-05 13:30:00,91.41,91.55,91.4,91.52,40928
2026-02-05 13:45:00,91.55,91.58,91.45,91.5,51227
2026-02-05 14:00:00,91.5,91.62,91.42,91.52,53173
2026-02-05 14:15:00,91.52,91.59,91.45,91.48,64047
2026-02-05 14:30:00,91.52,91.57,91.45,91.5,71225
2026-02-05 14:45:00,91.54,91.54,91.36,91.45,117230
2026-02-05 15:00:00,91.45,91.47,91.3,91.39,145989
2026-02-05 15:15:00,91.43,91.47,91.15,91.2,347882
2026-02-06 09:15:00,91.29,91.29,90.32,90.42,456534
2026-02-06 09:30:00,90.42,90.57,90.1,90.19,280504
2026-02-06 09:45:00,90.19,90.47,90.16,90.28,191493
2026-02-06 10:00:00,90.34,90.35,90.11,90.23,151146
2026-02-06 10:15:00,90.22,90.44,90.15,90.3,148220
2026-02-06 10:30:00,90.3,90.32,90.15,90.2,106458
2026-02-06 10:45:00,90.18,90.23,89.95,90.15,158972
2026-02-06 11:00:00,90.15,90.52,90.14,90.45,109473
2026-02-06 11:15:00,90.45,90.57,90.37,90.54,51513
2026-02-06 11:30:00,90.54,90.71,90.4,90.68,152917
2026-02-06 11:45:00,90.68,90.75,90.48,90.55,58476
2026-02-06 12:00:00,90.55,90.72,90.4,90.51,55924
2026-02-06 12:15:00,90.52,90.62,90.42,90.49,58104
2026-02-06 12:30:00,90.49,90.6,90.41,90.54,64383
