datetime,open,high,low,close,volume
2026-02-01 09:15:00,164.11,164.12,158.37,158.89,765391
2026-02-01 09:25:00,158.89,160.02,158.0,159.6,377196
2026-02-01 09:35:00,159.5,160.09,159.02,159.9,222818
2026-02-01 09:45:00,159.9,160.07,159.4,159.82,176233
2026-02-01 09:55:00,159.85,159.95,159.59,159.7,82888
2026-02-01 10:05:00,159.7,159.8,159.55,159.78,41763
2026-02-01 10:15:00,159.78,160.8,159.75,160.75,191631
2026-02-01 10:25:00,160.75,161.2,160.1,160.3,234708
2026-02-01 10:35:00,160.4,160.7,159.83,159.95,117636
2026-02-01 10:45:00,159.95,160.55,159.94,160.45,82775
2026-02-01 10:55:00,160.45,160.56,159.81,159.96,116909
2026-02-01 11:05:00,159.84,160.25,159.8,160.15,76590
2026-02-01 11:15:00,160.15,160.25,158.81,158.92,391017
2026-02-01 11:25:00,158.93,161.06,158.85,158.95,1049181
2026-02-01 11:35:00,159.0,159.0,156.1,157.0,739173
2026-02-01 11:45:00,156.99,157.0,155.66,155.98,922628
2026-02-01 11:55:00,155.98,155.98,154.56,155.45,563375
2026-02-01 12:05:00,155.45,156.75,154.32,154.52,744830
2026-02-01 12:15:00,154.47,154.55,151.63,152.47,1347582
2026-02-01 12:25:00,152.4,154.85,151.36,152.52,1145918
2026-02-01 12:35:00,152.65,154.85,152.65,154.22,555084
2026-02-01 12:45:00,154.18,154.74,152.8,153.29,710466
2026-02-01 12:55:00,153.29,153.8,152.45,153.51,504439
2026-02-01 13:05:00,153.55,153.89,153.15,153.35,409508
2026-02-01 13:15:00,153.32,155.2,153.01,154.9,872715
2026-02-01 13:25:00,154.9,155.0,153.26,153.83,491027
2026-02-01 13:35:00,153.93,154.1,153.55,153.81,207714
2026-02-01 13:45:00,153.81,154.83,153.61,153.63,288579
2026-02-01 13:55:00,153.64,154.15,153.27,153.73,193560
2026-02-01 14:05:00,153.75,154.0,153.6,153.6,157809
2026-02-01 14:15:00,153.6,153.6,152.5,152.61,348713
