datetime,open,high,low,close,volume
2026-01-29 09:15:00,478.85,480.0,473.45,473.6,23271
2026-01-29 09:20:00,473.95,473.95,471.0,472.0,17349
2026-01-29 09:25:00,472.0,472.0,470.0,470.5,8741
2026-01-29 09:30:00,470.35,470.65,468.6,468.95,9920
2026-01-29 09:35:00,469.55,469.55,468.0,468.3,4711
2026-01-29 09:40:00,468.3,468.95,468.1,468.45,3548
2026-01-29 09:45:00,468.45,468.65,468.0,468.0,2123
2026-01-29 09:50:00,467.85,468.45,466.45,466.9,5845
2026-01-29 09:55:00,466.5,467.55,466.45,467.4,2445
2026-01-29 10:00:00,467.4,467.6,466.45,467.3,4052
2026-01-29 10:05:00,467.4,467.5,466.05,467.45,6488
2026-01-29 10:10:00,467.4,468.5,467.05,467.9,5993
2026-01-29 10:15:00,468.1,468.1,467.1,467.25,5180
2026-01-29 10:20:00,467.25,467.45,466.1,466.2,3822
2026-01-29 10:25:00,466.25,466.7,465.45,466.35,10933
2026-01-29 10:30:00,466.25,466.85,465.3,465.6,5355
2026-01-29 10:35:00,465.6,466.2,464.75,465.0,4583
2026-01-29 10:40:00,464.6,464.95,463.45,463.9,6410
2026-01-29 10:45:00,463.75,464.45,463.45,464.0,5225
2026-01-29 10:50:00,464.0,464.55,464.0,464.3,3476
2026-01-29 10:55:00,464.3,464.7,463.15,463.65,10358
2026-01-29 11:00:00,463.3,464.3,463.3,464.15,3228
2026-01-29 11:05:00,463.9,464.25,462.6,463.0,12199
2026-01-29 11:10:00,463.0,463.25,462.8,463.05,1361
2026-01-29 11:15:00,462.8,464.65,461.95,464.1,18877
2026-01-29 11:20:00,464.05,466.0,463.15,464.8,10464
2026-01-29 11:25:00,464.8,464.8,464.35,464.75,851
2026-01-29 11:30:00,464.7,465.0,464.3,464.5,1779
2026-01-29 11:35:00,464.55,464.65,463.9,463.9,1792
2026-01-29 11:40:00,464.15,464.65,463.8,464.55,1631
2026-01-29 11:45:00,464.55,464.65,463.95,464.3,1845
2026-01-29 11:50:00,464.35,464.45,463.95,464.2,1962
2026-01-29 11:55:00,464.2,464.45,463.85,464.0,793
2026-01-29 12:00:00,464.2,464.75,464.0,464.5,1927
2026-01-29 12:05:00,464.35,464.55,463.9,464.4,899
2026-01-29 12:10:00,464.4,464.4,464.1,464.35,466
2026-01-29 12:15:00,464.4,464.4,463.8,464.25,539
2026-01-29 12:20:00,464.25,464.35,463.9,464.3,238
2026-01-29 12:25:00,464.4,464.55,462.9,463.4,1863
2026-01-29 12:30:00,463.55,464.25,463.2,464.25,1353
2026-01-29 12:35:00,464.15,464.4,463.2,464.15,2018
2026-01-29 12:40:00,464.15,464.2,463.8,463.95,405
2026-01-29 12:45:00,463.9,463.9,463.4,463.9,181
2026-01-29 12:50:00,463.9,464.0,463.35,463.7,454
2026-01-29 12:55:00,463.75,464.1,462.2,462.6,2604
2026-01-29 13:00:00,462.6,462.9,462.3,462.6,727
2026-01-29 13:05:00,462.9,464.8,462.65,464.1,9199
2026-01-29 13:10:00,464.1,464.45,463.2,463.35,4161
2026-01-29 13:15:00,463.1,463.5,463.1,463.2,1073
2026-01-29 13:20:00,463.35,463.45,463.0,463.35,1700
2026-01-29 13:25:00,463.05,463.75,463.05,463.4,1322
2026-01-29 13:30:00,463.3,463.75,463.25,463.35,537
2026-01-29 13:35:00,463.6,463.65,463.35,463.5,435
2026-01-29 13:40:00,463.55,464.15,463.5,463.9,787
2026-01-29 13:45:00,464.0,464.2,463.7,464.0,1698
2026-01-29 13:50:00,463.95,464.3,463.95,464.25,1214
2026-01-29 13:55:00,464.25,464.6,464.0,464.3,1222
2026-01-29 14:00:00,464.5,467.6,464.5,467.0,30314
2026-01-29 14:05:00,467.1,467.1,465.45,465.75,1094
2026-01-29 14:10:00,465.75,466.85,465.6,466.25,1515
2026-01-29 14:15:00,466.3,466.5,464.55,464.8,4676
2026-01-29 14:20:00,464.8,464.95,464.25,464.3,2124
2026-01-29 14:25:00,464.3,464.5,464.05,464.4,562
2026-01-29 14:30:00,464.5,465.0,464.2,464.9,2112
2026-01-29 14:35:00,464.9,465.0,464.65,464.85,1045
2026-01-29 14:40:00,465.0,465.0,464.5,464.85,1057
2026-01-29 14:45:00,464.85,464.85,464.4,464.7,999
2026-01-29 14:50:00,464.75,464.75,464.15,464.4,1293
2026-01-29 14:55:00,464.3,464.55,464.1,464.45,721
2026-01-29 15:00:00,464.25,464.6,463.3,463.35,7886
2026-01-29 15:05:00,463.35,463.95,463.3,463.7,9684
2026-01-29 15:10:00,463.95,463.95,462.8,463.45,9868
2026-01-29 15:15:00,463.4,463.45,461.75,462.2,16540
2026-01-29 15:20:00,462.45,464.45,462.0,464.1,22741
2026-01-29 15:25:00,464.1,464.45,464.0,464.0,59230
2026-01-30 09:15:00,461.9,462.1,459.25,459.8,16289
2026-01-30 09:20:00,459.55,461.15,459.5,460.65,1867
2026-01-30 09:25:00,460.5,462.9,460.5,461.75,4150
2026-01-30 09:30:00,461.75,465.7,461.75,464.5,6234
2026-01-30 09:35:00,464.5,465.6,464.35,464.85,2546
2026-01-30 09:40:00,464.9,465.35,463.8,465.35,3707
