datetime,open,high,low,close,volume
2026-01-29 09:15:00,664.0,664.0,650.0,651.0,19697
2026-01-29 09:20:00,650.95,656.95,647.9,656.45,10999
2026-01-29 09:25:00,656.45,657.7,655.05,655.05,4754
2026-01-29 09:30:00,655.75,655.75,653.6,654.4,3431
2026-01-29 09:35:00,654.65,655.9,653.55,655.4,2534
2026-01-29 09:40:00,655.0,656.8,655.0,656.2,2145
2026-01-29 09:45:00,655.5,656.45,655.0,656.35,1476
2026-01-29 09:50:00,656.35,656.4,654.6,654.95,1839
2026-01-29 09:55:00,654.95,655.7,654.2,654.8,1227
2026-01-29 10:00:00,654.8,656.0,654.2,655.95,2072
2026-01-29 10:05:00,655.45,655.95,655.0,655.8,727
2026-01-29 10:10:00,655.8,657.6,655.35,657.5,2573
2026-01-29 10:15:00,657.5,660.3,657.35,659.05,4037
2026-01-29 10:20:00,659.05,660.75,658.7,659.85,3940
2026-01-29 10:25:00,659.9,659.9,656.95,656.95,1198
2026-01-29 10:30:00,656.85,657.75,655.25,657.45,933
2026-01-29 10:35:00,657.45,658.5,656.35,656.35,964
2026-01-29 10:40:00,656.4,656.9,656.05,656.05,253
2026-01-29 10:45:00,656.05,656.8,655.0,655.7,3894
2026-01-29 10:50:00,656.35,656.8,655.25,656.35,1185
2026-01-29 10:55:00,656.35,656.4,655.1,655.8,482
2026-01-29 11:00:00,655.25,656.7,655.25,656.4,531
2026-01-29 11:05:00,656.4,656.4,655.3,655.65,190
2026-01-29 11:10:00,655.65,655.7,655.3,655.3,66
2026-01-29 11:15:00,655.3,656.6,655.05,656.25,1440
2026-01-29 11:20:00,656.25,656.5,655.1,655.65,315
2026-01-29 11:25:00,655.35,655.65,655.0,655.0,904
2026-01-29 11:30:00,655.55,655.95,655.0,655.5,282
2026-01-29 11:35:00,655.6,656.0,655.0,656.0,637
2026-01-29 11:40:00,656.0,657.7,655.5,657.25,458
2026-01-29 11:45:00,657.25,662.1,657.0,661.4,6091
2026-01-29 11:50:00,662.1,662.1,659.55,659.55,3033
2026-01-29 11:55:00,659.55,660.7,658.7,659.2,3214
2026-01-29 12:00:00,659.4,660.25,659.0,659.95,714
2026-01-29 12:05:00,659.95,659.95,658.3,659.35,563
2026-01-29 12:10:00,659.95,660.0,658.5,659.5,528
2026-01-29 12:15:00,659.5,659.5,659.0,659.5,150
2026-01-29 12:20:00,659.5,661.5,658.9,659.95,113637
2026-01-29 12:25:00,660.55,660.55,656.4,656.8,649
2026-01-29 12:30:00,656.8,660.55,656.25,660.0,2866
2026-01-29 12:35:00,660.55,660.55,658.95,659.2,1019
2026-01-29 12:40:00,659.75,659.75,659.0,659.0,372
2026-01-29 12:45:00,659.0,660.35,658.5,659.75,712
2026-01-29 12:50:00,660.2,660.55,659.1,659.1,1530
2026-01-29 12:55:00,659.7,660.55,659.0,659.3,831
2026-01-29 13:00:00,659.3,661.05,659.3,660.4,734
2026-01-29 13:05:00,660.4,661.45,660.2,660.45,476
2026-01-29 13:10:00,660.45,661.05,660.3,661.0,377
2026-01-29 13:15:00,661.5,661.85,660.0,660.0,459
2026-01-29 13:20:00,660.0,661.35,659.6,659.6,535
2026-01-29 13:25:00,659.55,659.95,658.9,658.9,219
2026-01-29 13:30:00,659.5,662.0,659.3,660.75,5398
2026-01-29 13:35:00,661.4,661.4,659.0,659.95,4350
2026-01-29 13:40:00,659.95,660.15,658.9,660.0,1054
2026-01-29 13:45:00,660.0,660.6,660.0,660.0,982
2026-01-29 13:50:00,660.0,660.65,660.0,660.65,742
2026-01-29 13:55:00,660.15,662.0,660.15,660.8,1206
2026-01-29 14:00:00,660.8,661.0,660.8,661.0,204
2026-01-29 14:05:00,661.0,661.0,660.0,660.4,96
2026-01-29 14:10:00,660.4,661.6,660.05,661.0,2456
2026-01-29 14:15:00,661.0,661.3,660.45,660.45,612
2026-01-29 14:20:00,660.8,661.0,660.45,660.45,564
2026-01-29 14:25:00,661.0,661.95,660.95,660.95,5588
2026-01-29 14:30:00,660.95,661.0,659.35,659.35,2285
2026-01-29 14:35:00,659.8,660.0,659.25,659.4,2867
2026-01-29 14:40:00,659.55,659.95,659.35,659.95,418
2026-01-29 14:45:00,660.0,660.0,659.3,659.9,555
2026-01-29 14:50:00,659.85,659.85,658.9,659.6,1402
2026-01-29 14:55:00,659.6,659.6,659.0,659.2,168
2026-01-29 15:00:00,659.2,660.75,659.2,659.95,19841
2026-01-29 15:05:00,658.9,660.05,658.9,660.0,14501
2026-01-29 15:10:00,660.0,660.25,659.5,660.0,16729
2026-01-29 15:15:00,660.0,660.0,659.0,660.0,75104
2026-01-29 15:20:00,660.0,660.45,658.35,660.1,73770
2026-01-29 15:25:00,660.1,660.9,660.0,660.0,3623
2026-01-30 09:15:00,653.65,659.35,651.5,656.25,3560
2026-01-30 09:20:00,656.25,658.75,655.45,656.55,3449
2026-01-30 09:25:00,657.0,659.4,655.95,658.45,1301
2026-01-30 09:30:00,658.45,665.05,657.65,664.1,1731
2026-01-30 09:35:00,664.1,666.0,663.4,664.75,2175
2026-01-30 09:40:00,664.75,665.0,664.0,664.9,1682
2026-01-30 09:45:00,664.9,667.0,664.55,665.9,4978
2026-01-30 09:50:00,665.9,668.4,665.1,668.2,1942
2026-01-30 09:55:00,668.2,669.5,666.7,667.95,2630
2026-01-30 10:00:00,667.7,669.65,667.65,668.0,1601
2026-01-30 10:05:00,668.0,668.9,665.1,668.85,1985
2026-01-30 10:10:00,668.65,668.7,664.15,664.15,13113
2026-01-30 10:15:00,664.15,666.2,664.0,664.5,10634
2026-01-30 10:20:00,664.0,665.65,663.4,665.1,3744
2026-01-30 10:25:00,665.1,665.25,664.55,664.75,744
2026-01-30 10:30:00,664.9,665.75,664.6,664.6,997
2026-01-30 10:35:00,664.6,665.95,664.6,665.0,719
2026-01-30 10:40:00,665.0,665.7,664.9,665.25,680
2026-01-30 10:45:00,665.0,665.4,664.9,664.9,626
2026-01-30 10:50:00,664.9,665.2,663.7,663.9,1188
2026-01-30 10:55:00,663.9,665.05,663.9,664.25,725
2026-01-30 11:00:00,664.25,665.0,664.2,664.45,952
2026-01-30 11:05:00,664.35,664.35,661.35,661.55,6814
2026-01-30 11:10:00,661.5,662.3,661.1,662.05,841
2026-01-30 11:15:00,662.05,662.05,659.95,660.55,1755
2026-01-30 11:20:00,660.5,662.5,659.8,661.7,4374
2026-01-30 11:25:00,661.7,663.55,661.35,661.35,1031
2026-01-30 11:30:00,661.1,661.9,660.55,660.8,1555
2026-01-30 11:35:00,660.75,661.15,659.45,659.45,1094
2026-01-30 11:40:00,659.45,660.0,658.25,658.25,1927
2026-01-30 11:45:00,658.25,659.05,658.0,658.4,1100
2026-01-30 11:50:00,658.4,659.15,658.0,658.45,1148
2026-01-30 11:55:00,658.45,658.85,657.55,657.55,768
2026-01-30 12:00:00,657.9,658.1,657.05,657.15,781
2026-01-30 12:05:00,657.3,658.65,656.5,656.65,1313
2026-01-30 12:10:00,657.0,657.95,656.5,657.95,974
2026-01-30 12:15:00,657.95,657.95,656.3,657.1,2125
2026-01-30 12:20:00,657.55,657.7,656.8,657.7,746
2026-01-30 12:25:00,657.25,660.5,657.1,659.55,2124
2026-01-30 12:30:00,659.55,659.95,658.25,659.85,2924
2026-01-30 12:35:00,659.85,660.35,658.35,660.35,3224
2026-01-30 12:40:00,660.35,660.75,660.0,660.45,674
2026-01-30 12:45:00,660.45,663.6,660.35,663.6,10127
2026-01-30 12:50:00,664.0,664.15,662.4,663.3,2351
2026-01-30 12:55:00,663.3,663.6,662.5,663.55,1063
2026-01-30 13:00:00,663.55,663.6,660.75,661.2,1200
2026-01-30 13:05:00,661.2,661.9,660.15,660.15,754
2026-01-30 13:10:00,660.65,660.75,660.0,660.15,690
2026-01-30 13:15:00,660.15,660.25,659.9,660.0,742
2026-01-30 13:20:00,660.0,660.35,659.9,660.15,1037
2026-01-30 13:25:00,660.05,660.75,660.0,660.75,681
2026-01-30 13:30:00,660.75,661.15,660.0,660.15,748
2026-01-30 13:35:00,660.25,660.85,660.05,660.15,686
2026-01-30 13:40:00,660.9,661.25,660.15,660.6,674
2026-01-30 13:45:00,660.45,661.1,659.75,660.1,1897
2026-01-30 13:50:00,660.2,664.05,660.05,663.2,7055
2026-01-30 13:55:00,663.5,663.75,662.1,662.7,1270
2026-01-30 14:00:00,662.7,662.9,661.35,662.3,3233
2026-01-30 14:05:00,662.3,663.15,662.0,662.7,1733
2026-01-30 14:10:00,662.7,663.3,662.1,662.9,978
2026-01-30 14:15:00,662.9,663.6,661.0,661.9,7641
2026-01-30 14:20:00,661.9,662.4,660.3,661.4,1278
2026-01-30 14:25:00,661.4,661.75,660.15,660.65,912
2026-01-30 14:30:00,660.65,661.0,657.5,657.7,7225
2026-01-30 14:35:00,658.6,658.9,657.15,657.8,7061
2026-01-30 14:40:00,657.8,657.8,655.25,656.35,7074
2026-01-30 14:45:00,655.0,656.9,654.55,656.5,7973
2026-01-30 14:50:00,656.0,657.9,655.1,656.25,7555
2026-01-30 14:55:00,656.05,657.9,655.7,656.8,8140
2026-01-30 15:00:00,656.8,658.8,656.45,657.2,9195
2026-01-30 15:05:00,657.05,659.8,657.05,658.8,8969
2026-01-30 15:10:00,658.8,659.1,657.0,658.0,9974
2026-01-30 15:15:00,657.55,659.2,656.3,657.0,10814
2026-01-30 15:20:00,657.45,659.2,656.75,657.9,12477
2026-01-30 15:25:00,657.65,659.0,654.4,654.4,10722
2026-02-01 09:15:00,657.85,661.3,653.35,661.3,6094
2026-02-01 09:20:00,661.3,663.35,660.0,663.35,1255
2026-02-01 09:25:00,663.35,663.5,662.15,663.35,430
2026-02-01 09:30:00,663.35,663.35,660.5,662.0,911
2026-02-01 09:35:00,662.0,663.9,661.95,663.9,821
2026-02-01 09:40:00,663.9,663.9,662.85,663.9,299
2026-02-01 09:45:00,663.9,667.45,663.9,665.7,1496
2026-02-01 09:50:00,665.7,666.7,665.25,666.5,283
2026-02-01 09:55:00,666.5,667.25,664.55,667.0,894
2026-02-01 10:00:00,667.0,667.5,666.1,667.5,317
2026-02-01 10:05:00,667.5,668.6,667.0,668.55,990
2026-02-01 10:10:00,668.55,668.8,667.45,668.8,602
2026-02-01 10:15:00,668.8,669.0,667.95,668.15,401
2026-02-01 10:20:00,668.15,669.0,668.0,668.95,602
2026-02-01 10:25:00,668.95,670.0,668.4,669.8,582
2026-02-01 10:30:00,669.8,670.0,668.55,670.0,380
2026-02-01 10:35:00,670.0,671.3,669.3,671.0,663
2026-02-01 10:40:00,671.0,671.0,670.3,670.3,262
2026-02-01 10:45:00,670.0,674.0,670.0,673.75,3776
2026-02-01 10:50:00,672.95,675.0,672.65,674.15,1054
2026-02-01 10:55:00,674.15,674.5,671.3,671.95,1398
2026-02-01 11:00:00,671.95,672.95,671.45,672.45,693
2026-02-01 11:05:00,672.45,675.0,671.7,673.15,4008
2026-02-01 11:10:00,673.15,674.85,673.1,673.1,620
2026-02-01 11:15:00,673.1,674.0,672.2,673.85,835
2026-02-01 11:20:00,673.85,673.95,671.35,672.65,1860
2026-02-01 11:25:00,672.65,673.9,672.4,673.1,1129
2026-02-01 11:30:00,673.1,673.9,672.0,673.0,751
2026-02-01 11:35:00,673.0,673.0,672.05,672.9,574
2026-02-01 11:40:00,672.9,673.0,670.0,672.45,1718
2026-02-01 11:45:00,672.45,672.5,669.6,671.45,975
2026-02-01 11:50:00,670.35,672.0,669.3,671.5,2034
2026-02-01 11:55:00,671.5,671.65,668.8,669.75,1099
2026-02-01 12:00:00,669.75,672.0,668.85,671.45,2364
2026-02-01 12:05:00,671.45,673.0,669.35,672.35,1279
2026-02-01 12:10:00,672.35,673.0,668.65,670.55,778
2026-02-01 12:15:00,670.55,670.55,667.25,667.25,1205
2026-02-01 12:20:00,667.25,667.65,663.0,663.7,2369
2026-02-01 12:25:00,663.7,664.8,660.75,661.4,2116
2026-02-01 12:30:00,661.4,664.5,658.7,663.45,3339
2026-02-01 12:35:00,663.45,667.0,662.35,666.1,1229
2026-02-01 12:40:00,666.1,666.45,665.0,666.45,2240
2026-02-01 12:45:00,666.45,666.5,665.05,666.4,1268
2026-02-01 12:50:00,666.4,668.0,663.6,668.0,1957
2026-02-01 12:55:00,668.0,668.6,665.75,667.6,814
2026-02-01 13:00:00,667.6,669.15,666.55,668.2,872
2026-02-01 13:05:00,668.2,668.2,665.05,666.5,2434
2026-02-01 13:10:00,666.5,668.05,665.35,667.35,702
2026-02-01 13:15:00,667.35,668.85,665.95,667.65,904
2026-02-01 13:20:00,667.65,668.6,667.35,668.5,635
2026-02-01 13:25:00,668.5,668.55,663.45,664.45,878
2026-02-01 13:30:00,664.45,667.25,664.45,667.25,805
2026-02-01 13:35:00,667.25,667.25,666.2,667.25,871
2026-02-01 13:40:00,667.25,667.25,666.3,666.3,567
2026-02-01 13:45:00,666.3,667.25,666.3,667.25,646
2026-02-01 13:50:00,667.25,667.25,666.5,667.25,562
2026-02-01 13:55:00,666.5,667.25,665.1,667.2,922
2026-02-01 14:00:00,667.2,667.25,662.5,663.95,1926
2026-02-01 14:05:00,663.95,666.6,663.25,665.8,2094
2026-02-01 14:10:00,665.8,666.9,664.3,666.2,1061
2026-02-01 14:15:00,666.2,666.2,663.2,665.1,1093
2026-02-01 14:20:00,665.1,667.05,664.65,666.1,690
2026-02-01 14:25:00,666.1,667.05,666.1,667.05,545
2026-02-01 14:30:00,667.05,667.05,666.1,667.05,649
2026-02-01 14:35:00,667.05,667.05,666.3,667.05,578
2026-02-01 14:40:00,667.05,667.05,666.4,667.05,665
2026-02-01 14:45:00,667.05,667.05,664.85,666.2,1180
2026-02-01 14:50:00,666.2,667.05,665.7,666.8,668
2026-02-01 14:55:00,666.8,667.05,664.6,664.6,956
2026-02-01 15:00:00,664.6,666.05,664.5,665.25,1705
2026-02-01 15:05:00,665.25,665.55,661.0,661.0,2966
2026-02-01 15:10:00,661.0,662.0,660.0,660.5,1770
2026-02-01 15:15:00,660.5,660.5,658.4,660.0,1293
2026-02-01 15:20:00,660.0,660.5,658.7,659.75,2397
2026-02-01 15:25:00,659.75,660.5,658.2,660.5,1853
2026-02-02 09:15:00,658.1,658.85,648.25,649.75,6420
2026-02-02 09:20:00,649.75,650.8,647.6,648.45,3376
2026-02-02 09:25:00,648.45,648.5,645.6,647.15,2266
2026-02-02 09:30:00,647.2,654.15,646.55,653.0,1516
2026-02-02 09:35:00,653.0,653.4,652.0,652.55,494
2026-02-02 09:40:00,652.9,652.9,651.0,651.8,744
2026-02-02 09:45:00,651.8,652.35,650.6,651.35,1049
2026-02-02 09:50:00,651.35,653.9,650.1,653.15,1038
2026-02-02 09:55:00,653.15,653.95,652.25,652.25,1033
2026-02-02 10:00:00,652.25,653.15,651.5,652.1,221
2026-02-02 10:05:00,652.1,652.6,650.6,651.9,3836
2026-02-02 10:10:00,651.9,654.2,651.6,653.4,2384
2026-02-02 10:15:00,653.4,653.75,652.7,652.7,423
2026-02-02 10:20:00,652.4,652.4,650.6,651.25,310
2026-02-02 10:25:00,651.25,651.25,650.25,650.8,366
2026-02-02 10:30:00,650.8,651.0,650.25,650.25,35
2026-02-02 10:35:00,650.25,650.8,649.55,650.35,1038
2026-02-02 10:40:00,650.35,650.5,649.2,650.45,394
2026-02-02 10:45:00,650.45,650.45,648.7,648.9,689
2026-02-02 10:50:00,648.9,649.8,648.9,649.35,271
2026-02-02 10:55:00,649.35,649.35,648.05,648.4,95
2026-02-02 11:00:00,648.05,648.4,646.5,646.5,1168
2026-02-02 11:05:00,646.5,646.85,646.0,646.55,394
2026-02-02 11:10:00,646.55,646.55,645.65,646.25,110
2026-02-02 11:15:00,646.25,646.25,645.05,645.05,571
2026-02-02 11:20:00,645.05,645.2,643.55,644.5,801
2026-02-02 11:25:00,644.5,644.95,642.65,643.75,1452
