datetime,open,high,low,close,volume
2023-05-08 09:15:00,81.5,86.9,80.8,83.65,7492420
2023-05-15 09:15:00,83.6,87.5,81.55,82.6,4895029
2023-05-22 09:15:00,82.6,84.0,79.05,80.15,3506037
2023-05-29 09:15:00,80.8,85.85,79.4,84.0,6222132
2023-06-05 09:15:00,84.5,91.8,83.3,89.6,13996825
2023-06-12 09:15:00,90.1,99.9,89.4,99.1,21095270
2023-06-19 09:15:00,99.55,107.95,96.4,100.3,23675722
2023-06-26 09:15:00,101.0,110.8,99.7,108.5,14484417
2023-07-03 09:15:00,108.85,127.9,105.95,116.35,45546548
2023-07-10 09:15:00,116.75,117.65,108.55,113.55,18457835
2023-07-17 09:15:00,113.8,117.9,109.4,115.3,11164799
2023-07-24 09:15:00,115.85,116.9,110.2,111.8,8073653
2023-07-31 09:15:00,111.9,117.65,108.3,112.5,11538135
2023-08-07 09:15:00,112.4,124.9,112.05,122.35,31627943
2023-08-14 09:15:00,123.5,135.25,119.35,126.45,30917517
2023-08-21 09:15:00,127.4,143.3,126.45,135.25,24790468
2023-08-28 09:15:00,136.0,139.55,131.1,137.5,13875496
2023-09-04 09:15:00,138.0,158.9,135.1,152.75,39391320
2023-09-11 09:15:00,154.0,168.6,126.85,152.85,69096024
2023-09-18 09:15:00,153.7,154.35,138.05,146.2,15600987
2023-09-25 09:15:00,145.5,149.6,141.7,143.7,9274961
2023-10-02 09:15:00,143.65,147.2,134.55,145.45,7339368
2023-10-09 09:15:00,142.55,159.05,140.0,153.25,19267461
2023-10-16 09:15:00,153.4,176.9,150.65,164.3,48416137
2023-10-23 09:15:00,165.5,167.5,140.1,149.7,17936950
2023-10-30 09:15:00,150.45,167.9,147.35,156.6,21887989
2023-11-06 09:15:00,158.2,163.0,153.05,155.75,15003627
2023-11-13 09:15:00,155.4,167.4,153.6,164.95,10698924
2023-11-20 09:15:00,165.4,174.8,160.95,164.55,19625810
2023-11-27 09:15:00,165.7,170.0,150.0,152.75,9240757
2023-12-04 09:15:00,154.15,161.5,152.0,156.3,9167886
2023-12-11 09:15:00,156.6,159.0,150.55,151.5,5290656
2023-12-18 09:15:00,152.0,157.6,142.6,150.65,5608935
2023-12-25 09:15:00,151.0,155.05,147.85,154.0,5325293
2024-01-01 09:15:00,155.0,164.4,151.8,160.15,14903906
2024-01-08 09:15:00,161.25,164.2,155.0,159.45,11393778
2024-01-15 09:15:00,160.3,165.9,149.05,155.9,10881697
2024-01-22 09:15:00,157.0,185.0,141.15,181.95,26363413
2024-01-29 09:15:00,181.8,191.6,173.0,179.9,19555501
2024-02-05 09:15:00,180.0,194.5,172.0,173.65,12831901
2024-02-12 09:15:00,174.9,182.9,154.0,174.15,8650932
2024-02-19 09:15:00,174.1,183.9,172.7,180.0,7595169
2024-02-26 09:15:00,180.0,188.75,169.1,185.25,9552895
2024-03-04 09:15:00,184.9,187.95,167.2,172.05,5503722
2024-03-11 09:15:00,172.0,172.5,136.65,158.35,9469815
2024-03-18 09:15:00,158.3,162.0,148.0,155.15,3874604
2024-03-25 09:15:00,154.9,161.65,150.2,158.25,4846424
2024-04-01 09:15:00,161.95,179.8,159.2,170.85,8894840
2024-04-08 09:15:00,171.9,175.5,165.5,166.05,3858605
2024-04-15 09:15:00,164.6,169.75,158.15,164.05,3300413
2024-04-22 09:15:00,165.7,176.45,165.1,167.85,4650967
2024-04-29 09:15:00,168.7,180.95,168.6,178.5,9412383
2024-05-06 09:15:00,180.6,182.6,160.15,165.4,9380523
2024-05-13 09:15:00,169.8,189.0,160.55,186.45,20456563
2024-05-20 09:15:00,187.5,196.9,179.85,180.45,10091627
2024-05-27 09:15:00,180.9,181.7,161.5,164.2,6129385
2024-06-03 09:15:00,171.0,171.85,134.1,167.35,10982737
2024-06-10 09:15:00,167.35,182.5,163.6,177.77,12698482
2024-06-17 09:15:00,178.5,189.0,170.01,181.22,13390152
2024-06-24 09:15:00,179.39,214.5,176.6,211.02,60843219
2024-07-01 09:15:00,213.99,221.2,208.1,210.42,22289024
2024-07-08 09:15:00,211.0,228.3,208.4,215.57,23392981
2024-07-15 09:15:00,215.52,231.54,204.9,205.76,12838283
2024-07-22 09:15:00,205.0,243.2,195.3,232.49,23959889
2024-07-29 09:15:00,234.5,236.99,218.0,223.73,14384915
2024-08-05 09:15:00,218.0,229.5,207.6,217.79,11230164
2024-08-12 09:15:00,216.9,224.0,209.68,213.23,7015227
2024-08-19 09:15:00,213.95,229.99,212.75,220.56,9991136
2024-08-26 09:15:00,221.7,233.0,211.61,215.69,10756128
2024-09-02 09:15:00,215.69,218.25,205.64,208.05,7582043
2024-09-09 09:15:00,207.91,217.69,203.54,213.28,7734047
2024-09-16 09:15:00,214.44,215.5,198.99,206.39,4390684
2024-09-23 09:15:00,207.25,220.62,206.5,213.77,7606032
2024-09-30 09:15:00,215.0,237.86,212.9,226.84,31333478
2024-10-07 09:15:00,228.65,232.11,208.91,221.03,10915742
2024-10-14 09:15:00,220.93,254.9,218.26,249.63,42375906
2024-10-21 09:15:00,250.22,256.4,212.2,215.57,20395503
2024-10-28 09:15:00,217.8,237.7,214.3,235.46,8867851
2024-11-04 09:15:00,234.85,241.45,223.33,225.6,8294170
2024-11-11 09:15:00,224.0,228.45,205.25,206.07,5945796
2024-11-18 09:15:00,206.1,211.45,200.89,205.21,5236510
2024-11-25 09:15:00,212.22,219.88,208.08,211.28,5736565
2024-12-02 09:15:00,211.49,219.6,209.5,214.32,6523264
2024-12-09 09:15:00,213.85,225.7,207.55,212.95,9400085
2024-12-16 09:15:00,214.65,222.61,200.0,200.82,7296468
2024-12-23 09:15:00,203.65,204.23,190.4,192.85,5917488
2024-12-30 09:15:00,193.25,198.95,180.52,193.94,6158903
2025-01-06 09:15:00,192.0,193.0,165.15,166.43,6426827
2025-01-13 09:15:00,165.1,169.99,156.15,168.11,6419699
2025-01-20 09:15:00,169.0,175.99,157.2,159.04,4364815
2025-01-27 09:15:00,157.0,164.1,144.42,159.42,5479716
2025-02-03 09:15:00,157.0,164.74,153.68,159.04,4266798
2025-02-10 09:15:00,159.04,159.04,134.51,137.82,5174368
2025-02-17 09:15:00,137.85,147.62,134.23,141.46,4805879
2025-02-24 09:15:00,141.15,141.94,125.2,126.9,3378636
2025-03-03 09:15:00,127.0,142.2,120.0,140.55,7183659
2025-03-10 09:15:00,140.59,143.0,126.25,127.32,3579907
2025-03-17 09:15:00,128.25,139.86,125.3,138.88,6883717
2025-03-24 09:15:00,140.01,141.78,128.7,129.72,7208618
2025-03-31 09:15:00,129.0,141.68,128.8,130.93,5441482
2025-04-07 09:15:00,117.51,128.5,117.5,126.91,3375923
2025-04-14 09:15:00,129.3,137.27,128.61,135.57,2843471
2025-04-21 09:15:00,136.5,142.45,132.2,134.55,5532825
2025-04-28 09:15:00,134.55,136.89,128.1,130.38,2387884
2025-05-05 09:15:00,131.0,133.9,122.32,126.81,5328864
2025-05-12 09:15:00,129.4,144.0,129.4,143.57,5399718
2025-05-19 09:15:00,144.88,152.8,143.09,150.9,9819463
2025-05-26 09:15:00,152.0,157.0,149.2,154.41,7122777
2025-06-02 09:15:00,153.81,159.0,150.3,153.1,5580752
2025-06-09 09:15:00,154.25,164.5,150.25,152.7,9511981
2025-06-16 09:15:00,153.04,155.97,144.55,146.69,3694982
2025-06-23 09:15:00,145.0,163.88,145.0,162.75,7267615
2025-06-30 09:15:00,164.0,172.8,163.7,167.56,8122425
2025-07-07 09:15:00,167.56,170.5,158.5,159.88,3879273
2025-07-14 09:15:00,159.47,174.24,156.46,168.33,7672212
2025-07-21 09:15:00,168.0,196.75,164.43,181.91,138094725
2025-07-28 09:15:00,181.45,183.34,163.02,164.42,12184453
2025-08-04 09:15:00,164.8,173.4,158.0,159.56,7307096
2025-08-11 09:15:00,158.17,172.39,157.57,166.55,4620680
2025-08-18 09:15:00,169.0,181.9,165.27,178.18,10983299
2025-08-25 09:15:00,179.5,184.0,168.55,169.97,6111735
2025-09-01 09:15:00,170.0,183.95,169.26,177.23,5732820
2025-09-08 09:15:00,177.7,195.45,174.92,183.63,14012979
2025-09-15 09:15:00,183.51,191.0,181.76,184.82,8005530
2025-09-22 09:15:00,184.0,186.9,167.33,168.51,4082721
2025-09-29 09:15:00,168.9,178.5,163.0,177.5,4315078
2025-10-06 09:15:00,177.64,180.75,169.55,175.37,3457187
2025-10-13 09:15:00,172.63,176.09,168.38,172.81,3114260
2025-10-20 09:15:00,173.5,178.36,171.4,172.45,1948103
2025-10-27 09:15:00,173.0,174.1,163.5,164.17,3806398
2025-11-03 09:15:00,164.2,166.3,152.3,156.42,2329151
2025-11-10 09:15:00,156.49,159.8,152.61,155.22,2218769
2025-11-17 09:15:00,156.74,156.74,145.6,145.83,3151531
2025-11-24 09:15:00,146.08,148.4,141.1,143.97,2195012
2025-12-01 09:15:00,144.14,145.48,132.98,133.46,2512764
2025-12-08 09:15:00,133.1,134.78,125.0,131.38,4321220
2025-12-15 09:15:00,131.01,135.99,128.42,131.36,4353747
2025-12-22 09:15:00,132.6,135.5,129.36,129.72,1825678
2025-12-29 09:15:00,129.72,134.3,128.07,130.01,2753538
2026-01-05 09:15:00,130.54,130.83,121.23,123.85,2578478
2026-01-12 09:15:00,124.0,124.9,118.14,123.3,2015930
2026-01-19 09:15:00,122.9,127.48,110.32,111.22,5514817
2026-01-26 09:15:00,111.34,119.4,108.55,112.59,5609216
2026-02-02 09:15:00,112.1,127.7,108.29,119.68,6629514
2026-02-09 09:15:00,121.98,127.4,116.4,116.94,4362507
2026-02-16 09:15:00,116.94,121.63,115.1,115.41,2372312
2026-02-23 09:15:00,116.49,118.75,112.61,113.24,2012176
2026-03-02 09:15:00,108.6,115.98,106.0,106.96,3260897
2026-03-09 09:15:00,103.51,111.96,101.49,104.46,5116653
2026-03-16 09:15:00,104.4,109.0,99.81,103.16,4677072
2026-03-23 09:15:00,101.2,103.75,94.6,98.0,5046209
2026-03-30 09:15:00,98.0,104.48,92.0,102.93,4040097
2026-04-06 09:15:00,103.0,110.3,100.54,108.56,4051634
2026-04-13 09:15:00,105.95,115.4,104.3,113.04,3467678
2026-04-20 09:15:00,113.5,117.58,110.1,111.45,3838794
2026-04-27 09:15:00,112.0,116.8,111.51,113.06,1785344
2026-05-04 09:15:00,117.0,139.49,117.0,135.46,39944635
