datetime,open,high,low,close,volume
2026-02-01 09:15:00,36.26,36.68,35.7,36.57,2161367
2026-02-01 09:25:00,36.55,36.8,36.51,36.68,504507
2026-02-01 09:35:00,36.67,36.75,36.56,36.75,252472
2026-02-01 09:45:00,36.75,36.84,36.66,36.8,176817
2026-02-01 09:55:00,36.75,36.9,36.75,36.86,106720
2026-02-01 10:05:00,36.86,36.93,36.76,36.9,359155
2026-02-01 10:15:00,36.87,37.04,36.82,37.0,216733
2026-02-01 10:25:00,37.0,37.3,36.98,37.08,329816
2026-02-01 10:35:00,37.08,37.14,37.02,37.1,168483
2026-02-01 10:45:00,37.1,37.14,37.05,37.1,62217
2026-02-01 10:55:00,37.1,37.12,37.04,37.1,71850
2026-02-01 11:05:00,37.1,37.1,37.03,37.05,44355
2026-02-01 11:15:00,37.05,37.05,36.9,36.9,162439
2026-02-01 11:25:00,36.9,37.34,36.86,37.0,206827
2026-02-01 11:35:00,37.0,37.05,36.76,36.88,107756
2026-02-01 11:45:00,36.87,36.93,36.76,36.85,225894
2026-02-01 11:55:00,36.81,36.83,36.53,36.6,206045
2026-02-01 12:05:00,36.6,36.89,36.52,36.61,448444
2026-02-01 12:15:00,36.61,36.62,36.2,36.26,355702
2026-02-01 12:25:00,36.26,36.49,35.9,36.34,792139
2026-02-01 12:35:00,36.34,36.67,36.32,36.48,576437
2026-02-01 12:45:00,36.48,36.68,36.42,36.48,308223
2026-02-01 12:55:00,36.51,36.59,36.44,36.53,132768
2026-02-01 13:05:00,36.53,36.56,36.34,36.44,147994
2026-02-01 13:15:00,36.41,36.55,36.38,36.51,42169
2026-02-01 13:25:00,36.51,36.51,36.34,36.39,89568
2026-02-01 13:35:00,36.36,36.49,36.32,36.45,28712
2026-02-01 13:45:00,36.45,36.56,36.45,36.49,26735
2026-02-01 13:55:00,36.49,36.55,36.47,36.48,40294
2026-02-01 14:05:00,36.48,36.5,36.4,36.43,35227
2026-02-01 14:15:00,36.43,36.47,36.36,36.41,27963
2026-02-01 14:25:00,36.44,36.65,36.42,36.6,96868
2026-02-01 14:35:00,36.6,36.65,36.52,36.55,55360
2026-02-01 14:45:00,36.55,36.57,36.48,36.5,85706
2026-02-01 14:55:00,36.5,36.54,36.44,36.47,88659
2026-02-01 15:05:00,36.47,36.49,36.37,36.41,99159
2026-02-01 15:15:00,36.41,36.42,36.16,36.34,405521
2026-02-01 15:25:00,36.34,36.35,36.15,36.3,152214
2026-02-02 09:15:00,36.55,36.55,36.15,36.38,438749
2026-02-02 09:25:00,36.42,36.42,36.23,36.25,375907
2026-02-02 09:35:00,36.25,36.29,36.1,36.14,266931
2026-02-02 09:45:00,36.08,36.21,36.01,36.16,208260
2026-02-02 09:55:00,36.16,36.19,36.03,36.07,127691
2026-02-02 10:05:00,36.08,36.1,35.91,36.07,225826
2026-02-02 10:15:00,36.08,36.11,35.87,35.93,172120
2026-02-02 10:25:00,35.91,36.02,35.85,35.97,78061
2026-02-02 10:35:00,35.95,35.97,35.83,35.86,109004
2026-02-02 10:45:00,35.86,35.89,35.7,35.73,148689
2026-02-02 10:55:00,35.73,35.76,35.63,35.66,153131
2026-02-02 11:05:00,35.67,35.7,35.52,35.65,192564
2026-02-02 11:15:00,35.66,35.67,35.52,35.53,156823
2026-02-02 11:25:00,35.52,35.83,35.52,35.83,87732
2026-02-02 11:35:00,35.83,35.83,35.71,35.8,74314
2026-02-02 11:45:00,35.8,35.94,35.7,35.88,104728
2026-02-02 11:55:00,35.88,35.88,35.7,35.72,102908
2026-02-02 12:05:00,35.72,35.88,35.7,35.88,96845
2026-02-02 12:15:00,35.87,35.95,35.8,35.83,64574
2026-02-02 12:25:00,35.83,35.83,35.75,35.76,59407
2026-02-02 12:35:00,35.76,35.8,35.75,35.78,19469
2026-02-02 12:45:00,35.78,35.83,35.72,35.75,112629
2026-02-02 12:55:00,35.75,35.89,35.72,35.88,52166
2026-02-02 13:05:00,35.88,35.91,35.84,35.85,23792
2026-02-02 13:15:00,35.87,35.88,35.64,35.64,320075
2026-02-02 13:25:00,35.64,35.76,35.62,35.74,48329
2026-02-02 13:35:00,35.74,35.89,35.73,35.89,36531
2026-02-02 13:45:00,35.89,36.07,35.82,36.07,165271
2026-02-02 13:55:00,36.07,36.09,35.93,35.93,179874
2026-02-02 14:05:00,35.93,35.98,35.89,35.93,32835
2026-02-02 14:15:00,35.93,35.97,35.9,35.92,62740
2026-02-02 14:25:00,35.92,36.04,35.92,35.98,57723
2026-02-02 14:35:00,35.98,36.03,35.96,36.0,78701
2026-02-02 14:45:00,36.0,36.21,35.99,36.21,328965
2026-02-02 14:55:00,36.23,36.32,36.12,36.32,170193
2026-02-02 15:05:00,36.32,36.38,36.3,36.36,174896
2026-02-02 15:15:00,36.38,36.49,36.34,36.49,326254
2026-02-02 15:25:00,36.47,36.48,36.3,36.43,145152
2026-02-03 09:15:00,37.9,37.9,36.59,36.63,1225658
2026-02-03 09:25:00,36.64,36.75,36.5,36.57,738655
2026-02-03 09:35:00,36.55,36.58,36.4,36.4,370676
2026-02-03 09:45:00,36.37,36.64,36.3,36.57,279102
2026-02-03 09:55:00,36.57,36.63,36.5,36.58,159402
