datetime,open,high,low,close,volume
2023-05-08 09:15:00,814.0,845.0,806.1,838.25,245365
2023-05-15 09:15:00,838.0,853.9,817.0,834.5,182718
2023-05-22 09:15:00,834.5,872.0,828.65,855.85,151048
2023-05-29 09:15:00,855.95,865.0,848.0,854.3,151611
2023-06-05 09:15:00,855.4,886.0,841.2,874.35,312453
2023-06-12 09:15:00,878.6,880.0,848.0,860.1,154469
2023-06-19 09:15:00,860.1,934.5,847.65,917.4,3041995
2023-06-26 09:15:00,915.0,944.85,894.0,902.75,767771
2023-07-03 09:15:00,907.5,909.8,875.05,893.75,204363
2023-07-10 09:15:00,895.9,950.0,881.0,897.95,553819
2023-07-17 09:15:00,902.0,919.9,892.0,905.2,321263
2023-07-24 09:15:00,907.75,915.95,833.25,842.5,556981
2023-07-31 09:15:00,846.9,859.95,826.3,854.65,232667
2023-08-07 09:15:00,851.0,902.0,850.45,879.3,238912
2023-08-14 09:15:00,872.0,915.85,861.0,909.15,178783
2023-08-21 09:15:00,908.75,918.0,895.0,901.1,147392
2023-08-28 09:15:00,901.1,1118.5,898.7,1034.55,2492965
2023-09-04 09:15:00,1034.55,1069.15,965.0,996.25,878589
2023-09-11 09:15:00,995.0,1091.75,960.0,1037.35,631095
2023-09-18 09:15:00,1035.05,1065.0,1025.0,1048.6,447570
2023-09-25 09:15:00,1039.1,1110.0,1032.45,1089.55,773044
2023-10-02 09:15:00,1089.55,1111.0,1047.05,1088.95,530883
2023-10-09 09:15:00,1092.75,1092.75,1004.0,1008.6,274385
2023-10-16 09:15:00,1008.6,1039.3,995.0,1001.4,213406
2023-10-23 09:15:00,1006.0,1012.9,951.0,971.3,251030
2023-10-30 09:15:00,969.3,981.5,851.35,876.0,670628
2023-11-06 09:15:00,876.15,898.0,873.2,892.65,178389
2023-11-13 09:15:00,895.0,917.8,880.1,904.25,141054
2023-11-20 09:15:00,908.8,965.0,885.5,938.55,622570
2023-11-27 09:15:00,938.55,978.95,928.15,969.8,251505
2023-12-04 09:15:00,975.0,998.0,940.75,949.45,271548
2023-12-11 09:15:00,950.0,989.0,950.0,974.9,231027
2023-12-18 09:15:00,975.0,1145.95,975.0,1060.95,4836237
2023-12-25 09:15:00,1055.0,1077.15,1023.0,1028.4,329920
2024-01-01 09:15:00,1028.4,1175.0,1020.6,1077.7,1547115
