datetime,open,high,low,close,volume
2023-09-18 09:15:00,2.22,2.69,2.22,2.69,26920
2023-09-25 09:15:00,2.82,3.42,2.82,3.42,9060
2023-10-02 09:15:00,3.59,4.55,3.59,4.55,2650
2023-10-09 09:15:00,4.78,5.8,4.78,5.8,5840
2023-10-16 09:15:00,5.91,6.39,5.91,6.39,3280
2023-10-23 09:15:00,6.52,6.91,6.52,6.91,6780
2023-10-30 09:15:00,7.05,7.62,7.05,7.62,6710
2023-11-06 09:15:00,7.77,8.56,7.77,8.56,3090
2023-11-13 09:15:00,8.73,9.26,8.73,9.26,3590
2023-11-20 09:15:00,9.4,10.21,9.4,10.21,20620
2023-11-27 09:15:00,10.41,11.04,10.41,11.04,2720
2023-12-04 09:15:00,11.26,12.18,11.1,12.18,14000
2023-12-11 09:15:00,12.42,13.43,12.42,13.43,9040
2023-12-18 09:15:00,13.69,14.81,13.69,14.81,22150
2023-12-25 09:15:00,15.1,16.02,15.1,16.02,6570
2024-01-01 09:15:00,16.34,17.67,16.34,17.67,11030
2024-01-08 09:15:00,18.02,19.5,18.02,19.5,9490
2024-01-15 09:15:00,19.88,21.94,19.88,21.94,17820
2024-01-22 09:15:00,22.38,23.28,22.38,23.28,33730
2024-01-29 09:15:00,23.74,25.68,23.74,25.68,12320
2024-02-05 09:15:00,26.19,28.34,26.19,28.34,38360
2024-02-12 09:15:00,28.9,31.27,28.9,31.27,43550
2024-02-19 09:15:00,31.9,34.52,31.9,34.52,18380
2024-02-26 09:15:00,35.21,38.09,35.21,38.09,21800
2024-03-04 09:15:00,38.85,41.22,38.85,41.22,36730
2024-03-11 09:15:00,42.04,45.46,42.04,45.46,4832720
2024-03-18 09:15:00,46.37,50.18,46.37,50.18,16490
2024-03-25 09:15:00,51.0,53.24,51.0,53.24,320430
2024-04-01 09:15:00,54.3,58.76,54.3,58.76,14930
2024-04-08 09:15:00,59.94,63.6,59.94,63.6,100430
2024-04-15 09:15:00,64.86,68.83,64.86,68.83,22320
2024-04-22 09:15:00,70.2,75.97,70.2,75.97,30160
2024-04-29 09:15:00,77.49,82.2,77.49,82.2,308030
2024-05-06 09:15:00,83.83,90.74,83.0,90.74,185100
2024-05-13 09:15:00,92.55,102.17,92.55,102.17,82300
2024-05-20 09:15:00,104.21,108.41,104.21,106.25,114920
2024-05-27 09:15:00,104.12,104.12,96.04,96.04,154450
2024-06-03 09:15:00,94.12,94.12,86.82,86.82,26740
2024-06-10 09:15:00,82.48,102.25,82.48,102.25,2685190
2024-06-17 09:15:00,107.36,117.27,106.0,117.27,1630910
2024-06-24 09:15:00,119.61,129.46,119.61,129.46,989020
2024-07-01 09:15:00,132.04,134.69,126.77,126.77,370920
2024-07-08 09:15:00,124.24,134.0,124.24,132.0,1173950
2024-07-15 09:15:00,131.5,131.5,123.77,123.77,133800
2024-07-22 09:15:00,121.3,129.47,120.0,129.47,283330
2024-07-29 09:15:00,135.94,164.5,132.0,159.79,1970680
2024-08-05 09:15:00,159.3,162.5,148.7,151.67,768680
2024-08-12 09:15:00,153.4,153.4,143.06,143.06,63900
2024-08-19 09:15:00,140.6,148.57,137.4,148.57,655870
2024-08-26 09:15:00,151.53,160.5,151.42,151.7,222180
2024-09-02 09:15:00,150.11,154.85,146.61,147.1,183030
2024-09-09 09:15:00,147.0,147.0,135.9,138.7,2644770
2024-09-16 09:15:00,145.5,149.7,125.14,136.17,725590
2024-09-23 09:15:00,140.8,142.5,132.13,135.79,473970
2024-09-30 09:15:00,134.88,144.5,133.0,138.3,400570
2024-10-07 09:15:00,138.3,150.73,125.0,150.73,533560
2024-10-14 09:15:00,150.73,190.0,150.73,184.47,2570220
2024-10-21 09:15:00,188.8,189.9,155.65,155.65,619730
2024-10-28 09:15:00,152.5,165.05,147.87,163.82,402800
2024-11-04 09:15:00,163.8,168.57,154.01,164.53,416330
2024-11-11 09:15:00,168.0,169.8,143.08,144.77,445930
2024-11-18 09:15:00,147.0,159.4,140.11,140.26,421510
2024-11-25 09:15:00,142.11,152.0,136.0,150.9,577190
2024-12-02 09:15:00,155.77,183.3,152.57,175.2,2028273
2024-12-09 09:15:00,177.45,179.7,153.35,163.6,707557
2024-12-16 09:15:00,160.05,169.55,152.0,153.2,357559
2024-12-23 09:15:00,155.5,156.5,148.2,152.45,236362
2024-12-30 09:15:00,152.45,156.3,146.15,150.75,182022
2025-01-06 09:15:00,151.5,153.75,139.1,141.23,224351
2025-01-13 09:15:00,137.95,146.95,114.21,121.72,1228179
2025-01-20 09:15:00,124.0,137.75,121.25,123.67,600191
2025-01-27 09:15:00,122.9,122.9,102.4,102.4,661088
2025-02-03 09:15:00,101.37,106.97,87.78,106.97,971733
2025-02-10 09:15:00,110.8,112.2,88.1,90.16,648894
2025-02-17 09:15:00,86.1,100.78,81.5,100.78,446221
2025-02-24 09:15:00,100.78,100.78,85.75,85.75,220375
