datetime,open,high,low,close,volume
2026-01-29 09:15:00,488.1,488.95,482.9,484.25,187149
2026-01-29 10:15:00,484.25,485.35,482.4,482.45,52606
2026-01-29 11:15:00,482.25,486.0,481.2,481.7,70671
2026-01-29 12:15:00,481.7,481.85,479.5,479.55,37664
2026-01-29 13:15:00,479.55,482.0,478.2,482.0,32140
2026-01-29 14:15:00,482.0,483.0,479.7,480.15,52974
2026-01-29 15:15:00,479.7,481.55,479.7,480.95,27418
2026-01-30 09:15:00,479.0,488.9,478.05,485.25,59073
2026-01-30 10:15:00,484.95,485.2,480.5,482.0,57903
2026-01-30 11:15:00,482.0,482.95,479.6,480.55,37477
2026-01-30 12:15:00,480.55,481.95,479.55,480.0,38860
2026-01-30 13:15:00,480.0,484.4,479.6,484.1,51039
2026-01-30 14:15:00,484.05,486.5,481.1,483.45,111091
2026-01-30 15:15:00,483.85,486.3,483.0,484.0,65892
2026-02-01 09:15:00,487.0,490.0,479.65,480.5,20340
2026-02-01 10:15:00,480.5,483.85,480.45,482.65,14248
2026-02-01 11:15:00,482.7,483.05,479.65,480.6,28615
2026-02-01 12:15:00,480.6,481.85,476.1,477.3,28791
2026-02-01 13:15:00,477.4,477.7,474.4,476.0,37048
2026-02-01 14:15:00,476.35,476.35,474.8,475.0,16181
2026-02-01 15:15:00,475.0,475.35,475.0,475.1,11982
2026-02-02 09:15:00,475.05,478.2,471.25,474.55,48749
2026-02-02 10:15:00,474.55,477.5,470.5,471.5,29138
2026-02-02 11:15:00,471.7,477.5,470.0,477.1,47252
2026-02-02 12:15:00,477.5,477.9,473.9,476.55,17374
2026-02-02 13:15:00,476.55,479.45,475.1,477.9,17743
2026-02-02 14:15:00,477.6,483.8,477.0,482.3,47806
2026-02-02 15:15:00,482.3,483.0,480.6,480.6,30552
2026-02-03 09:15:00,487.0,494.25,481.7,482.55,57492
2026-02-03 10:15:00,482.6,483.5,479.15,480.45,36133
2026-02-03 11:15:00,480.45,482.85,479.6,481.8,30586
2026-02-03 12:15:00,481.85,481.9,478.0,480.1,55681
2026-02-03 13:15:00,480.1,482.8,479.35,481.8,26212
2026-02-03 14:15:00,481.8,486.5,480.3,483.3,74236
2026-02-03 15:15:00,483.3,484.0,481.3,483.75,29024
2026-02-04 09:15:00,485.95,485.95,476.95,477.2,76506
