datetime,open,high,low,close,volume
2026-02-01 09:15:00,194.7,195.0,192.6,193.7,42324
2026-02-01 09:25:00,193.7,193.91,193.11,193.38,9183
2026-02-01 09:35:00,193.38,193.5,193.06,193.49,9138
2026-02-01 09:45:00,193.5,193.99,193.5,193.69,13687
2026-02-01 09:55:00,193.5,193.69,190.86,193.1,27382
2026-02-01 10:05:00,193.1,193.73,192.61,193.12,11561
2026-02-01 10:15:00,193.12,193.3,192.51,192.84,7019
2026-02-01 10:25:00,192.85,192.93,192.5,192.7,4131
2026-02-01 10:35:00,192.7,193.29,192.52,192.85,9767
2026-02-01 10:45:00,192.92,194.96,192.69,193.84,48128
2026-02-01 10:55:00,193.84,194.0,193.72,194.0,3755
2026-02-01 11:05:00,194.0,194.16,193.03,193.37,7683
2026-02-01 11:15:00,193.33,193.33,192.15,192.28,4622
2026-02-01 11:25:00,192.46,193.19,192.28,193.18,6559
2026-02-01 11:35:00,193.15,193.15,192.59,192.99,4931
2026-02-01 11:45:00,192.99,193.0,192.3,193.0,15037
2026-02-01 11:55:00,193.0,193.0,190.7,191.21,14061
2026-02-01 12:05:00,191.21,192.16,190.79,191.9,7082
2026-02-01 12:15:00,191.84,191.84,188.1,188.29,31842
2026-02-01 12:25:00,188.29,188.58,180.75,184.0,64057
2026-02-01 12:35:00,184.23,188.59,184.23,187.59,17349
2026-02-01 12:45:00,187.62,190.0,187.21,188.15,30706
2026-02-01 12:55:00,188.11,188.46,187.3,187.5,5693
2026-02-01 13:05:00,187.69,188.4,187.66,188.19,2541
2026-02-01 13:15:00,188.1,188.46,187.5,187.77,5396
2026-02-01 13:25:00,187.98,188.1,187.27,187.76,6201
2026-02-01 13:35:00,187.77,188.15,187.5,188.15,2855
2026-02-01 13:45:00,188.14,189.59,188.14,188.83,18649
2026-02-01 13:55:00,188.82,189.5,188.59,189.4,6016
2026-02-01 14:05:00,189.39,189.65,189.0,189.28,2737
2026-02-01 14:15:00,189.42,193.31,188.5,191.71,50341
2026-02-01 14:25:00,191.54,192.6,191.13,192.5,10821
2026-02-01 14:35:00,192.7,192.7,191.36,192.04,9858
2026-02-01 14:45:00,192.03,192.45,191.4,191.8,14140
2026-02-01 14:55:00,191.79,192.34,191.59,192.01,18735
2026-02-01 15:05:00,192.01,192.24,191.67,192.0,17047
2026-02-01 15:15:00,192.01,192.5,192.0,192.27,23343
2026-02-01 15:25:00,192.27,194.95,192.0,194.0,53090
2026-02-02 09:15:00,192.35,193.93,188.26,189.26,64485
2026-02-02 09:25:00,189.25,190.58,188.34,190.44,29356
2026-02-02 09:35:00,190.22,190.55,189.85,190.01,22901
2026-02-02 09:45:00,190.1,190.58,189.86,190.45,13621
2026-02-02 09:55:00,190.45,190.56,189.93,190.0,28767
2026-02-02 10:05:00,190.14,190.81,189.75,190.55,8148
2026-02-02 10:15:00,190.55,190.56,189.88,190.27,21283
2026-02-02 10:25:00,190.06,190.5,189.9,189.9,6783
2026-02-02 10:35:00,190.04,190.2,189.81,190.09,6640
2026-02-02 10:45:00,190.09,190.19,189.85,190.03,39181
