datetime,open,high,low,close,volume
2026-02-01 09:15:00,288.55,288.75,286.0,287.4,118783
2026-02-01 09:25:00,287.4,287.65,286.3,286.65,45147
2026-02-01 09:35:00,286.8,287.15,284.55,285.1,111458
2026-02-01 09:45:00,285.1,285.8,284.6,285.8,34167
2026-02-01 09:55:00,285.8,285.85,285.4,285.6,20458
2026-02-01 10:05:00,285.65,286.8,285.6,286.65,49079
2026-02-01 10:15:00,286.75,287.3,286.6,287.3,20024
2026-02-01 10:25:00,287.3,287.35,286.6,287.25,17851
2026-02-01 10:35:00,287.1,287.45,287.1,287.35,10540
2026-02-01 10:45:00,287.35,288.5,287.3,288.15,54931
2026-02-01 10:55:00,288.15,288.25,287.7,287.95,89265
2026-02-01 11:05:00,287.95,288.25,287.75,287.9,109002
2026-02-01 11:15:00,287.9,288.0,287.75,287.75,5790
2026-02-01 11:25:00,287.95,288.4,287.3,288.0,44803
2026-02-01 11:35:00,288.0,288.25,287.55,287.85,17502
2026-02-01 11:45:00,287.95,287.95,285.85,285.9,38007
2026-02-01 11:55:00,285.9,287.45,285.5,287.25,37484
2026-02-01 12:05:00,287.05,288.8,286.9,286.9,74037
2026-02-01 12:15:00,287.1,287.2,283.3,283.7,135042
2026-02-01 12:25:00,283.5,284.85,281.25,283.7,264296
2026-02-01 12:35:00,283.8,285.55,283.6,284.5,119402
2026-02-01 12:45:00,284.5,285.5,281.95,282.05,156821
2026-02-01 12:55:00,282.2,283.8,282.1,283.8,55473
2026-02-01 13:05:00,283.8,285.2,283.8,284.25,79656
2026-02-01 13:15:00,284.25,284.5,283.55,283.95,42329
2026-02-01 13:25:00,283.95,285.55,283.7,285.5,126651
2026-02-01 13:35:00,285.4,285.65,284.65,285.65,40701
2026-02-01 13:45:00,285.75,286.0,285.25,285.8,34136
2026-02-01 13:55:00,285.8,287.0,285.25,286.4,54332
2026-02-01 14:05:00,286.4,287.0,286.0,286.45,35768
2026-02-01 14:15:00,286.5,287.5,286.35,287.2,47171
2026-02-01 14:25:00,287.25,287.7,287.05,287.15,18825
2026-02-01 14:35:00,287.15,287.3,285.7,285.85,92160
2026-02-01 14:45:00,285.95,286.0,285.35,285.45,209827
2026-02-01 14:55:00,285.4,285.5,284.15,284.5,180680
2026-02-01 15:05:00,284.5,285.5,284.5,285.15,90946
2026-02-01 15:15:00,285.15,285.5,284.5,285.35,260947
2026-02-01 15:25:00,285.4,285.5,285.05,285.25,201390
2026-02-02 09:15:00,284.8,284.8,278.3,283.55,730045
2026-02-02 09:25:00,283.55,283.75,281.7,281.95,190651
2026-02-02 09:35:00,281.9,282.25,279.8,280.1,292312
2026-02-02 09:45:00,280.1,281.3,279.9,281.3,106567
2026-02-02 09:55:00,281.35,281.6,278.85,279.25,163464
2026-02-02 10:05:00,279.15,280.55,279.1,280.0,103674
2026-02-02 10:15:00,280.0,280.25,279.3,279.7,193442
2026-02-02 10:25:00,279.65,280.0,279.15,279.9,71490
2026-02-02 10:35:00,280.0,280.4,279.75,280.0,202652
2026-02-02 10:45:00,279.95,280.25,279.1,279.15,132088
2026-02-02 10:55:00,279.1,279.3,277.6,278.25,309474
2026-02-02 11:05:00,278.15,278.45,277.05,277.85,512802
2026-02-02 11:15:00,277.8,278.1,276.65,276.95,219803
2026-02-02 11:25:00,276.95,279.05,276.85,278.95,209554
2026-02-02 11:35:00,279.0,279.05,277.95,278.35,207557
2026-02-02 11:45:00,278.4,278.65,276.8,277.05,339600
2026-02-02 11:55:00,277.0,277.25,276.5,276.65,166386
2026-02-02 12:05:00,276.6,276.85,276.0,276.45,80830
2026-02-02 12:15:00,276.45,277.0,276.0,276.8,133627
2026-02-02 12:25:00,276.8,278.15,276.7,277.15,195278
2026-02-02 12:35:00,277.1,278.75,276.9,278.3,237982
2026-02-02 12:45:00,278.3,279.2,278.25,278.3,86288
2026-02-02 12:55:00,278.3,279.1,278.05,279.1,78421
2026-02-02 13:05:00,279.2,279.5,278.55,278.7,94819
2026-02-02 13:15:00,278.7,279.0,277.85,278.4,88436
2026-02-02 13:25:00,278.25,278.95,277.8,278.95,186451
2026-02-02 13:35:00,278.85,279.7,278.85,279.65,84580
2026-02-02 13:45:00,279.5,280.65,279.2,280.1,126253
2026-02-02 13:55:00,280.0,280.55,279.9,280.45,98991
2026-02-02 14:05:00,280.45,280.75,279.85,280.25,138372
2026-02-02 14:15:00,280.25,280.6,279.5,279.85,86551
2026-02-02 14:25:00,279.8,280.15,279.15,279.3,159001
2026-02-02 14:35:00,279.15,279.7,279.0,279.4,73559
2026-02-02 14:45:00,279.3,280.25,279.3,279.9,102100
2026-02-02 14:55:00,279.95,281.25,279.85,281.1,231995
2026-02-02 15:05:00,281.2,281.55,281.0,281.3,213515
2026-02-02 15:15:00,281.3,281.9,281.2,281.9,322895
2026-02-02 15:25:00,281.5,281.95,281.05,281.95,166224
2026-02-03 09:15:00,294.0,298.25,283.35,284.5,1265119
2026-02-03 09:25:00,284.5,287.45,284.5,287.0,353931
2026-02-03 09:35:00,287.05,287.6,284.25,284.3,486589
2026-02-03 09:45:00,284.3,287.75,284.2,286.85,404511
2026-02-03 09:55:00,286.8,287.15,286.25,286.25,102521
2026-02-03 10:05:00,286.2,286.45,285.15,285.15,128111
2026-02-03 10:15:00,285.25,285.45,284.55,285.05,132055
2026-02-03 10:25:00,285.0,285.65,284.95,285.15,136213
2026-02-03 10:35:00,285.2,286.1,285.2,285.55,103168
2026-02-03 10:45:00,285.6,286.7,284.75,285.0,178950
2026-02-03 10:55:00,284.95,285.0,284.65,284.8,454410
2026-02-03 11:05:00,284.9,285.0,284.15,284.35,67583
2026-02-03 11:15:00,284.35,285.0,284.3,284.8,68015
2026-02-03 11:25:00,284.8,285.0,284.55,284.65,136891
2026-02-03 11:35:00,284.6,285.0,284.6,285.0,164598
2026-02-03 11:45:00,285.0,285.0,284.25,284.3,91628
2026-02-03 11:55:00,284.4,284.8,284.3,284.65,49478
2026-02-03 12:05:00,284.65,284.7,283.7,284.25,158152
2026-02-03 12:15:00,284.3,285.15,284.25,284.75,142116
2026-02-03 12:25:00,284.75,284.9,284.2,284.7,95071
2026-02-03 12:35:00,284.75,284.8,283.75,284.35,134533
