datetime,open,high,low,close,volume
2026-01-29 09:15:00,172.1,173.51,171.71,173.15,8074
2026-01-29 09:20:00,173.15,173.29,172.58,172.68,1502
2026-01-29 09:25:00,172.68,173.03,172.58,173.03,2529
2026-01-29 09:30:00,172.83,173.04,172.25,172.44,3192
2026-01-29 09:35:00,172.62,172.65,171.93,172.09,2878
2026-01-29 09:40:00,172.09,172.68,171.97,171.97,6506
2026-01-29 09:45:00,171.81,172.14,171.81,171.81,2631
2026-01-29 09:50:00,171.81,172.05,171.07,171.07,5938
2026-01-29 09:55:00,171.07,171.72,171.07,171.3,2332
2026-01-29 10:00:00,171.3,171.53,171.3,171.49,595
2026-01-29 10:05:00,171.49,171.52,171.0,171.11,3019
2026-01-29 10:10:00,171.14,171.84,170.7,171.84,6106
2026-01-29 10:15:00,171.84,172.45,171.84,172.2,3593
2026-01-29 10:20:00,172.2,172.43,172.0,172.25,1519
2026-01-29 10:25:00,172.25,172.4,172.11,172.11,434
2026-01-29 10:30:00,172.11,172.4,172.0,172.28,256
2026-01-29 10:35:00,172.28,172.28,172.0,172.0,515
2026-01-29 10:40:00,172.0,172.06,172.0,172.0,848
2026-01-29 10:45:00,172.0,172.2,171.91,172.16,693
2026-01-29 10:50:00,172.16,172.29,171.86,172.29,4093
2026-01-29 10:55:00,172.29,172.29,172.07,172.1,431
2026-01-29 11:00:00,172.1,172.24,172.0,172.2,523
2026-01-29 11:05:00,172.2,172.3,172.06,172.18,2501
2026-01-29 11:10:00,172.18,172.31,172.0,172.22,2200
2026-01-29 11:15:00,172.22,172.38,172.22,172.31,1092
2026-01-29 11:20:00,172.31,172.55,172.12,172.5,891
2026-01-29 11:25:00,172.5,172.5,172.04,172.04,500
2026-01-29 11:30:00,172.04,172.38,172.04,172.38,40
2026-01-29 11:35:00,172.38,172.5,172.21,172.23,10429
2026-01-29 11:40:00,172.23,172.23,172.15,172.15,50
2026-01-29 11:45:00,172.15,172.33,172.15,172.33,821
2026-01-29 11:50:00,172.33,172.33,172.24,172.25,328
2026-01-29 11:55:00,172.25,172.28,172.15,172.28,93
2026-01-29 12:00:00,172.28,172.28,172.11,172.11,680
2026-01-29 12:05:00,172.11,172.2,172.04,172.2,54
2026-01-29 12:10:00,172.2,172.2,172.03,172.03,724
2026-01-29 12:15:00,172.03,172.2,171.82,172.0,1480
2026-01-29 12:20:00,172.0,172.21,172.0,172.04,413
2026-01-29 12:25:00,172.04,172.27,172.04,172.23,1042
2026-01-29 12:30:00,172.23,172.25,172.05,172.05,210
2026-01-29 12:35:00,172.05,172.22,172.01,172.22,637
2026-01-29 12:40:00,172.22,172.22,171.81,172.0,1179
2026-01-29 12:45:00,172.0,172.13,172.0,172.0,1194
2026-01-29 12:50:00,172.0,172.22,172.0,172.07,89
2026-01-29 12:55:00,172.07,172.3,172.07,172.12,233
2026-01-29 13:00:00,172.12,172.21,172.12,172.16,111
2026-01-29 13:05:00,172.16,172.5,172.16,172.5,2101
2026-01-29 13:10:00,172.5,172.57,172.17,172.17,1523
