datetime,open,high,low,close,volume
2023-05-08 09:15:00,63.8,64.3,60.8,60.85,3685458
2023-05-15 09:15:00,60.75,65.2,60.15,64.5,3955933
2023-05-22 09:15:00,65.2,67.75,63.0,63.85,2137287
2023-05-29 09:15:00,63.45,69.9,63.4,69.35,4952379
2023-06-05 09:15:00,70.5,74.9,70.25,73.55,6300634
2023-06-12 09:15:00,73.55,76.2,70.8,73.35,4068573
2023-06-19 09:15:00,74.2,76.25,71.5,72.5,3160182
2023-06-26 09:15:00,71.75,73.45,71.15,72.2,1259018
2023-07-03 09:15:00,72.2,74.95,70.7,72.5,2400382
2023-07-10 09:15:00,72.6,73.4,70.35,71.45,1936452
2023-07-17 09:15:00,71.7,74.95,71.65,74.25,4061435
2023-07-24 09:15:00,74.25,80.0,74.25,77.95,6938374
2023-07-31 09:15:00,78.4,80.7,75.25,78.25,6954405
2023-08-07 09:15:00,79.85,86.05,77.0,83.15,8553414
2023-08-14 09:15:00,82.75,85.5,79.3,83.8,4134860
2023-08-21 09:15:00,84.15,91.7,83.1,87.05,7318029
2023-08-28 09:15:00,87.9,89.8,84.2,86.05,4128287
2023-09-04 09:15:00,86.4,89.85,86.4,88.25,2852130
2023-09-11 09:15:00,88.2,90.8,80.8,86.7,6701187
2023-09-18 09:15:00,87.4,91.95,84.1,85.0,3287613
2023-09-25 09:15:00,85.6,88.65,85.0,87.05,2131621
2023-10-02 09:15:00,88.5,93.95,86.9,92.6,5332875
2023-10-09 09:15:00,91.9,92.9,88.55,91.05,3481950
2023-10-16 09:15:00,91.05,93.85,88.9,91.9,6577983
2023-10-23 09:15:00,91.6,92.2,85.25,90.45,3141518
2023-10-30 09:15:00,90.9,91.0,86.4,88.3,2093390
2023-11-06 09:15:00,89.45,92.4,87.6,91.4,3627132
2023-11-13 09:15:00,91.9,103.6,90.6,99.8,13052654
2023-11-20 09:15:00,102.9,110.3,102.15,107.9,11282541
2023-11-27 09:15:00,110.15,112.0,101.0,102.25,15262223
2023-12-04 09:15:00,103.95,106.0,100.8,102.15,5525955
2023-12-11 09:15:00,102.4,106.5,101.25,102.25,4602471
2023-12-18 09:15:00,103.45,103.45,96.0,100.6,4289133
2023-12-25 09:15:00,100.75,105.05,99.95,103.8,3299789
2024-01-01 09:15:00,105.0,111.9,102.3,110.65,6845648
2024-01-08 09:15:00,111.0,120.95,108.7,116.15,18459416
2024-01-15 09:15:00,116.85,118.8,109.1,114.2,6257616
2024-01-22 09:15:00,115.0,116.7,105.95,109.45,5625713
2024-01-29 09:15:00,110.7,114.8,106.7,111.65,5332029
2024-02-05 09:15:00,111.9,121.55,109.0,111.45,6619160
2024-02-12 09:15:00,112.5,112.95,104.0,108.85,4933781
2024-02-19 09:15:00,109.0,117.05,104.3,108.4,7384353
2024-02-26 09:15:00,108.5,110.15,102.0,106.8,3344846
2024-03-04 09:15:00,107.95,108.55,102.15,104.95,2230374
