datetime,open,high,low,close,volume
2026-01-29 09:15:00,300.05,311.0,300.05,305.25,71034
2026-01-29 09:30:00,305.25,305.25,300.35,301.1,22059
2026-01-29 09:45:00,301.2,301.4,297.45,297.45,15865
2026-01-29 10:00:00,297.45,298.3,295.75,297.5,13721
2026-01-29 10:15:00,297.5,297.5,295.1,295.25,9834
2026-01-29 10:30:00,295.2,296.35,295.2,295.75,8465
2026-01-29 10:45:00,295.75,295.85,294.2,295.0,10872
2026-01-29 11:00:00,295.0,295.95,294.65,294.95,3976
2026-01-29 11:15:00,294.95,296.1,294.6,294.75,5979
2026-01-29 11:30:00,294.75,295.85,291.6,294.35,40657
2026-01-29 11:45:00,294.35,294.35,292.0,292.0,6572
2026-01-29 12:00:00,292.0,292.35,289.8,290.1,56100
2026-01-29 12:15:00,290.1,292.1,289.65,292.0,10196
2026-01-29 12:30:00,292.0,293.0,292.0,292.8,2744
2026-01-29 12:45:00,292.8,294.6,292.55,293.35,4973
2026-01-29 13:00:00,293.35,295.0,293.35,294.75,4272
2026-01-29 13:15:00,294.75,296.0,294.45,295.0,11625
2026-01-29 13:30:00,295.0,297.0,295.0,296.75,7645
2026-01-29 13:45:00,296.7,297.7,296.4,296.85,5583
2026-01-29 14:00:00,296.85,297.3,295.7,297.05,6493
2026-01-29 14:15:00,297.05,297.35,296.35,297.2,1875
2026-01-29 14:30:00,297.2,299.3,297.2,298.55,10452
2026-01-29 14:45:00,298.55,299.4,298.25,298.75,5517
2026-01-29 15:00:00,299.35,299.5,295.9,298.0,17709
2026-01-29 15:15:00,298.0,298.0,294.0,294.0,57883
2026-01-30 09:15:00,299.8,299.8,291.05,293.0,24337
2026-01-30 09:30:00,293.0,295.7,292.5,295.25,8564
2026-01-30 09:45:00,295.35,296.5,295.0,295.95,7991
2026-01-30 10:00:00,296.5,299.1,296.4,298.5,6288
2026-01-30 10:15:00,298.5,305.4,298.25,302.5,39830
2026-01-30 10:30:00,302.5,304.0,302.0,303.3,6690
2026-01-30 10:45:00,303.3,304.5,301.9,304.05,7560
2026-01-30 11:00:00,304.05,307.0,303.4,305.45,20119
2026-01-30 11:15:00,305.45,306.6,304.6,305.0,3901
2026-01-30 11:30:00,305.0,305.2,302.8,303.65,12585
2026-01-30 11:45:00,303.65,307.7,303.65,305.2,18534
2026-01-30 12:00:00,305.2,305.7,304.3,304.3,5299
2026-01-30 12:15:00,304.3,304.9,303.7,303.7,2295
2026-01-30 12:30:00,303.7,304.75,303.35,304.65,1634
2026-01-30 12:45:00,304.65,310.75,304.15,308.85,109756
2026-01-30 13:00:00,308.85,316.0,307.15,310.7,158494
2026-01-30 13:15:00,311.2,315.6,311.2,312.7,76568
2026-01-30 13:30:00,312.7,319.4,312.7,317.0,66836
2026-01-30 13:45:00,317.0,318.9,316.85,318.3,31257
2026-01-30 14:00:00,318.3,318.3,316.8,317.2,11019
2026-01-30 14:15:00,317.4,318.0,315.65,316.0,25469
2026-01-30 14:30:00,316.0,316.0,311.4,311.4,20828
2026-01-30 14:45:00,311.5,314.3,311.1,313.1,20736
2026-01-30 15:00:00,313.1,313.15,311.55,313.0,15809
2026-01-30 15:15:00,313.0,313.0,310.35,311.8,33813
2026-02-01 09:15:00,310.0,312.9,305.1,312.55,11006
2026-02-01 09:30:00,312.85,316.5,312.85,314.0,9654
2026-02-01 09:45:00,314.0,314.6,312.4,312.95,6211
2026-02-01 10:00:00,312.95,314.9,312.35,314.6,4146
2026-02-01 10:15:00,314.6,315.6,314.0,315.0,7974
2026-02-01 10:30:00,315.0,316.35,314.35,316.15,5769
2026-02-01 10:45:00,316.15,316.6,314.1,315.75,4899
2026-02-01 11:00:00,315.75,316.0,314.0,314.75,3065
2026-02-01 11:15:00,314.75,316.2,313.2,314.15,8806
2026-02-01 11:30:00,314.15,316.1,312.6,312.65,4876
2026-02-01 11:45:00,312.65,313.0,310.15,311.5,9912
2026-02-01 12:00:00,311.5,313.4,307.4,307.4,7898
2026-02-01 12:15:00,307.4,309.15,306.0,306.0,8076
2026-02-01 12:30:00,306.0,312.0,301.1,312.0,12023
2026-02-01 12:45:00,312.0,313.05,308.45,311.05,5673
2026-02-01 13:00:00,310.9,314.0,309.55,309.95,8312
2026-02-01 13:15:00,309.95,310.7,309.1,309.1,3775
2026-02-01 13:30:00,309.1,310.2,308.4,310.2,2564
2026-02-01 13:45:00,310.2,311.25,308.4,308.4,1699
2026-02-01 14:00:00,308.4,309.3,307.05,307.05,1881
2026-02-01 14:15:00,307.05,309.3,307.05,309.3,860
2026-02-01 14:30:00,309.3,314.7,309.3,314.55,14152
2026-02-01 14:45:00,314.55,314.55,309.8,311.5,15087
2026-02-01 15:00:00,311.5,312.0,307.4,308.05,4762
2026-02-01 15:15:00,308.05,311.0,306.0,306.6,15268
2026-02-02 09:15:00,303.3,309.75,298.8,299.4,24939
2026-02-02 09:30:00,299.4,304.4,298.55,302.0,20108
2026-02-02 09:45:00,302.05,303.85,301.6,302.0,9154
2026-02-02 10:00:00,302.0,302.35,300.25,300.25,8290
2026-02-02 10:15:00,300.25,301.0,299.25,299.65,3728
2026-02-02 10:30:00,299.65,300.0,298.35,298.5,8786
2026-02-02 10:45:00,298.85,298.85,296.45,297.0,7150
2026-02-02 11:00:00,296.9,297.15,294.3,294.3,11020
2026-02-02 11:15:00,294.3,295.85,294.15,295.15,5332
2026-02-02 11:30:00,295.15,298.5,295.15,297.85,5132
2026-02-02 11:45:00,297.85,298.0,295.1,295.35,3211
2026-02-02 12:00:00,295.35,295.55,294.25,294.65,5904
2026-02-02 12:15:00,294.65,295.75,294.05,294.6,3669
2026-02-02 12:30:00,294.6,294.75,293.05,293.9,7975
2026-02-02 12:45:00,293.9,294.95,293.55,294.95,4332
2026-02-02 13:00:00,294.95,296.5,294.45,295.6,3813
2026-02-02 13:15:00,295.6,296.85,295.6,296.8,4627
2026-02-02 13:30:00,296.8,297.0,295.8,297.0,5222
2026-02-02 13:45:00,297.0,297.8,296.1,296.6,2392
2026-02-02 14:00:00,296.6,298.6,296.6,297.3,6528
2026-02-02 14:15:00,297.3,299.1,297.25,299.05,5454
2026-02-02 14:30:00,299.05,299.25,297.0,298.3,4959
2026-02-02 14:45:00,298.3,300.0,297.95,299.6,5204
2026-02-02 15:00:00,301.0,302.5,300.8,302.5,17676
2026-02-02 15:15:00,302.7,306.8,301.05,305.9,34892
2026-02-03 09:15:00,319.45,324.85,315.0,318.2,56269
2026-02-03 09:30:00,318.7,328.25,317.2,322.0,59487
2026-02-03 09:45:00,322.0,332.0,320.2,327.45,82229
2026-02-03 10:00:00,327.45,329.15,325.45,325.95,20881
2026-02-03 10:15:00,325.95,329.0,325.0,329.0,17051
2026-02-03 10:30:00,329.0,335.15,328.45,333.3,38864
2026-02-03 10:45:00,332.8,337.5,332.55,333.35,39393
2026-02-03 11:00:00,333.35,335.5,331.6,334.95,25445
2026-02-03 11:15:00,334.95,335.1,331.2,331.2,7584
2026-02-03 11:30:00,331.2,332.6,327.7,329.1,17908
2026-02-03 11:45:00,329.1,329.35,327.1,328.5,14799
2026-02-03 12:00:00,328.5,328.6,327.3,328.0,5631
2026-02-03 12:15:00,328.0,330.0,327.7,328.9,6246
2026-02-03 12:30:00,328.9,329.85,327.65,328.1,3036
2026-02-03 12:45:00,328.1,328.8,327.0,327.7,4783
2026-02-03 13:00:00,327.7,329.1,326.1,327.2,5427
