datetime,open,high,low,close,volume
2026-01-29 09:15:00,169.0,169.0,162.12,164.09,303314
2026-01-29 09:20:00,164.1,164.65,163.12,163.69,125627
2026-01-29 09:25:00,163.86,164.39,163.67,163.82,37591
2026-01-29 09:30:00,163.82,165.75,163.44,165.38,114083
2026-01-29 09:35:00,165.53,165.53,164.65,165.06,65135
2026-01-29 09:40:00,165.06,165.65,165.0,165.15,55435
2026-01-29 09:45:00,165.14,165.57,164.96,165.4,22543
2026-01-29 09:50:00,165.4,166.16,165.2,165.3,33971
2026-01-29 09:55:00,165.5,166.1,165.31,165.8,15274
2026-01-29 10:00:00,165.96,165.98,165.4,165.62,26907
2026-01-29 10:05:00,165.54,165.62,165.05,165.2,20075
2026-01-29 10:10:00,165.32,165.32,165.0,165.01,17375
2026-01-29 10:15:00,165.15,165.18,164.58,164.7,25225
2026-01-29 10:20:00,164.82,165.16,164.6,164.89,10906
2026-01-29 10:25:00,164.98,165.04,164.32,164.33,13010
2026-01-29 10:30:00,164.42,164.81,164.32,164.7,15088
2026-01-29 10:35:00,164.82,164.89,164.5,164.55,15117
2026-01-29 10:40:00,164.65,164.65,164.4,164.41,8587
2026-01-29 10:45:00,164.58,164.58,164.29,164.32,7836
2026-01-29 10:50:00,164.32,164.85,164.3,164.75,9147
2026-01-29 10:55:00,164.85,164.99,164.61,164.72,6547
2026-01-29 11:00:00,164.86,164.95,164.51,164.72,6899
2026-01-29 11:05:00,164.72,164.94,164.63,164.65,6309
2026-01-29 11:10:00,164.82,164.95,164.4,164.66,13891
2026-01-29 11:15:00,164.81,165.0,164.66,164.95,6935
2026-01-29 11:20:00,165.0,165.0,164.61,164.74,12756
2026-01-29 11:25:00,164.89,164.89,164.44,164.65,7860
2026-01-29 11:30:00,164.68,164.97,164.4,164.4,11335
2026-01-29 11:35:00,164.52,164.6,164.29,164.41,5213
2026-01-29 11:40:00,164.51,164.56,164.11,164.24,25434
2026-01-29 11:45:00,164.38,164.56,164.22,164.39,6883
2026-01-29 11:50:00,164.46,164.64,164.26,164.46,7962
2026-01-29 11:55:00,164.41,164.41,164.05,164.17,10205
2026-01-29 12:00:00,164.27,164.49,163.95,164.18,33485
2026-01-29 12:05:00,164.18,164.32,163.9,163.91,8606
2026-01-29 12:10:00,163.97,164.31,163.93,164.1,13431
2026-01-29 12:15:00,164.16,164.16,163.9,163.99,7128
2026-01-29 12:20:00,164.1,164.28,164.0,164.24,4784
2026-01-29 12:25:00,164.28,164.4,163.9,164.01,12396
2026-01-29 12:30:00,164.1,164.74,163.9,164.52,11924
2026-01-29 12:35:00,164.64,164.64,164.18,164.29,4759
2026-01-29 12:40:00,164.42,164.46,164.02,164.02,7064
2026-01-29 12:45:00,164.1,164.27,163.9,164.05,15325
2026-01-29 12:50:00,164.19,164.47,164.05,164.11,10848
2026-01-29 12:55:00,164.26,164.46,164.03,164.4,16731
2026-01-29 13:00:00,164.4,164.65,164.28,164.51,8604
2026-01-29 13:05:00,164.65,164.9,164.53,164.56,13268
2026-01-29 13:10:00,164.7,164.78,164.55,164.55,5143
2026-01-29 13:15:00,164.69,164.71,164.35,164.49,4676
2026-01-29 13:20:00,164.51,164.51,164.24,164.32,12281
2026-01-29 13:25:00,164.58,164.91,164.46,164.78,7566
2026-01-29 13:30:00,164.79,165.0,164.73,164.75,7360
2026-01-29 13:35:00,164.9,165.18,164.8,165.02,6806
2026-01-29 13:40:00,165.16,165.2,165.0,165.16,3642
2026-01-29 13:45:00,165.16,165.3,165.04,165.25,7354
2026-01-29 13:50:00,165.35,165.35,164.9,165.03,20827
2026-01-29 13:55:00,165.15,165.2,164.91,165.02,6229
2026-01-29 14:00:00,165.15,165.2,165.01,165.07,3816
2026-01-29 14:05:00,165.14,165.2,165.04,165.04,7188
2026-01-29 14:10:00,165.14,165.33,164.82,164.82,9865
2026-01-29 14:15:00,164.95,164.98,164.8,164.8,7888
2026-01-29 14:20:00,164.92,165.0,164.7,164.72,7617
2026-01-29 14:25:00,164.83,164.94,164.74,164.81,5537
2026-01-29 14:30:00,164.93,165.48,164.8,165.06,47469
2026-01-29 14:35:00,165.06,165.2,164.9,164.94,9521
2026-01-29 14:40:00,165.0,165.14,164.84,164.86,9675
2026-01-29 14:45:00,164.98,165.09,164.85,165.0,7504
2026-01-29 14:50:00,164.95,165.72,164.7,164.85,28788
2026-01-29 14:55:00,164.85,164.93,164.51,164.76,11079
2026-01-29 15:00:00,164.85,165.0,164.69,164.77,11243
2026-01-29 15:05:00,164.93,165.19,164.82,165.17,12126
2026-01-29 15:10:00,165.08,165.31,164.94,164.94,19643
2026-01-29 15:15:00,165.0,165.2,165.0,165.05,17752
2026-01-29 15:20:00,165.06,165.3,165.05,165.25,21679
2026-01-29 15:25:00,165.25,165.43,164.88,165.3,23990
2026-01-30 09:15:00,165.0,165.58,163.54,164.76,43953
2026-01-30 09:20:00,164.65,165.92,164.52,165.76,48591
2026-01-30 09:25:00,165.71,166.3,164.07,164.07,34581
2026-01-30 09:30:00,164.01,166.75,164.01,166.75,39165
2026-01-30 09:35:00,166.64,167.44,166.44,167.3,67402
2026-01-30 09:40:00,167.3,167.46,166.65,166.86,22877
2026-01-30 09:45:00,166.86,167.26,166.61,167.0,14912
2026-01-30 09:50:00,166.89,167.45,166.76,167.45,14803
2026-01-30 09:55:00,167.32,167.54,166.75,167.04,12439
2026-01-30 10:00:00,167.14,167.69,167.04,167.04,12867
