datetime,open,high,low,close,volume
2026-01-29 09:15:00,180.0,180.0,178.73,179.76,49715
2026-01-29 09:30:00,179.76,179.76,178.47,179.02,33369
2026-01-29 09:45:00,178.9,179.35,178.38,178.7,11865
2026-01-29 10:00:00,178.52,178.75,177.61,177.68,24740
2026-01-29 10:15:00,177.68,177.99,177.27,177.46,21969
2026-01-29 10:30:00,177.29,177.7,177.2,177.27,10048
2026-01-29 10:45:00,177.27,177.68,177.1,177.68,11907
2026-01-29 11:00:00,177.68,177.8,177.42,177.42,7285
2026-01-29 11:15:00,177.39,177.98,177.39,177.71,11821
2026-01-29 11:30:00,177.71,177.85,177.36,177.53,2795
2026-01-29 11:45:00,177.53,177.65,177.1,177.1,13397
2026-01-29 12:00:00,177.1,177.3,176.81,176.83,12675
2026-01-29 12:15:00,176.83,177.3,176.8,177.3,4018
2026-01-29 12:30:00,177.3,177.68,177.14,177.5,3933
2026-01-29 12:45:00,177.5,177.69,177.3,177.49,5031
2026-01-29 13:00:00,177.49,179.03,177.49,178.85,40373
2026-01-29 13:15:00,178.7,178.71,178.32,178.58,9588
2026-01-29 13:30:00,178.58,179.33,178.56,178.97,21197
2026-01-29 13:45:00,178.97,179.24,178.78,178.9,6289
2026-01-29 14:00:00,178.9,179.09,178.46,178.99,9279
2026-01-29 14:15:00,178.99,179.14,178.43,178.89,17562
2026-01-29 14:30:00,178.89,179.25,178.71,178.8,25810
2026-01-29 14:45:00,178.8,179.2,178.64,178.89,16442
2026-01-29 15:00:00,178.94,179.95,178.94,179.78,41824
2026-01-29 15:15:00,179.78,179.98,179.49,179.98,61649
2026-01-30 09:15:00,178.99,178.99,176.3,177.0,72504
2026-01-30 09:30:00,177.0,184.9,176.88,184.5,464555
2026-01-30 09:45:00,184.37,184.49,183.32,184.0,170615
2026-01-30 10:00:00,184.0,184.7,183.5,184.67,88588
2026-01-30 10:15:00,184.67,184.74,183.3,183.4,111103
2026-01-30 10:30:00,183.4,184.6,183.4,184.6,30098
2026-01-30 10:45:00,184.6,186.1,184.25,185.99,178618
2026-01-30 11:00:00,185.9,186.5,184.98,185.15,121782
2026-01-30 11:15:00,185.2,185.79,185.1,185.22,47301
2026-01-30 11:30:00,185.22,185.84,184.99,185.46,27204
