datetime,open,high,low,close,volume
2026-01-30 09:15:00,567.49,568.88,563.77,566.95,8455
2026-01-30 09:20:00,566.45,570.42,566.45,569.03,2124
2026-01-30 09:25:00,569.03,571.92,569.03,571.02,1067
2026-01-30 09:30:00,571.02,577.43,570.32,577.43,3355
2026-01-30 09:35:00,577.23,579.27,574.55,579.22,7221
2026-01-30 09:40:00,579.22,581.21,577.63,579.42,3689
2026-01-30 09:45:00,579.42,581.06,578.82,580.91,2432
2026-01-30 09:50:00,580.91,582.25,580.36,580.96,2164
2026-01-30 09:55:00,580.96,581.56,580.21,581.11,807
2026-01-30 10:00:00,581.11,582.4,580.61,580.61,2967
2026-01-30 10:05:00,580.61,582.05,579.62,581.01,3608
2026-01-30 10:10:00,581.01,583.05,581.01,582.9,703
2026-01-30 10:15:00,582.9,586.38,582.7,585.83,3668
2026-01-30 10:20:00,585.83,587.37,584.88,585.53,2003
2026-01-30 10:25:00,585.53,585.58,585.18,585.38,439
2026-01-30 10:30:00,585.38,587.42,584.44,584.79,3144
2026-01-30 10:35:00,584.79,585.58,582.45,585.23,2536
2026-01-30 10:40:00,585.18,589.26,585.18,588.51,3221
2026-01-30 10:45:00,588.26,591.79,587.47,589.26,8999
2026-01-30 10:50:00,589.26,590.55,588.16,588.16,2732
2026-01-30 10:55:00,588.16,589.46,588.16,589.16,753
2026-01-30 11:00:00,589.16,590.2,586.67,586.67,1972
2026-01-30 11:05:00,586.67,587.42,586.62,587.17,1519
2026-01-30 11:10:00,587.17,587.47,586.72,587.12,413
2026-01-30 11:15:00,587.12,587.32,585.68,586.82,619
2026-01-30 11:20:00,586.82,586.87,585.88,586.82,392
2026-01-30 11:25:00,586.72,590.35,586.72,589.06,7831
2026-01-30 11:30:00,589.06,589.46,585.63,586.33,3289
2026-01-30 11:35:00,586.33,586.33,583.39,585.38,2381
2026-01-30 11:40:00,585.73,587.57,585.18,585.93,2416
2026-01-30 11:45:00,585.93,586.48,585.38,585.88,1197
2026-01-30 11:50:00,585.88,586.18,585.38,585.78,283
2026-01-30 11:55:00,585.78,585.83,584.69,585.28,236
2026-01-30 12:00:00,585.28,586.33,585.08,585.33,1024
2026-01-30 12:05:00,585.33,585.33,584.39,584.59,323
2026-01-30 12:10:00,584.59,584.84,583.39,584.84,458
