datetime,open,high,low,close,volume
2026-01-29 09:15:00,930.1,932.7,927.1,927.9,3600379
2026-01-29 09:45:00,927.95,929.55,924.35,926.0,2387221
2026-01-29 10:15:00,926.0,928.7,925.25,926.3,1554764
2026-01-29 10:45:00,926.3,930.6,926.15,930.2,1270905
2026-01-29 11:15:00,930.2,932.3,928.75,930.3,1971781
2026-01-29 11:45:00,930.25,934.4,927.95,933.9,2992924
2026-01-29 12:15:00,933.85,936.0,932.95,935.05,1733448
2026-01-29 12:45:00,935.1,937.8,934.85,936.55,1343930
2026-01-29 13:15:00,936.5,939.0,935.35,938.95,1541113
2026-01-29 13:45:00,938.9,939.3,936.5,937.9,2614921
2026-01-29 14:15:00,937.9,939.0,936.45,937.1,1987017
2026-01-29 14:45:00,937.05,938.5,933.85,934.2,7475106
2026-01-29 15:15:00,934.65,937.25,933.6,935.8,5199599
2026-01-30 09:15:00,930.0,937.5,929.5,935.5,3360363
2026-01-30 09:45:00,935.45,937.9,933.6,936.5,870978
2026-01-30 10:15:00,936.45,938.9,935.55,936.45,804922
2026-01-30 10:45:00,936.45,937.15,934.3,934.55,739384
2026-01-30 11:15:00,934.45,935.55,932.7,933.55,1684815
2026-01-30 11:45:00,933.55,935.8,931.9,935.7,1428863
2026-01-30 12:15:00,935.6,936.4,932.05,933.6,1795125
2026-01-30 12:45:00,933.5,933.75,931.15,931.6,1587400
2026-01-30 13:15:00,931.55,932.9,930.1,932.4,848011
2026-01-30 13:45:00,932.45,934.7,931.05,934.2,1492402
2026-01-30 14:15:00,934.2,934.55,932.0,932.4,1122446
2026-01-30 14:45:00,932.2,933.4,927.75,928.8,7691664
2026-01-30 15:15:00,928.6,932.3,928.05,929.0,5433421
2026-02-01 09:15:00,932.0,936.8,931.0,935.75,446315
2026-02-01 09:45:00,935.75,936.25,925.05,935.4,542600
2026-02-01 10:15:00,935.25,936.5,933.9,935.35,333068
2026-02-01 10:45:00,935.35,936.25,932.4,934.7,244533
2026-02-01 11:15:00,935.0,938.5,932.35,935.15,510110
2026-02-01 11:45:00,935.15,939.65,933.0,934.65,925838
2026-02-01 12:15:00,934.5,935.95,912.65,931.0,1618309
2026-02-01 12:45:00,930.9,933.0,926.65,931.5,1421825
2026-02-01 13:15:00,931.9,931.9,927.1,927.9,763366
2026-02-01 13:45:00,927.7,928.45,924.3,924.4,570894
2026-02-01 14:15:00,924.9,928.2,924.05,924.9,405501
2026-02-01 14:45:00,924.9,926.8,921.65,923.55,1117020
2026-02-01 15:15:00,923.15,924.55,916.45,917.0,939476
2026-02-02 09:15:00,915.0,928.15,909.3,926.7,5198868
2026-02-02 09:45:00,926.95,929.8,922.75,924.85,2219327
2026-02-02 10:15:00,924.7,929.75,924.5,926.55,1651425
2026-02-02 10:45:00,926.7,928.2,920.05,921.65,2732828
2026-02-02 11:15:00,921.55,926.45,919.8,926.25,2153524
2026-02-02 11:45:00,926.25,927.6,923.75,926.35,1034990
