datetime,open,high,low,close,volume
2026-02-01 09:15:00,68.27,68.27,67.43,67.78,548997
2026-02-01 09:25:00,67.78,68.4,67.65,68.32,433329
2026-02-01 09:35:00,68.32,68.37,68.03,68.12,153566
2026-02-01 09:45:00,68.12,68.58,68.07,68.39,410854
2026-02-01 09:55:00,68.39,68.6,68.33,68.52,174859
2026-02-01 10:05:00,68.46,68.63,68.36,68.63,100555
2026-02-01 10:15:00,68.59,68.85,68.51,68.69,161354
2026-02-01 10:25:00,68.69,68.75,68.52,68.67,180336
2026-02-01 10:35:00,68.67,69.0,68.55,68.85,246866
2026-02-01 10:45:00,68.87,68.98,68.71,68.72,204589
2026-02-01 10:55:00,68.72,68.83,68.65,68.78,76186
2026-02-01 11:05:00,68.78,69.86,68.74,68.91,867322
2026-02-01 11:15:00,68.91,68.94,68.62,68.7,268015
2026-02-01 11:25:00,68.76,68.9,68.55,68.56,339195
2026-02-01 11:35:00,68.55,68.62,67.99,68.07,434470
2026-02-01 11:45:00,68.07,68.34,68.0,68.16,377913
2026-02-01 11:55:00,68.16,68.21,67.02,67.19,857437
2026-02-01 12:05:00,67.15,67.59,65.9,66.9,1019314
2026-02-01 12:15:00,66.95,67.05,66.4,66.61,521010
2026-02-01 12:25:00,66.65,66.78,65.53,66.24,698263
2026-02-01 12:35:00,66.25,66.84,66.25,66.68,195572
2026-02-01 12:45:00,66.67,66.96,66.53,66.92,350508
2026-02-01 12:55:00,66.92,67.2,66.88,66.99,345324
2026-02-01 13:05:00,66.99,67.08,66.81,66.95,97320
2026-02-01 13:15:00,66.99,66.99,66.81,66.89,33457
2026-02-01 13:25:00,66.89,66.9,66.6,66.8,92520
2026-02-01 13:35:00,66.8,66.87,66.72,66.85,27661
2026-02-01 13:45:00,66.85,67.0,66.64,66.69,67358
2026-02-01 13:55:00,66.63,66.65,66.4,66.5,125969
2026-02-01 14:05:00,66.5,66.5,66.1,66.26,148074
2026-02-01 14:15:00,66.26,66.58,66.24,66.4,132702
2026-02-01 14:25:00,66.4,66.99,66.4,66.85,113783
2026-02-01 14:35:00,66.85,66.93,66.66,66.83,76755
2026-02-01 14:45:00,66.77,66.8,66.44,66.5,93113
2026-02-01 14:55:00,66.5,66.6,66.26,66.55,114870
2026-02-01 15:05:00,66.55,66.58,65.5,65.8,696121
2026-02-01 15:15:00,65.78,66.0,65.35,65.75,454571
2026-02-01 15:25:00,65.73,65.79,65.12,65.5,272265
2026-02-02 09:15:00,65.7,65.98,64.44,64.87,1222012
2026-02-02 09:25:00,64.84,64.9,64.51,64.7,551140
2026-02-02 09:35:00,64.67,65.18,64.66,64.83,673789
2026-02-02 09:45:00,64.78,65.16,64.7,65.16,300478
2026-02-02 09:55:00,65.16,65.36,64.86,64.93,469844
2026-02-02 10:05:00,64.93,65.16,64.7,64.94,203342
2026-02-02 10:15:00,64.95,65.04,64.5,64.61,189149
2026-02-02 10:25:00,64.61,64.77,64.5,64.72,92988
2026-02-02 10:35:00,64.72,64.78,64.35,64.41,145951
2026-02-02 10:45:00,64.41,64.41,63.9,63.93,314900
2026-02-02 10:55:00,63.92,63.97,63.69,63.73,244867
2026-02-02 11:05:00,63.7,63.87,63.51,63.77,200840
2026-02-02 11:15:00,63.83,63.89,63.45,63.57,405585
2026-02-02 11:25:00,63.53,64.11,63.52,64.11,177478
2026-02-02 11:35:00,64.09,64.46,63.95,64.25,338661
2026-02-02 11:45:00,64.24,64.34,64.04,64.2,204260
2026-02-02 11:55:00,64.15,64.2,63.91,64.02,77350
2026-02-02 12:05:00,64.02,64.08,63.86,64.07,72324
2026-02-02 12:15:00,64.07,64.3,63.95,64.15,88900
2026-02-02 12:25:00,64.15,64.17,63.94,63.96,117239
2026-02-02 12:35:00,63.96,64.17,63.8,63.98,83806
2026-02-02 12:45:00,63.98,64.12,63.91,64.06,74476
2026-02-02 12:55:00,64.06,64.34,64.05,64.22,152764
2026-02-02 13:05:00,64.22,64.77,64.18,64.61,340712
