datetime,open,high,low,close,volume
2023-05-11 09:15:00,453.9,453.9,446.2,450.0,1806902
2023-05-12 09:15:00,448.5,450.0,429.5,433.3,2384469
2023-05-15 09:15:00,436.0,440.35,433.15,438.7,1211759
2023-05-16 09:15:00,436.3,440.15,431.95,434.25,932792
2023-05-17 09:15:00,433.5,433.5,420.0,424.85,1912343
2023-05-18 09:15:00,425.4,434.4,423.0,424.25,1190785
2023-05-19 09:15:00,426.0,428.05,421.5,425.85,960017
2023-05-22 09:15:00,426.9,440.0,425.7,436.55,1163715
2023-05-23 09:15:00,439.8,444.9,436.1,440.2,1556493
2023-05-24 09:15:00,440.0,444.65,435.0,440.3,524416
2023-05-25 09:15:00,439.0,439.4,433.2,438.25,942466
2023-05-26 09:15:00,438.0,447.75,437.5,445.95,1306017
2023-05-29 09:15:00,447.85,469.95,447.6,461.8,3646628
2023-05-30 09:15:00,459.0,471.15,455.95,467.55,1779817
2023-05-31 09:15:00,466.95,469.05,462.85,466.0,1846067
2023-06-01 09:15:00,471.0,482.55,465.0,478.0,2734461
2023-06-02 09:15:00,482.9,482.9,470.0,471.8,1283206
2023-06-05 09:15:00,473.15,487.0,472.35,485.75,2460361
2023-06-06 09:15:00,488.0,498.3,482.65,496.7,3029195
2023-06-07 09:15:00,499.3,514.5,497.5,507.6,4050016
2023-06-08 09:15:00,508.8,516.55,502.85,512.8,2675656
2023-06-09 09:15:00,501.35,511.6,493.75,495.05,2299463
2023-06-12 09:15:00,494.0,510.0,491.3,503.4,2467369
2023-06-13 09:15:00,506.25,511.2,504.5,507.65,1265647
2023-06-14 09:15:00,509.1,522.8,508.35,517.0,2751526
2023-06-15 09:15:00,516.9,516.9,510.2,512.5,878135
2023-06-16 09:15:00,512.8,540.95,512.8,534.2,4458267
2023-06-19 09:15:00,535.0,553.0,530.6,549.25,2643105
2023-06-20 09:15:00,552.0,566.4,551.05,563.25,3386993
2023-06-21 09:15:00,565.8,571.95,560.6,567.9,4914968
2023-06-22 09:15:00,567.85,577.8,559.65,562.55,2171971
2023-06-23 09:15:00,561.95,567.9,554.4,556.15,1473904
2023-06-26 09:15:00,555.65,577.45,554.5,564.05,2505762
2023-06-27 09:15:00,561.05,582.0,558.0,580.1,2461049
2023-06-28 09:15:00,582.4,583.3,571.35,573.2,1582955
2023-06-30 09:15:00,574.0,574.95,564.4,572.5,1596915
2023-07-03 09:15:00,573.1,580.0,568.9,577.15,1052909
2023-07-04 09:15:00,575.0,578.95,562.75,565.6,977604
2023-07-05 09:15:00,565.65,577.4,564.6,572.4,1222653
2023-07-06 09:15:00,572.35,582.3,570.7,575.8,1317104
2023-07-07 09:15:00,575.8,581.25,571.1,573.3,875633
2023-07-10 09:15:00,578.9,599.0,576.8,595.0,3458701
2023-07-11 09:15:00,600.0,606.0,587.85,594.25,3325022
2023-07-12 09:15:00,595.05,601.95,594.5,597.1,1769333
2023-07-13 09:15:00,605.0,615.6,596.0,598.2,3376033
2023-07-14 09:15:00,601.45,605.65,581.6,587.85,2268610
2023-07-17 09:15:00,591.2,591.2,573.0,582.55,2054738
2023-07-18 09:15:00,584.7,588.9,568.15,574.75,4251884
2023-07-19 09:15:00,578.0,578.0,547.7,559.45,4751341
2023-07-20 09:15:00,562.0,563.5,545.3,547.75,2903375
2023-07-21 09:15:00,547.0,554.5,545.05,551.05,1907284
2023-07-24 09:15:00,552.0,573.0,551.3,570.2,2560127
2023-07-25 09:15:00,567.05,580.95,567.05,577.0,2343717
2023-07-26 09:15:00,576.1,579.8,566.2,576.65,1382192
2023-07-27 09:15:00,576.65,586.2,571.45,572.3,2490047
2023-07-28 09:15:00,574.0,581.8,567.9,580.45,1492937
2023-07-31 09:15:00,579.6,582.0,573.05,579.5,1082164
2023-08-01 09:15:00,580.55,583.95,571.0,574.7,1057168
2023-08-02 09:15:00,574.7,577.1,562.25,567.85,1186260
2023-08-03 09:15:00,565.0,576.0,565.0,570.8,1899228
2023-08-04 09:15:00,570.8,582.0,568.25,579.0,1143739
2023-08-07 09:15:00,581.9,581.9,571.25,578.6,759439
2023-08-08 09:15:00,578.2,585.0,572.5,581.15,1633145
2023-08-09 09:15:00,582.0,586.2,569.0,578.25,907531
2023-08-10 09:15:00,578.25,580.15,573.0,575.65,579432
2023-08-11 09:15:00,575.65,575.65,555.75,560.0,1394053
2023-08-14 09:15:00,557.0,560.0,548.65,555.0,1378329
2023-08-16 09:15:00,552.5,555.25,545.0,545.9,654088
2023-08-17 09:15:00,545.0,548.75,540.7,543.35,714690
2023-08-18 09:15:00,540.5,543.75,535.5,537.5,654768
2023-08-21 09:15:00,537.1,542.65,534.65,537.55,420708
2023-08-22 09:15:00,540.45,561.0,538.1,547.55,2864552
2023-08-23 09:15:00,549.5,554.25,547.05,549.25,994722
2023-08-24 09:15:00,550.3,555.0,542.25,544.75,791591
2023-08-25 09:15:00,542.0,550.45,540.0,548.05,1063787
2023-08-28 09:15:00,548.45,555.35,545.25,548.15,1544351
2023-08-29 09:15:00,548.25,560.2,546.5,558.05,2104744
2023-08-30 09:15:00,558.05,565.9,552.1,560.05,1156303
2023-08-31 09:15:00,563.45,568.9,555.95,563.9,3649073
2023-09-01 09:15:00,565.0,569.15,557.65,561.8,1107985
2023-09-04 09:15:00,560.45,563.9,551.1,553.55,895572
2023-09-05 09:15:00,554.1,558.1,535.1,536.85,2129860
2023-09-06 09:15:00,536.85,540.45,532.0,539.65,814384
2023-09-07 09:15:00,539.65,549.2,521.55,547.15,2932945
2023-09-08 09:15:00,550.0,567.85,545.75,556.7,2744094
2023-09-11 09:15:00,561.5,579.0,557.15,576.55,2168706
2023-09-12 09:15:00,580.0,580.3,552.05,554.55,2740114
2023-09-13 09:15:00,554.0,567.95,549.0,566.7,1404605
2023-09-14 09:15:00,567.9,572.0,564.35,569.5,637421
2023-09-15 09:15:00,570.0,598.2,569.3,595.0,4150275
2023-09-18 09:15:00,594.95,606.4,590.7,602.6,4325246
2023-09-20 09:15:00,600.95,600.95,586.15,588.2,962698
2023-09-21 09:15:00,585.9,588.85,564.25,565.05,1520707
2023-09-22 09:15:00,565.05,580.0,564.45,578.2,1299679
2023-09-25 09:15:00,580.05,580.05,569.05,577.8,1406289
2023-09-26 09:15:00,578.95,586.65,574.45,577.05,1294159
2023-09-27 09:15:00,577.0,581.0,573.15,579.95,953762
2023-09-28 09:15:00,579.75,581.5,563.3,566.1,4110901
2023-09-29 09:15:00,568.9,569.9,560.15,566.2,1286955
2023-10-03 09:15:00,565.0,566.9,554.3,558.85,1100907
2023-10-04 09:15:00,559.05,560.0,552.25,557.55,1391947
2023-10-05 09:15:00,559.8,561.95,550.6,551.65,530790
