datetime,open,high,low,close,volume
2026-01-30 09:15:00,127.42,127.5,125.8,126.1,335479
2026-01-30 09:20:00,126.14,126.42,125.89,126.06,174771
2026-01-30 09:25:00,126.02,126.25,125.82,125.93,184143
2026-01-30 09:30:00,125.93,126.61,125.86,126.61,177625
2026-01-30 09:35:00,126.71,126.77,126.36,126.63,131069
2026-01-30 09:40:00,126.63,126.64,126.2,126.45,135181
2026-01-30 09:45:00,126.47,126.64,126.31,126.55,77093
2026-01-30 09:50:00,126.55,126.88,126.5,126.69,93547
2026-01-30 09:55:00,126.63,126.75,126.45,126.72,74480
2026-01-30 10:00:00,126.72,127.49,126.6,127.16,79802
2026-01-30 10:05:00,127.27,127.4,127.1,127.21,93201
2026-01-30 10:10:00,127.26,127.7,127.15,127.65,129062
2026-01-30 10:15:00,127.75,127.78,127.46,127.5,143922
2026-01-30 10:20:00,127.41,127.47,127.05,127.1,90375
2026-01-30 10:25:00,127.08,127.27,126.83,126.83,171115
2026-01-30 10:30:00,126.88,127.25,126.83,127.21,70047
2026-01-30 10:35:00,127.21,127.28,127.05,127.15,21040
2026-01-30 10:40:00,127.15,127.33,127.14,127.27,67113
2026-01-30 10:45:00,127.2,127.45,127.2,127.33,22447
2026-01-30 10:50:00,127.39,127.45,127.3,127.41,47671
2026-01-30 10:55:00,127.41,127.75,127.4,127.6,107964
2026-01-30 11:00:00,127.62,127.8,127.5,127.51,58841
2026-01-30 11:05:00,127.45,127.45,127.0,127.1,148735
2026-01-30 11:10:00,127.15,127.33,127.1,127.18,36507
2026-01-30 11:15:00,127.21,127.35,127.04,127.16,49020
2026-01-30 11:20:00,127.19,127.33,127.05,127.28,47531
2026-01-30 11:25:00,127.27,127.47,127.07,127.19,57767
2026-01-30 11:30:00,127.19,127.5,127.14,127.29,77269
2026-01-30 11:35:00,127.23,127.39,127.1,127.39,21710
2026-01-30 11:40:00,127.37,127.47,127.17,127.23,63272
2026-01-30 11:45:00,127.23,127.29,127.1,127.14,30955
2026-01-30 11:50:00,127.21,127.4,127.18,127.38,26568
2026-01-30 11:55:00,127.35,127.37,127.1,127.2,35307
2026-01-30 12:00:00,127.24,127.24,126.64,126.65,178171
2026-01-30 12:05:00,126.65,126.89,126.65,126.88,25215
2026-01-30 12:10:00,126.88,127.06,126.83,127.01,33432
2026-01-30 12:15:00,127.01,127.01,126.65,126.7,39134
2026-01-30 12:20:00,126.7,126.96,126.65,126.9,20097
2026-01-30 12:25:00,126.96,127.0,126.9,126.99,12505
2026-01-30 12:30:00,126.98,127.1,126.94,127.03,16039
2026-01-30 12:35:00,127.03,127.14,127.03,127.03,15435
2026-01-30 12:40:00,127.03,127.07,126.8,126.86,32074
2026-01-30 12:45:00,126.88,127.0,126.72,126.86,45926
2026-01-30 12:50:00,126.86,126.98,126.82,126.89,20924
2026-01-30 12:55:00,126.89,126.95,126.8,126.88,15592
2026-01-30 13:00:00,126.88,127.05,126.87,126.93,15903
2026-01-30 13:05:00,126.95,126.97,126.5,126.51,106761
2026-01-30 13:10:00,126.51,126.63,126.2,126.21,69128
2026-01-30 13:15:00,126.21,126.22,125.95,126.1,288616
2026-01-30 13:20:00,126.1,126.43,126.07,126.29,86635
2026-01-30 13:25:00,126.29,126.49,126.29,126.44,21321
2026-01-30 13:30:00,126.44,126.77,126.34,126.77,80024
2026-01-30 13:35:00,126.77,126.8,126.08,126.21,457445
2026-01-30 13:40:00,126.24,126.59,126.18,126.48,47328
2026-01-30 13:45:00,126.53,126.71,126.46,126.55,70052
2026-01-30 13:50:00,126.55,126.78,126.53,126.72,23920
2026-01-30 13:55:00,126.72,126.95,126.72,126.91,61977
2026-01-30 14:00:00,126.91,126.98,126.72,126.73,55197
2026-01-30 14:05:00,126.8,126.88,126.7,126.86,30358
2026-01-30 14:10:00,126.81,126.9,126.75,126.84,26041
2026-01-30 14:15:00,126.84,126.94,126.61,126.88,97467
2026-01-30 14:20:00,126.88,126.93,126.7,126.76,74577
