datetime,open,high,low,close,volume
2026-01-30 09:15:00,54.86,55.2,53.78,54.63,4041187
2026-01-30 09:45:00,54.66,55.59,54.34,55.53,2728202
2026-01-30 10:15:00,55.54,55.54,55.06,55.48,1318666
2026-01-30 10:45:00,55.48,55.59,55.23,55.32,601199
2026-01-30 11:15:00,55.32,55.4,54.93,55.16,522990
2026-01-30 11:45:00,55.17,55.2,54.94,55.04,355099
2026-01-30 12:15:00,55.05,55.24,54.86,55.16,500394
2026-01-30 12:45:00,55.16,55.22,54.96,55.02,360394
2026-01-30 13:15:00,55.05,55.35,54.92,55.33,554907
2026-01-30 13:45:00,55.3,55.84,55.22,55.44,955718
2026-01-30 14:15:00,55.46,55.6,55.15,55.15,468774
2026-01-30 14:45:00,55.16,55.33,55.01,55.17,1256498
2026-01-30 15:15:00,55.15,55.26,54.92,54.92,1240456
2026-02-01 09:15:00,59.0,61.69,58.3,59.76,25571898
2026-02-01 09:45:00,59.75,60.5,59.63,59.71,9462605
2026-02-01 10:15:00,59.7,59.92,58.31,58.86,10692142
2026-02-01 10:45:00,58.89,59.46,58.63,58.96,7145733
2026-02-01 11:15:00,58.96,59.3,57.71,57.96,5636118
2026-02-01 11:45:00,57.96,58.32,57.06,57.37,10503219
2026-02-01 12:15:00,57.36,58.21,55.56,57.61,13685426
2026-02-01 12:45:00,57.6,58.06,57.24,57.58,5487708
2026-02-01 13:15:00,57.6,57.97,57.17,57.46,3231057
2026-02-01 13:45:00,57.47,57.54,57.01,57.26,2033664
2026-02-01 14:15:00,57.26,57.77,57.1,57.75,2252901
2026-02-01 14:45:00,57.73,57.8,57.01,57.25,4076657
2026-02-01 15:15:00,57.25,57.7,57.19,57.5,4399939
2026-02-02 09:15:00,57.43,58.05,56.22,56.4,4405169
2026-02-02 09:45:00,56.39,56.67,55.85,56.1,1912778
2026-02-02 10:15:00,56.08,56.22,55.73,55.81,900589
2026-02-02 10:45:00,55.81,55.85,55.11,55.31,1417425
2026-02-02 11:15:00,55.31,55.79,54.8,55.29,2011526
2026-02-02 11:45:00,55.29,55.44,54.94,55.21,1059908
2026-02-02 12:15:00,55.21,55.35,54.91,55.05,538916
2026-02-02 12:45:00,55.04,55.67,55.03,55.47,881435
2026-02-02 13:15:00,55.52,55.6,55.21,55.56,458668
2026-02-02 13:45:00,55.56,55.8,55.4,55.47,878403
2026-02-02 14:15:00,55.47,55.7,55.3,55.69,568360
2026-02-02 14:45:00,55.63,56.38,55.59,56.36,1578670
2026-02-02 15:15:00,56.36,56.38,55.98,56.07,1431428
2026-02-03 09:15:00,59.0,59.02,56.31,56.34,4464079
2026-02-03 09:45:00,56.34,56.85,56.2,56.42,1405331
2026-02-03 10:15:00,56.41,56.75,56.41,56.56,779783
2026-02-03 10:45:00,56.52,56.89,56.47,56.76,624367
2026-02-03 11:15:00,56.76,56.97,56.64,56.76,526129
2026-02-03 11:45:00,56.79,57.1,56.71,56.85,661816
2026-02-03 12:15:00,56.86,57.2,56.8,56.86,529750
2026-02-03 12:45:00,56.86,56.97,56.72,56.84,418603
2026-02-03 13:15:00,56.84,56.86,56.61,56.85,417748
2026-02-03 13:45:00,56.85,56.96,56.76,56.92,376739
2026-02-03 14:15:00,56.92,56.95,56.45,56.46,675563
2026-02-03 14:45:00,56.46,57.35,56.45,56.71,2020235
2026-02-03 15:15:00,56.71,56.75,56.43,56.75,1233620
2026-02-04 09:15:00,56.56,57.04,55.78,56.99,2388908
2026-02-04 09:45:00,57.0,57.67,56.94,57.36,2398735
2026-02-04 10:15:00,57.36,58.4,57.29,57.45,2612239
2026-02-04 10:45:00,57.45,57.88,57.33,57.41,836936
2026-02-04 11:15:00,57.41,57.5,57.25,57.44,501402
2026-02-04 11:45:00,57.41,57.64,57.11,57.45,922183
2026-02-04 12:15:00,57.45,57.95,57.45,57.75,1528946
2026-02-04 12:45:00,57.75,57.88,57.58,57.8,559799
2026-02-04 13:15:00,57.8,58.09,57.76,57.89,810737
2026-02-04 13:45:00,57.88,58.1,57.82,57.99,654167
2026-02-04 14:15:00,58.0,58.1,57.91,58.04,730689
2026-02-04 14:45:00,58.24,58.27,57.8,57.85,1479046
2026-02-04 15:15:00,57.85,58.03,57.6,57.9,1436060
2026-02-05 09:15:00,58.0,60.85,57.78,60.49,18495671
2026-02-05 09:45:00,60.48,60.55,59.8,60.4,8146210
2026-02-05 10:15:00,60.4,61.25,59.87,60.75,12629060
2026-02-05 10:45:00,60.73,60.8,60.04,60.35,4623254
2026-02-05 11:15:00,60.31,60.55,60.21,60.3,2515689
2026-02-05 11:45:00,60.3,60.31,59.75,59.84,3260049
