datetime,open,high,low,close,volume
2026-01-30 09:15:00,34.51,34.72,34.32,34.69,908183
2026-01-30 09:45:00,34.7,35.23,34.66,35.2,1286464
2026-01-30 10:15:00,35.2,35.28,35.0,35.2,762270
2026-01-30 10:45:00,35.2,35.44,35.11,35.27,675821
2026-01-30 11:15:00,35.27,35.57,35.22,35.38,622319
2026-01-30 11:45:00,35.39,35.53,35.33,35.44,469428
2026-01-30 12:15:00,35.47,35.52,35.36,35.46,313251
2026-01-30 12:45:00,35.46,35.5,35.32,35.36,235381
2026-01-30 13:15:00,35.35,35.46,35.16,35.45,517290
2026-01-30 13:45:00,35.45,35.67,35.37,35.63,528382
2026-01-30 14:15:00,35.63,35.67,35.49,35.5,1043056
2026-01-30 14:45:00,35.5,35.76,35.41,35.65,667802
2026-01-30 15:15:00,35.62,35.7,35.56,35.65,611978
2026-02-01 09:15:00,34.87,35.25,34.2,34.94,2205015
2026-02-01 09:45:00,34.94,35.15,34.92,35.1,602436
2026-02-01 10:15:00,35.11,35.23,35.08,35.17,210790
2026-02-01 10:45:00,35.17,35.19,35.0,35.1,329052
2026-02-01 11:15:00,35.1,35.3,34.75,34.84,599847
2026-02-01 11:45:00,34.85,34.9,34.57,34.68,744009
2026-02-01 12:15:00,34.66,34.79,34.17,34.72,1119197
2026-02-01 12:45:00,34.7,34.91,34.7,34.83,637265
2026-02-01 13:15:00,34.83,34.83,34.63,34.71,251094
2026-02-01 13:45:00,34.71,34.78,34.56,34.63,125421
2026-02-01 14:15:00,34.63,34.75,34.58,34.64,282976
2026-02-01 14:45:00,34.66,34.66,34.4,34.4,437144
2026-02-01 15:15:00,34.4,34.4,34.2,34.38,652334
2026-02-02 09:15:00,34.35,34.52,34.21,34.25,860157
2026-02-02 09:45:00,34.25,34.31,34.1,34.26,733089
2026-02-02 10:15:00,34.26,34.26,33.95,33.96,474369
2026-02-02 10:45:00,33.96,33.98,33.72,33.86,497617
2026-02-02 11:15:00,33.83,34.04,33.74,33.9,473951
2026-02-02 11:45:00,33.92,34.05,33.84,33.92,397884
2026-02-02 12:15:00,33.92,34.0,33.75,33.83,255700
2026-02-02 12:45:00,33.81,34.04,33.81,34.02,221414
2026-02-02 13:15:00,34.02,34.14,33.9,34.14,247504
2026-02-02 13:45:00,34.12,34.2,34.03,34.11,418350
2026-02-02 14:15:00,34.11,34.26,34.05,34.26,226174
2026-02-02 14:45:00,34.24,34.57,34.24,34.47,930143
2026-02-02 15:15:00,34.47,34.74,34.4,34.7,770075
2026-02-03 09:15:00,35.6,35.68,34.61,34.64,1206322
2026-02-03 09:45:00,34.6,34.83,34.55,34.76,460088
2026-02-03 10:15:00,34.76,34.85,34.68,34.76,209214
2026-02-03 10:45:00,34.76,34.84,34.71,34.78,233373
2026-02-03 11:15:00,34.79,34.85,34.75,34.8,143686
2026-02-03 11:45:00,34.81,34.9,34.8,34.83,174451
2026-02-03 12:15:00,34.8,34.89,34.8,34.82,84072
2026-02-03 12:45:00,34.82,34.87,34.74,34.76,150204
2026-02-03 13:15:00,34.76,34.81,34.66,34.74,392899
2026-02-03 13:45:00,34.75,34.81,34.67,34.8,781255
2026-02-03 14:15:00,34.8,34.81,34.68,34.69,215160
2026-02-03 14:45:00,34.68,34.72,34.62,34.69,376478
2026-02-03 15:15:00,34.69,34.76,34.66,34.66,645927
2026-02-04 09:15:00,34.7,34.84,34.45,34.75,574065
2026-02-04 09:45:00,34.75,34.95,34.75,34.91,540978
2026-02-04 10:15:00,34.92,34.98,34.81,34.87,349952
2026-02-04 10:45:00,34.87,34.99,34.82,34.93,281267
2026-02-04 11:15:00,34.93,34.95,34.86,34.92,87281
2026-02-04 11:45:00,34.92,35.2,34.9,35.12,775863
2026-02-04 12:15:00,35.12,35.15,34.97,35.04,281503
2026-02-04 12:45:00,35.04,35.13,34.93,35.08,186746
2026-02-04 13:15:00,35.08,35.18,35.05,35.17,170671
2026-02-04 13:45:00,35.17,35.28,35.14,35.22,537617
