datetime,open,high,low,close,volume
2026-01-29 09:15:00,180.91,181.67,176.8,177.15,625661
2026-01-29 10:15:00,177.14,177.3,175.61,176.31,299964
2026-01-29 11:15:00,176.31,177.52,176.0,176.1,155112
2026-01-29 12:15:00,176.1,176.8,175.8,176.41,111556
2026-01-29 13:15:00,176.41,177.0,175.9,176.54,162900
2026-01-29 14:15:00,176.54,177.74,176.3,176.5,487847
2026-01-29 15:15:00,176.65,177.9,176.4,177.6,212348
2026-01-30 09:15:00,176.0,179.4,172.6,178.4,935278
2026-01-30 10:15:00,178.25,178.5,176.17,177.93,242821
2026-01-30 11:15:00,177.81,177.82,176.58,177.0,130669
2026-01-30 12:15:00,177.0,177.0,174.77,175.19,210017
2026-01-30 13:15:00,175.19,177.28,174.68,176.6,199258
2026-01-30 14:15:00,176.54,176.97,174.75,176.05,340455
2026-01-30 15:15:00,176.1,176.48,175.0,175.29,191268
2026-02-01 09:15:00,176.9,176.9,173.6,174.64,254959
2026-02-01 10:15:00,174.64,176.24,174.37,175.88,118162
2026-02-01 11:15:00,176.06,176.25,174.4,175.2,198042
2026-02-01 12:15:00,175.2,175.2,172.4,173.58,263400
2026-02-01 13:15:00,173.58,174.8,173.1,173.47,101533
2026-02-01 14:15:00,173.49,173.99,173.0,173.68,71457
2026-02-01 15:15:00,172.97,173.04,171.0,171.5,125217
2026-02-02 09:15:00,172.0,175.94,169.5,174.42,936815
2026-02-02 10:15:00,174.42,174.5,170.98,171.61,422675
2026-02-02 11:15:00,171.61,172.97,169.67,170.65,403294
2026-02-02 12:15:00,170.65,171.38,169.06,170.33,387183
2026-02-02 13:15:00,170.61,172.88,169.2,172.43,254054
2026-02-02 14:15:00,172.43,177.66,172.43,177.66,442827
2026-02-02 15:15:00,177.59,177.98,176.82,177.4,152505
2026-02-03 09:15:00,188.0,190.0,180.78,181.68,804021
2026-02-03 10:15:00,181.68,183.41,180.81,183.14,180026
2026-02-03 11:15:00,183.14,188.77,182.32,188.46,1219451
2026-02-03 12:15:00,188.32,188.9,187.34,188.0,953285
2026-02-03 13:15:00,188.0,189.32,187.71,188.5,491016
2026-02-03 14:15:00,188.5,188.8,187.71,188.08,563832
2026-02-03 15:15:00,188.08,188.49,187.51,187.9,313094
2026-02-04 09:15:00,187.7,189.7,184.54,189.54,585817
2026-02-04 10:15:00,189.54,189.77,187.67,188.12,357081
2026-02-04 11:15:00,188.12,189.0,187.64,188.2,232512
2026-02-04 12:15:00,188.33,189.1,187.62,188.42,338345
2026-02-04 13:15:00,188.42,189.8,187.6,189.53,263796
2026-02-04 14:15:00,189.53,189.84,188.01,188.2,326478
