datetime,open,high,low,close,volume
2023-05-11 09:15:00,65.25,69.0,64.45,65.1,13933169
2023-05-12 09:15:00,65.5,66.65,64.3,66.0,2326707
2023-05-15 09:15:00,66.2,66.75,64.35,66.3,2194795
2023-05-16 09:15:00,66.0,66.0,64.0,64.2,2851331
2023-05-17 09:15:00,64.6,65.1,63.6,63.85,1189465
2023-05-18 09:15:00,64.65,66.6,63.7,66.05,8996376
2023-05-19 09:15:00,65.85,68.7,64.0,68.05,6077222
2023-05-22 09:15:00,68.45,69.7,66.2,66.8,2344174
2023-05-23 09:15:00,66.95,67.5,66.0,66.1,1342751
2023-05-24 09:15:00,66.3,68.6,65.8,66.85,2368864
2023-05-25 09:15:00,66.95,67.65,66.6,66.85,696715
2023-05-26 09:15:00,67.1,72.75,66.5,71.3,12245727
2023-05-29 09:15:00,72.0,72.5,68.9,69.4,3510254
2023-05-30 09:15:00,69.6,70.45,67.85,68.85,2509758
2023-05-31 09:15:00,68.85,70.45,68.1,70.2,2462155
2023-06-01 09:15:00,70.5,70.95,69.65,70.05,1729395
2023-06-02 09:15:00,70.45,72.6,70.3,71.85,3599128
2023-06-05 09:15:00,72.25,73.0,71.6,72.15,2267175
2023-06-06 09:15:00,72.45,73.75,71.45,73.2,2136684
2023-06-07 09:15:00,73.25,74.6,73.25,73.95,2534581
2023-06-08 09:15:00,74.3,75.75,71.7,72.3,2955541
2023-06-09 09:15:00,72.55,74.0,71.5,73.4,2393337
2023-06-12 09:15:00,73.5,73.7,72.3,72.85,1650882
2023-06-13 09:15:00,72.9,73.9,72.6,72.9,1165016
2023-06-14 09:15:00,73.2,73.2,71.7,71.95,886568
2023-06-15 09:15:00,72.4,73.4,71.1,71.45,1797151
2023-06-16 09:15:00,73.35,74.6,72.85,73.55,5285370
2023-06-19 09:15:00,74.6,75.75,73.8,75.0,3731964
2023-06-20 09:15:00,75.0,76.1,73.35,73.85,2638175
2023-06-21 09:15:00,74.0,74.65,73.35,74.2,1736747
2023-06-22 09:15:00,74.2,75.2,71.5,72.05,2121981
2023-06-23 09:15:00,72.45,72.95,70.8,71.5,960324
2023-06-26 09:15:00,71.55,73.05,71.2,72.45,707772
2023-06-27 09:15:00,72.9,73.25,71.9,72.05,891168
2023-06-28 09:15:00,72.45,73.45,71.8,72.15,1104656
2023-06-30 09:15:00,72.75,73.8,72.25,73.45,838972
2023-07-03 09:15:00,73.55,74.3,72.85,73.85,1156353
2023-07-04 09:15:00,74.4,75.5,73.7,74.15,1419690
2023-07-05 09:15:00,74.4,75.0,73.65,74.15,1199880
2023-07-06 09:15:00,74.15,75.05,72.95,73.85,1111592
2023-07-07 09:15:00,73.8,75.35,72.95,73.95,2473894
2023-07-10 09:15:00,74.5,75.15,73.25,73.6,738512
2023-07-11 09:15:00,73.65,75.0,73.65,74.2,701691
2023-07-12 09:15:00,74.5,74.8,73.65,73.95,728164
2023-07-13 09:15:00,74.05,75.45,74.05,74.65,1786944
2023-07-14 09:15:00,75.0,77.85,75.0,75.5,4230807
2023-07-17 09:15:00,76.0,76.25,74.2,74.9,1855915
2023-07-18 09:15:00,75.25,75.45,74.6,74.95,981112
2023-07-19 09:15:00,75.05,75.25,74.35,74.95,1066437
2023-07-20 09:15:00,74.95,75.2,73.8,74.1,998687
2023-07-21 09:15:00,74.0,74.4,73.25,73.4,563687
2023-07-24 09:15:00,73.4,73.95,72.4,72.85,680813
2023-07-25 09:15:00,72.85,73.45,71.5,72.15,1150761
2023-07-26 09:15:00,72.4,74.5,72.0,74.1,1160341
2023-07-27 09:15:00,74.4,75.05,73.7,73.95,557009
2023-07-28 09:15:00,74.0,78.8,73.95,76.8,12199572
2023-07-31 09:15:00,77.0,78.7,75.65,77.85,4132688
