datetime,open,high,low,close,volume
2026-02-01 09:15:00,461.9,461.9,456.1,458.2,52377
2026-02-01 09:25:00,458.2,459.1,455.0,455.95,87520
2026-02-01 09:35:00,456.2,456.2,451.6,453.2,96039
2026-02-01 09:45:00,453.3,456.85,452.35,455.9,74030
2026-02-01 09:55:00,455.75,456.65,454.15,456.4,94715
2026-02-01 10:05:00,456.5,457.45,455.25,456.6,36760
2026-02-01 10:15:00,456.6,457.9,455.9,456.5,40010
2026-02-01 10:25:00,456.75,456.85,456.0,456.4,16433
2026-02-01 10:35:00,456.05,460.0,456.05,459.2,174569
2026-02-01 10:45:00,459.5,459.6,457.25,458.4,116143
2026-02-01 10:55:00,458.4,460.2,458.4,460.1,49139
2026-02-01 11:05:00,460.1,461.4,457.05,459.9,102057
2026-02-01 11:15:00,459.9,460.15,458.6,459.5,50823
2026-02-01 11:25:00,459.5,460.0,456.0,456.6,91787
2026-02-01 11:35:00,456.6,457.1,452.0,453.7,82052
2026-02-01 11:45:00,453.35,457.2,452.15,456.25,139235
2026-02-01 11:55:00,455.95,456.7,454.4,455.15,30656
2026-02-01 12:05:00,455.15,456.5,452.85,453.5,57413
2026-02-01 12:15:00,453.5,453.8,449.2,449.9,82833
2026-02-01 12:25:00,449.85,450.5,440.7,446.5,170349
2026-02-01 12:35:00,446.65,450.0,445.1,448.65,112345
2026-02-01 12:45:00,448.5,450.0,447.0,448.25,30860
2026-02-01 12:55:00,448.2,451.2,448.2,449.85,25989
2026-02-01 13:05:00,449.75,452.3,449.0,452.25,16792
2026-02-01 13:15:00,452.25,452.95,449.75,451.95,32137
2026-02-01 13:25:00,452.0,452.2,448.75,451.45,24405
2026-02-01 13:35:00,451.95,451.95,447.05,448.05,29621
2026-02-01 13:45:00,448.1,448.4,446.85,447.25,31535
2026-02-01 13:55:00,447.25,447.95,446.65,447.65,24722
2026-02-01 14:05:00,447.55,447.65,444.35,446.6,38713
2026-02-01 14:15:00,446.6,447.0,441.0,442.3,82242
2026-02-01 14:25:00,442.3,448.5,442.3,448.5,40445
2026-02-01 14:35:00,449.0,449.35,446.25,446.7,18924
2026-02-01 14:45:00,446.25,446.45,442.45,443.2,29532
2026-02-01 14:55:00,443.2,444.3,441.6,443.95,56944
2026-02-01 15:05:00,443.65,444.15,440.2,440.9,75983
2026-02-01 15:15:00,440.9,443.3,440.9,442.75,70457
2026-02-01 15:25:00,442.7,442.8,436.55,441.75,141768
2026-02-02 09:15:00,443.0,446.3,440.25,445.0,103076
2026-02-02 09:25:00,446.0,448.0,443.85,446.8,61281
2026-02-02 09:35:00,446.8,447.6,445.6,446.9,23297
2026-02-02 09:45:00,446.9,450.05,446.5,449.75,62554
2026-02-02 09:55:00,449.8,450.0,447.2,447.5,49725
2026-02-02 10:05:00,447.5,448.45,446.7,448.3,103479
