datetime,open,high,low,close,volume
2026-02-01 09:15:00,814.8,818.15,810.35,815.2,5169
2026-02-01 09:25:00,815.2,815.2,812.5,813.95,2627
2026-02-01 09:35:00,813.95,817.1,813.0,817.0,1726
2026-02-01 09:45:00,817.0,818.0,814.0,815.0,7963
2026-02-01 09:55:00,815.0,819.7,815.0,818.2,2097
2026-02-01 10:05:00,818.2,819.5,817.05,819.5,1749
2026-02-01 10:15:00,819.5,824.0,817.0,818.65,6014
2026-02-01 10:25:00,819.4,820.8,817.85,819.9,2075
2026-02-01 10:35:00,819.9,822.8,818.1,822.3,1239
2026-02-01 10:45:00,823.0,824.0,820.85,820.85,3735
2026-02-01 10:55:00,821.2,823.0,818.1,818.75,2988
2026-02-01 11:05:00,818.75,821.0,816.6,818.4,2855
2026-02-01 11:15:00,818.4,819.9,816.5,818.95,1183
2026-02-01 11:25:00,818.95,819.8,815.45,818.2,1569
2026-02-01 11:35:00,818.2,818.35,813.3,814.75,2445
2026-02-01 11:45:00,814.75,818.05,812.15,814.75,2312
2026-02-01 11:55:00,815.5,815.6,810.25,810.25,6130
2026-02-01 12:05:00,810.7,815.2,808.6,811.7,1912
2026-02-01 12:15:00,811.7,811.85,804.85,805.4,2151
2026-02-01 12:25:00,806.2,807.7,791.55,798.25,8690
2026-02-01 12:35:00,798.25,804.9,798.25,804.9,3937
2026-02-01 12:45:00,804.9,809.0,804.2,807.5,2655
2026-02-01 12:55:00,807.5,810.7,805.0,808.95,1470
2026-02-01 13:05:00,808.95,808.95,804.5,805.6,1410
2026-02-01 13:15:00,805.6,807.55,805.0,805.0,1183
2026-02-01 13:25:00,805.0,805.8,802.3,805.05,1241
2026-02-01 13:35:00,805.05,805.45,801.8,805.45,1012
2026-02-01 13:45:00,805.45,805.45,800.1,801.5,800
2026-02-01 13:55:00,801.5,801.85,798.35,798.35,2609
2026-02-01 14:05:00,798.35,800.0,798.35,800.0,473
2026-02-01 14:15:00,800.0,801.2,799.05,800.1,845
2026-02-01 14:25:00,800.1,804.85,799.25,804.4,987
2026-02-01 14:35:00,804.4,807.2,804.4,806.4,772
2026-02-01 14:45:00,806.4,806.6,803.0,804.9,529
2026-02-01 14:55:00,804.9,805.0,802.45,803.05,1158
2026-02-01 15:05:00,803.05,803.4,800.0,800.0,1495
2026-02-01 15:15:00,800.6,800.6,795.0,797.75,4629
2026-02-01 15:25:00,797.75,803.0,795.0,797.0,2032
2026-02-02 09:15:00,793.0,797.1,783.55,787.95,14032
2026-02-02 09:25:00,788.45,795.3,785.95,792.0,6237
2026-02-02 09:35:00,792.05,792.05,776.05,776.6,16517
2026-02-02 09:45:00,776.95,779.4,775.0,778.0,10062
2026-02-02 09:55:00,777.15,779.35,774.0,777.6,7085
2026-02-02 10:05:00,778.95,782.8,777.35,780.8,5850
2026-02-02 10:15:00,780.8,781.45,778.0,780.0,9718
2026-02-02 10:25:00,780.0,780.35,777.0,778.55,8564
2026-02-02 10:35:00,777.8,778.2,768.1,769.65,20160
2026-02-02 10:45:00,769.1,769.1,763.4,764.05,10390
2026-02-02 10:55:00,764.05,765.0,760.05,762.25,18107
2026-02-02 11:05:00,762.3,762.9,756.15,758.9,6654
2026-02-02 11:15:00,758.5,759.9,757.0,758.5,13069
2026-02-02 11:25:00,758.5,765.0,756.7,764.85,15582
2026-02-02 11:35:00,764.85,765.65,762.0,764.55,21341
2026-02-02 11:45:00,764.85,769.45,762.0,767.9,6857
2026-02-02 11:55:00,767.9,772.85,766.05,770.0,9472
2026-02-02 12:05:00,770.05,771.3,769.5,770.05,7476
2026-02-02 12:15:00,770.05,771.5,769.15,770.45,10472
2026-02-02 12:25:00,769.7,770.0,761.15,761.45,5998
2026-02-02 12:35:00,761.45,762.9,758.65,759.4,13903
2026-02-02 12:45:00,759.4,760.25,756.0,758.3,7830
2026-02-02 12:55:00,758.3,761.6,758.0,760.15,4966
2026-02-02 13:05:00,760.15,765.95,758.25,761.75,8433
2026-02-02 13:15:00,761.75,761.95,755.0,756.65,10357
2026-02-02 13:25:00,756.65,759.75,755.3,756.9,12884
2026-02-02 13:35:00,756.05,757.95,753.9,757.95,18869
2026-02-02 13:45:00,757.85,759.55,756.55,757.0,10630
2026-02-02 13:55:00,757.9,757.9,755.7,756.9,6474
2026-02-02 14:05:00,757.0,758.55,756.0,757.0,6929
2026-02-02 14:15:00,757.75,761.75,750.0,759.4,53106
2026-02-02 14:25:00,759.55,762.35,759.05,760.0,8302
2026-02-02 14:35:00,760.75,762.7,760.0,761.25,9158
2026-02-02 14:45:00,761.55,766.65,760.25,764.0,22251
2026-02-02 14:55:00,764.0,766.45,761.95,766.35,21630
2026-02-02 15:05:00,766.25,768.9,762.7,765.0,44396
2026-02-02 15:15:00,764.4,767.95,762.9,766.3,37290
2026-02-02 15:25:00,766.75,774.0,766.45,773.15,11412
2026-02-03 09:15:00,815.0,821.7,798.95,815.25,78679
2026-02-03 09:25:00,815.25,825.8,812.1,820.0,60296
2026-02-03 09:35:00,820.0,824.05,815.35,815.9,16583
2026-02-03 09:45:00,815.1,818.3,814.0,816.85,31641
2026-02-03 09:55:00,816.85,822.4,814.55,815.0,48334
2026-02-03 10:05:00,815.0,816.35,815.0,815.2,11575
2026-02-03 10:15:00,815.2,815.75,815.0,815.25,8463
2026-02-03 10:25:00,815.25,821.0,815.05,816.15,43428
2026-02-03 10:35:00,816.3,817.0,816.0,816.0,9479
2026-02-03 10:45:00,816.35,817.0,816.0,816.95,7881
2026-02-03 10:55:00,816.95,817.7,816.0,816.35,5005
2026-02-03 11:05:00,816.35,820.1,816.0,816.5,19299
2026-02-03 11:15:00,816.35,817.5,816.0,816.9,11324
2026-02-03 11:25:00,816.85,817.9,815.95,817.0,14057
2026-02-03 11:35:00,817.1,829.0,811.3,824.95,70370
2026-02-03 11:45:00,824.95,825.1,818.6,825.1,7769
2026-02-03 11:55:00,825.1,828.0,821.8,825.7,12536
2026-02-03 12:05:00,825.7,827.25,823.55,827.05,7295
2026-02-03 12:15:00,827.1,830.7,825.15,826.0,58291
2026-02-03 12:25:00,826.05,830.7,825.0,830.15,8220
2026-02-03 12:35:00,830.15,839.0,828.0,838.05,34840
2026-02-03 12:45:00,837.65,844.85,834.05,839.4,59846
2026-02-03 12:55:00,839.4,843.0,839.4,840.95,21481
2026-02-03 13:05:00,840.95,849.05,840.6,842.0,56435
2026-02-03 13:15:00,842.0,843.6,830.2,832.15,50098
