datetime,open,high,low,close,volume
2026-01-29 09:15:00,226.65,226.65,224.27,225.03,16680
2026-01-29 09:45:00,225.13,225.9,223.9,223.97,12108
2026-01-29 10:15:00,223.97,224.47,223.5,224.11,11698
2026-01-29 10:45:00,224.04,224.7,223.4,224.5,12785
2026-01-29 11:15:00,224.5,225.86,224.32,225.4,10987
2026-01-29 11:45:00,225.4,225.94,224.66,225.66,9065
2026-01-29 12:15:00,225.66,225.89,225.1,225.43,6842
2026-01-29 12:45:00,225.4,225.92,225.1,225.56,6790
2026-01-29 13:15:00,225.56,225.89,224.04,224.31,22840
2026-01-29 13:45:00,224.31,224.79,223.99,224.09,5423
2026-01-29 14:15:00,224.43,225.0,223.99,224.74,20983
2026-01-29 14:45:00,224.72,225.43,224.18,224.96,43381
2026-01-29 15:15:00,224.99,227.79,224.05,224.15,117472
2026-01-30 09:15:00,223.18,225.19,222.88,224.61,21573
2026-01-30 09:45:00,224.61,226.39,224.44,226.0,24964
2026-01-30 10:15:00,226.0,226.89,225.52,226.68,21447
2026-01-30 10:45:00,226.68,228.8,226.01,228.16,22303
2026-01-30 11:15:00,228.25,230.98,228.0,230.38,44313
2026-01-30 11:45:00,230.42,230.98,229.93,230.44,22800
2026-01-30 12:15:00,230.44,230.54,229.85,230.21,31371
2026-01-30 12:45:00,230.0,230.33,229.21,230.1,33850
2026-01-30 13:15:00,230.1,230.3,229.79,230.17,35276
2026-01-30 13:45:00,230.01,230.29,229.71,230.15,28964
2026-01-30 14:15:00,230.15,230.28,228.12,228.67,36734
2026-01-30 14:45:00,228.41,230.3,228.22,229.75,36553
2026-01-30 15:15:00,229.75,230.98,229.29,229.4,75714
2026-02-01 09:15:00,226.75,229.51,226.75,226.82,6271
2026-02-01 09:45:00,226.82,227.67,226.53,227.08,4089
2026-02-01 10:15:00,226.83,228.15,226.83,228.0,1922
2026-02-01 10:45:00,228.04,228.84,227.42,228.28,928
2026-02-01 11:15:00,228.28,228.36,226.73,227.52,2169
2026-02-01 11:45:00,227.52,227.77,226.57,227.13,1591
