datetime,open,high,low,close,volume
2023-05-08 09:15:00,241.3,246.95,239.25,239.9,1335485
2023-05-15 09:15:00,241.45,249.7,237.2,240.6,1409047
2023-05-22 09:15:00,240.4,241.75,235.6,239.25,628071
2023-05-29 09:15:00,241.95,256.45,241.05,251.3,2740367
2023-06-05 09:15:00,253.6,256.9,226.3,234.15,2870756
2023-06-12 09:15:00,235.45,244.95,235.45,241.2,1522670
2023-06-19 09:15:00,243.5,250.5,235.0,238.45,2333113
2023-06-26 09:15:00,239.95,244.8,236.9,242.0,1230420
2023-07-03 09:15:00,243.9,252.6,241.25,248.2,4321816
2023-07-10 09:15:00,250.0,251.5,245.8,249.5,2048080
2023-07-17 09:15:00,251.65,252.75,241.6,242.3,1388787
2023-07-24 09:15:00,242.3,250.7,239.8,244.15,1891805
2023-07-31 09:15:00,245.0,248.35,237.7,243.0,1277431
2023-08-07 09:15:00,244.2,258.4,240.9,253.8,2977691
2023-08-14 09:15:00,254.9,255.8,242.0,243.55,1647377
2023-08-21 09:15:00,246.3,277.7,245.0,266.25,8654648
2023-08-28 09:15:00,268.5,284.75,266.0,274.35,5574846
2023-09-04 09:15:00,279.85,279.85,267.9,269.35,4756225
2023-09-11 09:15:00,270.9,287.0,266.1,276.15,7328647
2023-09-18 09:15:00,276.35,283.75,269.5,272.65,2880535
2023-09-25 09:15:00,280.0,291.0,274.5,284.0,6460269
2023-10-02 09:15:00,283.55,288.5,278.35,281.9,3031626
2023-10-09 09:15:00,281.8,286.5,277.0,279.85,3660501
2023-10-16 09:15:00,279.85,284.95,271.5,274.8,4501415
2023-10-23 09:15:00,274.85,277.55,256.0,263.7,3158572
2023-10-30 09:15:00,263.7,269.65,257.5,267.9,2084230
2023-11-06 09:15:00,269.0,271.8,260.2,267.25,2283215
2023-11-13 09:15:00,267.45,286.0,262.2,281.75,7530626
2023-11-20 09:15:00,282.6,305.5,279.65,288.25,11465296
2023-11-27 09:15:00,288.25,296.9,285.0,285.6,3147567
2023-12-04 09:15:00,287.0,289.7,265.1,267.75,7994633
2023-12-11 09:15:00,268.9,280.9,263.7,269.85,7055496
2023-12-18 09:15:00,270.1,274.4,251.85,260.5,3515739
2023-12-25 09:15:00,263.0,268.5,254.7,256.45,3313293
2024-01-01 09:15:00,257.05,267.3,256.9,265.3,5988655
2024-01-08 09:15:00,266.95,267.0,255.8,261.85,3825883
2024-01-15 09:15:00,262.0,273.65,248.75,271.3,9613505
2024-01-22 09:15:00,274.0,275.25,258.1,263.15,2992283
2024-01-29 09:15:00,266.0,288.25,265.05,283.2,7863974
2024-02-05 09:15:00,286.0,292.0,269.3,272.15,6382837
2024-02-12 09:15:00,272.95,274.8,254.0,270.15,3725496
2024-02-19 09:15:00,271.0,284.0,260.2,265.6,3637644
2024-02-26 09:15:00,266.85,291.2,265.0,272.05,9326562
2024-03-04 09:15:00,272.05,284.95,269.1,276.8,4444376
2024-03-11 09:15:00,277.8,280.95,236.75,240.4,5682462
2024-03-18 09:15:00,241.7,259.9,236.8,255.3,3443221
2024-03-25 09:15:00,253.9,256.9,245.25,246.3,1591011
2024-04-01 09:15:00,248.8,267.3,248.5,258.25,4752132
2024-04-08 09:15:00,259.8,269.4,258.65,263.05,3815890
2024-04-15 09:15:00,249.0,265.65,249.0,255.7,1866032
2024-04-22 09:15:00,259.0,269.7,258.15,266.7,2563698
2024-04-29 09:15:00,268.5,275.1,262.35,263.1,2713926
2024-05-06 09:15:00,263.95,263.95,240.8,246.9,2941733
2024-05-13 09:15:00,249.0,261.9,242.05,259.45,1374944
2024-05-20 09:15:00,260.0,278.5,255.0,272.3,4777133
2024-05-27 09:15:00,273.6,330.7,267.1,317.9,43863533
2024-06-03 09:15:00,348.9,407.0,283.0,373.35,51544140
2024-06-10 09:15:00,378.6,395.8,365.1,388.7,10172399
2024-06-17 09:15:00,392.5,394.7,348.2,351.6,13863382
2024-06-24 09:15:00,350.9,363.0,342.5,348.7,6921452
2024-07-01 09:15:00,345.95,366.95,339.5,355.05,9568739
2024-07-08 09:15:00,362.45,381.75,350.05,363.9,12985794
2024-07-15 09:15:00,365.9,368.75,342.05,343.8,3418786
2024-07-22 09:15:00,338.4,386.95,332.9,367.4,16293185
2024-07-29 09:15:00,370.0,415.4,368.6,388.4,20821714
2024-08-05 09:15:00,362.05,375.3,352.0,367.15,8988684
2024-08-12 09:15:00,366.0,368.0,338.2,340.2,6933517
2024-08-19 09:15:00,343.0,349.8,329.55,341.4,6922301
2024-08-26 09:15:00,341.4,343.2,329.55,330.95,3298826
2024-09-02 09:15:00,331.9,360.55,330.0,347.0,7499145
2024-09-09 09:15:00,346.75,359.7,337.1,352.95,4153819
2024-09-16 09:15:00,354.25,354.9,314.75,316.05,4550109
2024-09-23 09:15:00,317.9,349.95,317.0,336.6,6251214
2024-09-30 09:15:00,338.4,346.45,323.05,325.8,2655229
2024-10-07 09:15:00,326.0,330.55,305.3,318.4,2584984
2024-10-14 09:15:00,318.5,331.55,308.4,315.1,2455323
2024-10-21 09:15:00,315.1,316.85,274.3,278.0,2906438
2024-10-28 09:15:00,278.3,301.9,274.4,300.75,2702588
2024-11-04 09:15:00,300.1,304.5,285.65,288.35,2351826
2024-11-11 09:15:00,289.8,324.85,281.15,302.45,37345222
2024-11-18 09:15:00,302.1,321.8,300.7,313.35,6063562
2024-11-25 09:15:00,324.0,333.0,311.75,326.8,5648149
2024-12-02 09:15:00,326.8,343.9,323.0,338.85,4872250
2024-12-09 09:15:00,340.4,347.6,331.65,339.5,3391488
2024-12-16 09:15:00,354.0,358.85,321.1,325.2,5153777
2024-12-23 09:15:00,325.2,327.6,313.1,315.25,1466055
2024-12-30 09:15:00,317.4,353.0,313.3,346.35,8099307
2025-01-06 09:15:00,356.0,356.95,318.25,322.25,5213211
2025-01-13 09:15:00,319.0,332.0,311.3,319.95,3111266
2025-01-20 09:15:00,321.95,324.0,293.0,295.1,2688395
2025-01-27 09:15:00,294.05,315.85,281.0,294.25,5973126
2025-02-03 09:15:00,290.7,300.75,277.0,284.2,9693897
