datetime,open,high,low,close,volume
2023-05-08 09:15:00,444.95,471.4,420.02,421.78,1685495
2023-05-15 09:15:00,428.8,447.46,415.0,428.31,705470
2023-05-22 09:15:00,427.0,444.0,426.13,439.61,398975
2023-05-29 09:15:00,441.34,445.0,416.4,418.75,368850
2023-06-05 09:15:00,418.8,439.59,416.0,429.18,417675
2023-06-12 09:15:00,432.99,437.8,420.42,429.86,411775
2023-06-19 09:15:00,430.05,453.0,430.05,437.3,626455
2023-06-26 09:15:00,437.3,443.98,428.41,431.56,208730
2023-07-03 09:15:00,428.0,435.99,419.21,421.93,609165
2023-07-10 09:15:00,421.93,426.4,402.67,415.6,940080
2023-07-17 09:15:00,418.0,442.84,411.98,437.18,852490
2023-07-24 09:15:00,436.0,451.98,430.8,445.35,814985
2023-07-31 09:15:00,443.61,552.45,443.61,528.65,11244025
2023-08-07 09:15:00,528.6,537.78,511.0,526.74,1286290
2023-08-14 09:15:00,535.0,554.0,515.02,543.31,1235270
2023-08-21 09:15:00,548.0,552.0,518.23,536.78,1197885
2023-08-28 09:15:00,535.43,578.4,533.94,548.58,1271130
2023-09-04 09:15:00,559.59,577.77,544.75,560.29,867000
2023-09-11 09:15:00,565.06,569.8,525.2,533.45,673385
2023-09-18 09:15:00,532.08,645.54,526.65,615.96,9285945
2023-09-25 09:15:00,611.74,616.37,569.84,597.93,3083625
2023-10-02 09:15:00,605.99,619.48,591.79,602.58,811415
2023-10-09 09:15:00,600.0,669.59,584.2,631.89,1355840
2023-10-16 09:15:00,633.8,666.99,606.18,616.04,2226680
2023-10-23 09:15:00,622.01,639.8,558.94,585.97,781260
2023-10-30 09:15:00,586.92,619.73,578.39,602.96,1858175
2023-11-06 09:15:00,603.85,638.45,602.24,611.8,517950
2023-11-13 09:15:00,611.46,661.59,602.2,656.21,708105
2023-11-20 09:15:00,658.0,678.8,642.0,659.3,1163370
2023-11-27 09:15:00,657.01,703.99,652.08,686.58,900860
2023-12-04 09:15:00,699.98,710.0,674.41,685.22,712985
2023-12-11 09:15:00,685.22,698.75,646.22,662.46,1005355
2023-12-18 09:15:00,664.8,699.27,655.37,693.81,1584400
2023-12-25 09:15:00,693.81,701.99,676.01,693.35,472230
2024-01-01 09:15:00,694.6,717.8,677.5,707.4,594170
2024-01-08 09:15:00,710.94,719.74,670.43,697.92,988330
2024-01-15 09:15:00,699.72,704.66,646.66,652.83,1363265
2024-01-22 09:15:00,658.59,698.88,634.4,690.46,1121045
2024-01-29 09:15:00,695.0,739.05,691.99,725.89,1036140
2024-02-05 09:15:00,725.81,816.37,720.21,800.83,1580865
2024-02-12 09:15:00,803.8,819.74,710.3,816.48,1708965
2024-02-19 09:15:00,810.0,843.13,766.8,789.53,1079120
2024-02-26 09:15:00,789.52,806.38,722.79,766.93,1580785
2024-03-04 09:15:00,766.94,770.19,725.15,761.98,722850
2024-03-11 09:15:00,763.88,770.68,663.51,725.18,3965200
2024-03-18 09:15:00,739.88,766.8,720.1,744.85,766705
2024-03-25 09:15:00,751.27,777.99,734.44,771.18,387800
2024-04-01 09:15:00,776.53,799.38,767.0,783.59,468300
2024-04-08 09:15:00,782.8,890.22,780.0,871.34,1778110
