datetime,open,high,low,close,volume
2026-01-30 09:15:00,44.0,44.0,43.26,43.45,205302
2026-01-30 09:30:00,43.45,44.4,43.45,44.4,175301
2026-01-30 09:45:00,44.4,44.98,44.4,44.81,196107
2026-01-30 10:00:00,44.81,45.2,44.72,45.18,192722
2026-01-30 10:15:00,45.18,45.23,44.86,45.18,261010
2026-01-30 10:30:00,45.18,45.75,45.18,45.69,274553
2026-01-30 10:45:00,45.65,45.78,45.6,45.73,113390
2026-01-30 11:00:00,45.78,45.89,45.46,45.59,172723
2026-01-30 11:15:00,45.59,45.71,45.38,45.41,126095
2026-01-30 11:30:00,45.41,45.48,45.26,45.36,110192
2026-01-30 11:45:00,45.36,45.5,45.21,45.4,65698
2026-01-30 12:00:00,45.41,45.45,45.25,45.3,29833
2026-01-30 12:15:00,45.3,45.3,44.91,45.06,145927
2026-01-30 12:30:00,45.06,45.11,44.92,45.04,40763
2026-01-30 12:45:00,45.04,45.2,44.97,45.2,45582
2026-01-30 13:00:00,45.19,45.26,44.76,44.8,72089
2026-01-30 13:15:00,44.8,44.87,44.73,44.73,29816
2026-01-30 13:30:00,44.73,45.0,44.64,45.0,44353
2026-01-30 13:45:00,45.0,45.34,44.94,45.34,125752
2026-01-30 14:00:00,45.34,45.41,44.93,44.95,60205
2026-01-30 14:15:00,45.0,45.25,44.84,44.84,91076
2026-01-30 14:30:00,44.79,44.92,44.64,44.69,118970
2026-01-30 14:45:00,44.69,44.72,44.26,44.5,194133
2026-01-30 15:00:00,44.57,44.7,44.49,44.64,97440
2026-01-30 15:15:00,44.63,44.8,44.45,44.65,360204
2026-02-01 09:15:00,44.61,44.8,44.5,44.74,87656
2026-02-01 09:30:00,44.74,44.89,44.6,44.85,38642
2026-02-01 09:45:00,44.85,45.17,44.85,45.15,54587
2026-02-01 10:00:00,45.15,45.26,45.04,45.22,46579
2026-02-01 10:15:00,45.22,45.34,45.14,45.3,49169
2026-02-01 10:30:00,45.29,45.3,45.09,45.14,33546
2026-02-01 10:45:00,45.14,45.27,45.13,45.19,34844
2026-02-01 11:00:00,45.19,45.19,44.94,45.05,37016
2026-02-01 11:15:00,45.05,45.08,44.72,44.74,106983
2026-02-01 11:30:00,44.74,44.82,44.44,44.47,55312
2026-02-01 11:45:00,44.46,44.52,44.27,44.43,25368
2026-02-01 12:00:00,44.43,44.64,44.11,44.34,44513
2026-02-01 12:15:00,44.34,44.43,43.7,43.7,63575
2026-02-01 12:30:00,43.68,44.01,42.5,44.0,224401
2026-02-01 12:45:00,44.0,44.22,43.85,44.03,110242
2026-02-01 13:00:00,44.03,44.12,43.65,43.72,51084
2026-02-01 13:15:00,43.72,43.88,43.49,43.57,66467
2026-02-01 13:30:00,43.57,43.65,43.5,43.6,36396
2026-02-01 13:45:00,43.6,43.82,43.5,43.61,44828
2026-02-01 14:00:00,43.61,43.61,43.3,43.42,35546
2026-02-01 14:15:00,43.42,43.59,43.33,43.53,12325
2026-02-01 14:30:00,43.53,43.92,43.53,43.74,41447
2026-02-01 14:45:00,43.74,43.74,43.37,43.49,44215
