datetime,open,high,low,close,volume
2026-02-01 09:15:00,58.17,58.24,57.59,57.73,58575
2026-02-01 09:25:00,57.73,58.09,57.73,57.85,10947
2026-02-01 09:35:00,57.85,57.99,57.8,57.88,15281
2026-02-01 09:45:00,57.88,57.98,57.36,57.56,46047
2026-02-01 09:55:00,57.56,57.98,57.4,57.86,15638
2026-02-01 10:05:00,57.86,58.02,57.82,57.98,15434
2026-02-01 10:15:00,57.98,58.06,57.75,57.95,4991
2026-02-01 10:25:00,57.9,57.9,57.76,57.76,6943
2026-02-01 10:35:00,57.77,58.06,57.66,57.91,11994
2026-02-01 10:45:00,57.91,58.2,57.81,58.2,25267
2026-02-01 10:55:00,58.2,58.3,58.1,58.12,17064
2026-02-01 11:05:00,58.12,58.2,57.88,58.0,38235
2026-02-01 11:15:00,58.0,58.04,57.75,57.97,2342
2026-02-01 11:25:00,57.96,57.97,57.8,57.81,2263
2026-02-01 11:35:00,57.81,57.81,57.4,57.48,19408
2026-02-01 11:45:00,57.48,57.54,57.41,57.54,6161
2026-02-01 11:55:00,57.54,57.62,56.82,56.93,43251
2026-02-01 12:05:00,56.93,57.5,56.74,56.92,63736
2026-02-01 12:15:00,56.92,56.92,56.28,56.36,21640
2026-02-01 12:25:00,56.36,56.37,55.09,55.56,76220
2026-02-01 12:35:00,55.56,56.4,55.56,56.4,24492
2026-02-01 12:45:00,56.4,56.7,56.4,56.68,16611
2026-02-01 12:55:00,56.68,57.0,56.68,56.8,19237
2026-02-01 13:05:00,56.8,56.87,56.5,56.5,8000
2026-02-01 13:15:00,56.5,56.7,56.37,56.54,30188
2026-02-01 13:25:00,56.5,56.5,56.25,56.33,6685
2026-02-01 13:35:00,56.33,56.57,56.33,56.38,3780
2026-02-01 13:45:00,56.38,56.52,56.25,56.3,15643
2026-02-01 13:55:00,56.3,56.3,56.05,56.12,30601
2026-02-01 14:05:00,56.12,56.12,55.87,55.9,11626
2026-02-01 14:15:00,55.9,56.22,55.86,55.86,42656
2026-02-01 14:25:00,55.86,56.28,55.86,56.28,7374
2026-02-01 14:35:00,56.28,56.3,56.16,56.18,6288
2026-02-01 14:45:00,56.18,56.18,56.0,56.08,2391
2026-02-01 14:55:00,56.08,56.15,56.04,56.04,9770
2026-02-01 15:05:00,56.04,56.14,55.8,55.99,50797
2026-02-01 15:15:00,55.99,56.3,55.85,56.15,19094
2026-02-01 15:25:00,56.19,56.3,56.12,56.3,15876
2026-02-02 09:15:00,56.0,56.4,55.19,55.55,59993
2026-02-02 09:25:00,55.55,56.27,55.33,56.18,49992
2026-02-02 09:35:00,56.18,56.29,56.0,56.06,42545
2026-02-02 09:45:00,56.01,56.55,56.0,56.55,30334
2026-02-02 09:55:00,56.55,56.56,56.01,56.09,21933
2026-02-02 10:05:00,56.09,56.09,55.79,55.91,39169
2026-02-02 10:15:00,55.91,55.91,55.45,55.56,10059
2026-02-02 10:25:00,55.56,55.57,55.4,55.53,15944
2026-02-02 10:35:00,55.5,55.5,55.1,55.24,39122
2026-02-02 10:45:00,55.24,55.31,55.06,55.08,16509
2026-02-02 10:55:00,55.08,55.1,54.77,54.96,35920
2026-02-02 11:05:00,54.96,54.96,54.57,54.58,41551
2026-02-02 11:15:00,54.58,54.73,54.45,54.56,14462
2026-02-02 11:25:00,54.49,55.33,54.49,55.33,13925
2026-02-02 11:35:00,55.35,55.44,55.1,55.34,17993
2026-02-02 11:45:00,55.35,55.39,55.05,55.13,6153
2026-02-02 11:55:00,55.13,55.17,54.9,54.98,7730
2026-02-02 12:05:00,54.98,55.12,54.85,55.12,9994
2026-02-02 12:15:00,55.09,55.39,55.04,55.19,18795
2026-02-02 12:25:00,55.19,55.28,55.07,55.14,3317
2026-02-02 12:35:00,55.14,55.21,54.98,55.2,4362
2026-02-02 12:45:00,55.11,55.23,55.04,55.18,2099
2026-02-02 12:55:00,55.18,55.35,55.12,55.29,3140
2026-02-02 13:05:00,55.29,55.5,55.29,55.45,6681
2026-02-02 13:15:00,55.39,55.42,55.12,55.21,9976
2026-02-02 13:25:00,55.21,55.21,55.1,55.21,2049
2026-02-02 13:35:00,55.21,55.42,55.18,55.41,7735
2026-02-02 13:45:00,55.41,55.53,55.3,55.52,7528
2026-02-02 13:55:00,55.52,55.53,55.37,55.47,6338
2026-02-02 14:05:00,55.47,55.59,55.3,55.53,13953
2026-02-02 14:15:00,55.53,55.78,55.53,55.78,5556
2026-02-02 14:25:00,55.78,56.2,55.65,56.14,13714
2026-02-02 14:35:00,56.14,56.34,56.07,56.34,22503
2026-02-02 14:45:00,56.34,56.57,56.29,56.53,17522
2026-02-02 14:55:00,56.53,57.18,56.47,57.06,19712
2026-02-02 15:05:00,57.06,58.25,57.06,58.24,58516
2026-02-02 15:15:00,58.23,58.23,57.6,57.72,44560
2026-02-02 15:25:00,57.72,57.72,57.0,57.53,58002
2026-02-03 09:15:00,61.0,61.0,58.5,58.66,140663
2026-02-03 09:25:00,58.65,59.4,58.4,59.09,139494
2026-02-03 09:35:00,59.09,59.17,58.76,58.97,105608
2026-02-03 09:45:00,58.97,59.99,58.91,59.97,133862
2026-02-03 09:55:00,59.97,59.98,59.56,59.62,37262
2026-02-03 10:05:00,59.62,59.62,59.22,59.22,24230
2026-02-03 10:15:00,59.26,59.47,59.07,59.07,29519
2026-02-03 10:25:00,59.07,59.17,58.9,59.01,7910
2026-02-03 10:35:00,59.01,59.02,58.8,58.8,13176
2026-02-03 10:45:00,58.8,59.02,58.74,58.8,17083
2026-02-03 10:55:00,58.8,59.0,58.8,58.88,22388
2026-02-03 11:05:00,58.88,59.1,58.88,58.91,25202
2026-02-03 11:15:00,58.98,59.25,58.82,58.82,72363
2026-02-03 11:25:00,58.82,59.07,58.79,59.07,3086
2026-02-03 11:35:00,59.07,59.53,59.02,59.49,33524
2026-02-03 11:45:00,59.49,59.66,59.28,59.4,23408
2026-02-03 11:55:00,59.4,59.64,59.28,59.3,72109
2026-02-03 12:05:00,59.3,59.35,58.94,58.94,18390
2026-02-03 12:15:00,58.94,59.8,58.94,59.65,59632
2026-02-03 12:25:00,59.65,59.65,59.43,59.53,33885
2026-02-03 12:35:00,59.53,59.53,59.3,59.3,3313
2026-02-03 12:45:00,59.3,59.3,59.17,59.26,2800
2026-02-03 12:55:00,59.26,59.26,58.6,58.6,78956
2026-02-03 13:05:00,58.6,58.61,58.5,58.6,30347
2026-02-03 13:15:00,58.6,59.37,58.6,59.37,51843
2026-02-03 13:25:00,59.37,59.37,59.17,59.19,8165
2026-02-03 13:35:00,59.19,59.34,59.13,59.25,2950
2026-02-03 13:45:00,59.25,59.39,59.25,59.39,1745
2026-02-03 13:55:00,59.39,59.39,59.09,59.18,52345
2026-02-03 14:05:00,59.18,59.35,59.18,59.27,1078
2026-02-03 14:15:00,59.27,59.41,59.27,59.33,4158
2026-02-03 14:25:00,59.33,59.44,59.25,59.31,30663
2026-02-03 14:35:00,59.31,59.41,58.94,58.98,29045
2026-02-03 14:45:00,58.98,59.03,58.87,58.87,59912
2026-02-03 14:55:00,58.87,59.05,58.84,59.05,22181
2026-02-03 15:05:00,59.05,59.33,59.04,59.3,25898
2026-02-03 15:15:00,59.16,59.57,59.16,59.5,60209
2026-02-03 15:25:00,59.5,59.5,59.0,59.0,25916
2026-02-04 09:15:00,59.35,60.59,59.0,60.29,249366
2026-02-04 09:25:00,60.29,60.48,60.16,60.21,44760
2026-02-04 09:35:00,60.21,60.9,60.16,60.9,75903
2026-02-04 09:45:00,60.9,61.15,60.8,61.03,131276
2026-02-04 09:55:00,61.03,61.54,60.91,60.93,175350
2026-02-04 10:05:00,60.93,61.52,60.93,61.37,53263
2026-02-04 10:15:00,61.37,61.54,60.82,61.03,139736
2026-02-04 10:25:00,60.96,61.0,60.7,60.7,17187
2026-02-04 10:35:00,60.7,60.7,60.37,60.37,33732
2026-02-04 10:45:00,60.46,60.55,60.39,60.54,17854
2026-02-04 10:55:00,60.54,60.6,60.41,60.6,14666
2026-02-04 11:05:00,60.6,60.6,60.33,60.47,26049
2026-02-04 11:15:00,60.47,60.6,60.32,60.6,26133
