datetime,open,high,low,close,volume
2023-05-11 09:15:00,344.4,344.4,335.7,336.8,6636
2023-05-12 09:15:00,342.9,342.9,325.65,329.15,9269
2023-05-15 09:15:00,329.0,332.85,322.05,330.9,8437
2023-05-16 09:15:00,337.0,340.0,331.15,338.85,6098
2023-05-17 09:15:00,339.4,339.4,326.15,328.7,9415
2023-05-18 09:15:00,334.0,339.0,328.55,333.9,10344
2023-05-19 09:15:00,336.0,336.0,326.05,327.05,4547
2023-05-22 09:15:00,329.55,332.95,327.0,327.7,4883
2023-05-23 09:15:00,329.55,340.0,328.55,334.05,13182
2023-05-24 09:15:00,338.3,339.9,325.2,326.65,10800
2023-05-25 09:15:00,334.8,334.8,325.1,331.25,3334
2023-05-26 09:15:00,331.25,338.35,324.0,325.0,5958
2023-05-29 09:15:00,322.0,322.95,279.15,293.3,152768
2023-05-30 09:15:00,298.7,308.0,285.75,290.4,33015
2023-05-31 09:15:00,287.0,292.9,278.0,281.6,24100
2023-06-01 09:15:00,283.3,290.0,282.1,286.45,17267
2023-06-02 09:15:00,289.95,305.5,285.1,297.4,25363
2023-06-05 09:15:00,302.0,304.8,280.0,285.95,66951
2023-06-06 09:15:00,290.25,299.45,280.55,285.35,33458
2023-06-07 09:15:00,291.0,291.95,284.4,287.75,11268
2023-06-08 09:15:00,290.65,291.55,284.1,285.0,12135
2023-06-09 09:15:00,287.85,305.9,274.9,303.0,276764
2023-06-12 09:15:00,319.0,333.5,301.8,320.35,242423
2023-06-13 09:15:00,323.55,331.4,322.0,324.1,68991
2023-06-14 09:15:00,327.3,328.95,321.1,325.15,18463
2023-06-15 09:15:00,325.65,349.0,323.0,338.15,120219
2023-06-16 09:15:00,341.9,358.3,327.15,330.85,302555
2023-06-19 09:15:00,331.1,334.35,320.1,324.4,30877
2023-06-20 09:15:00,324.0,329.65,322.0,327.75,16965
2023-06-21 09:15:00,334.9,336.0,324.5,327.8,18964
2023-06-22 09:15:00,331.8,333.55,320.6,323.9,18416
2023-06-23 09:15:00,331.65,332.0,321.2,327.4,21016
