datetime,open,high,low,close,volume
2026-01-30 09:15:00,160.61,162.92,156.0,162.88,86968
2026-01-30 09:45:00,163.0,163.95,162.55,163.67,51407
2026-01-30 10:15:00,163.67,164.5,163.0,164.33,19612
2026-01-30 10:45:00,164.33,165.0,164.0,164.71,20857
2026-01-30 11:15:00,164.89,165.37,164.5,165.0,25265
2026-01-30 11:45:00,165.0,165.8,164.56,165.45,37808
2026-01-30 12:15:00,165.45,165.48,164.36,165.23,28532
2026-01-30 12:45:00,165.23,165.6,164.5,164.76,16272
2026-01-30 13:15:00,164.76,166.29,164.76,166.01,25288
2026-01-30 13:45:00,166.01,166.48,164.55,164.55,129951
2026-01-30 14:15:00,164.55,164.77,163.2,163.41,43192
2026-01-30 14:45:00,163.41,164.18,162.92,163.85,42877
2026-01-30 15:15:00,163.87,164.77,162.53,163.38,182050
2026-02-01 09:15:00,164.12,164.99,161.61,164.25,52850
2026-02-01 09:45:00,164.25,167.2,163.75,167.09,35648
2026-02-01 10:15:00,167.25,169.29,167.18,169.26,40450
2026-02-01 10:45:00,169.08,170.43,169.0,169.68,50930
2026-02-01 11:15:00,169.45,170.8,169.01,170.25,59595
2026-02-01 11:45:00,170.25,171.6,169.27,170.32,89908
2026-02-01 12:15:00,170.32,170.9,166.06,168.65,142983
2026-02-01 12:45:00,168.65,170.49,168.46,170.0,62916
2026-02-01 13:15:00,170.1,170.39,169.99,170.25,20798
2026-02-01 13:45:00,170.25,170.47,169.12,169.46,17550
2026-02-01 14:15:00,169.46,169.46,168.1,168.55,20134
2026-02-01 14:45:00,168.55,168.55,168.0,168.28,10028
2026-02-01 15:15:00,168.28,168.99,167.6,168.99,50013
2026-02-02 09:15:00,168.51,168.52,163.11,165.09,72913
2026-02-02 09:45:00,165.0,166.2,165.0,165.31,49187
2026-02-02 10:15:00,165.17,165.41,164.05,164.39,44587
2026-02-02 10:45:00,164.16,164.18,162.72,163.26,34525
2026-02-02 11:15:00,163.11,164.27,162.7,164.16,34099
2026-02-02 11:45:00,164.16,164.16,163.33,163.6,15824
2026-02-02 12:15:00,163.6,163.89,163.01,163.32,21825
2026-02-02 12:45:00,163.37,164.64,162.7,164.41,37421
2026-02-02 13:15:00,164.41,164.5,162.38,162.74,36981
2026-02-02 13:45:00,162.73,162.99,161.8,162.0,51971
2026-02-02 14:15:00,162.0,162.91,161.7,162.82,53610
2026-02-02 14:45:00,162.68,164.3,162.5,164.3,50661
2026-02-02 15:15:00,164.31,166.0,164.31,165.1,50131
2026-02-03 09:15:00,180.59,187.0,180.0,185.06,1043971
2026-02-03 09:45:00,185.06,186.0,180.64,180.73,360236
2026-02-03 10:15:00,180.96,184.28,178.61,183.73,362409
2026-02-03 10:45:00,183.73,183.98,182.38,183.25,148356
2026-02-03 11:15:00,183.1,183.37,180.5,180.75,189803
2026-02-03 11:45:00,180.75,182.5,180.04,181.0,137791
2026-02-03 12:15:00,181.0,182.34,180.9,181.91,148112
2026-02-03 12:45:00,181.91,184.39,181.72,182.53,167233
2026-02-03 13:15:00,182.53,183.0,181.87,182.55,61425
2026-02-03 13:45:00,182.55,183.1,182.36,182.62,44070
2026-02-03 14:15:00,182.62,182.8,181.5,181.5,77974
2026-02-03 14:45:00,181.65,182.49,180.2,181.35,146614
2026-02-03 15:15:00,180.9,181.18,178.5,181.0,322047
2026-02-04 09:15:00,181.44,181.44,177.1,177.76,151068
2026-02-04 09:45:00,177.76,177.9,176.32,177.21,51539
2026-02-04 10:15:00,177.2,177.2,174.8,175.04,74089
2026-02-04 10:45:00,175.04,175.2,173.88,174.5,59017
2026-02-04 11:15:00,174.5,174.84,174.15,174.79,34265
2026-02-04 11:45:00,174.79,175.0,174.26,174.7,19536
2026-02-04 12:15:00,174.7,175.86,174.55,175.52,43457
2026-02-04 12:45:00,175.52,176.39,174.87,176.19,23304
2026-02-04 13:15:00,176.19,176.68,175.7,175.87,45411
2026-02-04 13:45:00,175.87,176.47,175.87,176.19,9831
2026-02-04 14:15:00,176.19,176.66,176.0,176.04,31442
2026-02-04 14:45:00,176.4,178.0,176.18,176.7,83232
2026-02-04 15:15:00,176.55,177.2,176.4,176.8,54194
2026-02-05 09:15:00,177.16,177.89,175.5,176.38,78075
2026-02-05 09:45:00,176.38,176.41,174.69,175.0,48197
2026-02-05 10:15:00,175.02,175.3,174.05,174.18,22839
