datetime,open,high,low,close,volume
2026-01-29 09:15:00,99.7,101.5,98.55,98.8,6864842
2026-01-29 10:15:00,98.78,99.0,97.82,98.4,2527515
2026-01-29 11:15:00,98.41,99.15,98.01,98.21,1202600
2026-01-29 12:15:00,98.21,98.82,98.2,98.68,673564
2026-01-29 13:15:00,98.66,99.3,98.5,99.11,996218
2026-01-29 14:15:00,99.14,99.67,99.02,99.27,1699534
2026-01-29 15:15:00,99.29,99.4,99.2,99.31,750817
2026-01-30 09:15:00,98.31,100.0,97.6,99.93,2726915
2026-01-30 10:15:00,99.95,99.96,99.3,99.68,933255
2026-01-30 11:15:00,99.64,99.66,98.7,98.84,889933
2026-01-30 12:15:00,98.88,98.91,98.06,98.1,1199391
2026-01-30 13:15:00,98.06,98.85,97.83,98.69,1086171
2026-01-30 14:15:00,98.75,98.99,98.2,98.85,1205747
2026-01-30 15:15:00,98.81,99.09,98.72,99.04,839016
2026-02-01 09:15:00,99.4,99.4,97.7,99.17,1758355
2026-02-01 10:15:00,99.19,99.9,98.81,99.55,1496886
2026-02-01 11:15:00,99.45,101.38,98.3,98.4,3545875
2026-02-01 12:15:00,98.43,98.43,92.89,96.93,4074995
2026-02-01 13:15:00,96.93,96.99,95.7,95.99,1047708
2026-02-01 14:15:00,95.95,96.41,95.13,95.14,1265721
2026-02-01 15:15:00,95.13,95.9,95.0,95.9,922510
2026-02-02 09:15:00,95.78,96.3,95.06,95.59,1812477
2026-02-02 10:15:00,95.52,95.64,93.72,94.17,1485845
2026-02-02 11:15:00,94.14,94.95,93.5,94.21,806412
2026-02-02 12:15:00,94.2,94.85,93.81,94.52,555959
2026-02-02 13:15:00,94.6,95.29,94.12,95.25,775954
2026-02-02 14:15:00,95.25,97.19,95.08,97.03,1822662
2026-02-02 15:15:00,97.03,97.49,97.03,97.3,716577
2026-02-03 09:15:00,101.0,102.99,99.0,99.25,3516418
2026-02-03 10:15:00,99.25,100.5,99.14,100.19,1479956
2026-02-03 11:15:00,100.16,100.3,99.78,99.88,803911
2026-02-03 12:15:00,99.87,101.54,99.81,99.91,1992441
2026-02-03 13:15:00,99.91,100.56,99.6,100.5,810075
2026-02-03 14:15:00,100.5,100.75,100.1,100.38,1409847
2026-02-03 15:15:00,100.38,100.6,100.31,100.4,540335
2026-02-04 09:15:00,101.0,103.13,99.85,103.0,4459944
2026-02-04 10:15:00,103.0,103.51,101.67,103.1,3128247
2026-02-04 11:15:00,103.1,103.45,102.64,103.34,1451478
2026-02-04 12:15:00,103.32,103.42,102.65,102.75,687701
2026-02-04 13:15:00,102.75,103.39,102.61,103.33,667337
2026-02-04 14:15:00,103.28,104.79,103.25,104.4,4020962
2026-02-04 15:15:00,104.48,104.68,104.0,104.0,1268059
2026-02-05 09:15:00,103.99,103.99,101.2,101.7,3344194
2026-02-05 10:15:00,101.65,101.73,99.75,100.7,2714071
2026-02-05 11:15:00,100.7,101.07,100.42,100.66,876466
2026-02-05 12:15:00,100.61,101.4,100.2,101.1,1193884
2026-02-05 13:15:00,101.08,101.4,100.52,100.79,666083
2026-02-05 14:15:00,100.75,101.37,100.61,100.99,1319084
2026-02-05 15:15:00,101.0,101.01,100.63,100.9,823174
2026-02-06 09:15:00,100.5,100.5,98.1,98.2,2780833
2026-02-06 10:15:00,98.2,98.64,96.85,97.6,3024793
2026-02-06 11:15:00,97.6,98.24,97.31,97.55,1477259
2026-02-06 12:15:00,97.49,97.57,96.87,97.17,1581043
2026-02-06 13:15:00,97.16,97.75,96.9,97.53,1304952
2026-02-06 14:15:00,97.59,98.5,97.45,98.44,2199899
2026-02-06 15:15:00,98.44,98.55,98.1,98.18,985146
2026-02-09 09:15:00,99.06,102.0,99.06,101.23,3827631
2026-02-09 10:15:00,101.23,101.79,100.75,101.59,1554332
2026-02-09 11:15:00,101.65,101.85,101.31,101.41,857886
2026-02-09 12:15:00,101.48,101.75,101.11,101.58,594823
2026-02-09 13:15:00,101.57,102.15,101.45,101.76,839030
2026-02-09 14:15:00,101.76,102.35,101.51,101.89,1604651
2026-02-09 15:15:00,101.89,102.1,101.8,102.04,919308
2026-02-10 09:15:00,102.3,102.94,101.7,101.98,2390790
2026-02-10 10:15:00,101.98,102.49,101.9,102.07,765598
2026-02-10 11:15:00,102.09,102.15,101.7,102.01,525954
2026-02-10 12:15:00,102.01,102.08,101.64,101.75,447671
2026-02-10 13:15:00,101.75,101.85,101.08,101.15,841150
2026-02-10 14:15:00,101.15,101.87,101.15,101.43,955123
2026-02-10 15:15:00,101.43,101.5,101.11,101.16,778754
2026-02-11 09:15:00,101.49,101.75,99.85,100.25,2047926
2026-02-11 10:15:00,100.3,101.36,100.16,101.2,1020710
2026-02-11 11:15:00,101.2,101.4,100.69,100.83,552582
2026-02-11 12:15:00,100.82,100.92,100.45,100.69,358787
2026-02-11 13:15:00,100.81,102.13,100.69,101.52,1200424
2026-02-11 14:15:00,101.59,101.87,101.26,101.78,1051023
2026-02-11 15:15:00,101.78,101.81,101.49,101.68,616268
2026-02-12 09:15:00,101.06,101.49,99.85,100.35,1909255
2026-02-12 10:15:00,100.35,100.49,99.86,100.0,717326
2026-02-12 11:15:00,100.02,100.06,99.5,99.54,822440
2026-02-12 12:15:00,99.54,100.64,99.54,100.32,791043
2026-02-12 13:15:00,100.37,100.95,100.31,100.54,994060
2026-02-12 14:15:00,100.53,100.63,99.7,100.35,1399057
2026-02-12 15:15:00,100.31,100.73,100.3,100.6,593082
2026-02-13 09:15:00,100.0,100.12,98.45,98.64,2620460
2026-02-13 10:15:00,98.64,99.39,98.47,98.6,1042739
2026-02-13 11:15:00,98.6,99.05,98.19,98.94,1242237
2026-02-13 12:15:00,99.01,99.2,98.3,98.77,618869
2026-02-13 13:15:00,98.78,98.9,98.4,98.61,653697
2026-02-13 14:15:00,98.61,98.75,98.0,98.17,1877691
2026-02-13 15:15:00,98.23,98.3,97.7,98.19,1429110
2026-02-16 09:15:00,98.01,99.85,96.2,98.87,3776453
2026-02-16 10:15:00,98.87,98.9,97.85,98.21,1428171
2026-02-16 11:15:00,98.27,100.65,98.23,99.6,3559369
2026-02-16 12:15:00,99.6,99.99,99.1,99.38,871885
2026-02-16 13:15:00,99.39,99.74,99.14,99.31,619363
2026-02-16 14:15:00,99.35,100.05,99.16,99.99,1530721
2026-02-16 15:15:00,99.99,100.2,99.46,100.02,1285495
2026-02-17 09:15:00,99.4,99.98,98.02,98.5,3522216
2026-02-17 10:15:00,98.49,98.68,97.81,97.9,1852380
2026-02-17 11:15:00,97.9,98.35,97.39,98.02,2209832
2026-02-17 12:15:00,98.02,98.29,98.01,98.15,571639
2026-02-17 13:15:00,98.15,98.34,97.9,97.97,847980
2026-02-17 14:15:00,97.97,98.56,97.85,98.48,1883719
2026-02-17 15:15:00,98.47,98.74,98.38,98.58,1198149
2026-02-18 09:15:00,98.75,100.17,98.5,98.56,2772748
2026-02-18 10:15:00,98.56,98.68,98.24,98.47,1101421
2026-02-18 11:15:00,98.5,98.63,98.0,98.12,1116327
2026-02-18 12:15:00,98.07,98.17,97.81,97.99,880589
2026-02-18 13:15:00,97.99,98.24,97.94,97.99,620800
2026-02-18 14:15:00,98.0,98.29,97.62,97.94,2394329
2026-02-18 15:15:00,97.93,98.05,97.72,97.9,804517
2026-02-19 09:15:00,98.04,98.67,96.9,97.0,2437029
2026-02-19 10:15:00,97.0,97.05,96.51,96.57,1465626
2026-02-19 11:15:00,96.57,96.62,95.88,95.95,1916499
2026-02-19 12:15:00,95.93,96.5,95.71,96.45,989585
2026-02-19 13:15:00,96.41,96.55,96.15,96.3,645400
2026-02-19 14:15:00,96.23,96.41,95.61,95.66,1685021
2026-02-19 15:15:00,95.61,95.65,94.78,95.35,1594242
2026-02-20 09:15:00,95.0,96.38,94.6,95.43,2354790
2026-02-20 10:15:00,95.42,95.98,95.4,95.52,627478
2026-02-20 11:15:00,95.52,96.08,95.4,95.8,612034
2026-02-20 12:15:00,95.81,96.04,95.28,95.4,572007
2026-02-20 13:15:00,95.42,95.44,95.07,95.25,522015
2026-02-20 14:15:00,95.25,95.35,94.7,94.9,1377266
2026-02-20 15:15:00,94.94,94.95,94.7,94.83,514966
2026-02-23 09:15:00,95.1,96.49,95.1,95.18,1792538
2026-02-23 10:15:00,95.2,95.44,94.62,94.73,1052659
2026-02-23 11:15:00,94.74,94.8,94.14,94.55,821912
2026-02-23 12:15:00,94.55,94.98,94.47,94.78,770339
2026-02-23 13:15:00,94.78,95.3,94.75,94.87,759985
2026-02-23 14:15:00,94.88,95.43,94.55,95.26,1096301
2026-02-23 15:15:00,95.26,95.72,95.21,95.5,752739
2026-02-24 09:15:00,95.3,95.34,94.22,94.57,1792268
2026-02-24 10:15:00,94.56,94.85,94.42,94.55,780681
2026-02-24 11:15:00,94.55,94.71,94.05,94.07,615330
2026-02-24 12:15:00,94.11,94.11,93.38,93.83,1032059
2026-02-24 13:15:00,93.83,94.02,93.21,93.99,753494
2026-02-24 14:15:00,94.04,94.48,93.9,94.33,1165731
2026-02-24 15:15:00,94.33,94.96,94.31,94.87,866009
2026-02-25 09:15:00,94.9,95.44,94.6,95.15,2402536
2026-02-25 10:15:00,95.16,95.93,95.16,95.41,1457751
2026-02-25 11:15:00,95.41,95.58,95.14,95.41,666256
2026-02-25 12:15:00,95.41,95.82,94.21,94.35,1615991
2026-02-25 13:15:00,94.35,94.4,93.74,94.1,1736690
2026-02-25 14:15:00,94.1,94.89,94.05,94.75,1573803
2026-02-25 15:15:00,94.71,94.76,94.31,94.59,935220
2026-02-26 09:15:00,94.5,95.5,94.5,94.77,1712693
2026-02-26 10:15:00,94.76,95.05,94.52,94.95,709927
2026-02-26 11:15:00,94.95,95.1,93.91,93.99,917677
2026-02-26 12:15:00,93.99,94.04,93.55,93.55,648676
2026-02-26 13:15:00,93.56,93.59,93.15,93.29,886010
2026-02-26 14:15:00,93.29,94.38,93.16,94.08,1592256
2026-02-26 15:15:00,94.06,94.24,93.89,94.08,635857
2026-02-27 09:15:00,94.8,95.39,93.15,93.24,5369001
2026-02-27 10:15:00,93.24,93.78,92.87,93.69,1662484
2026-02-27 11:15:00,93.69,93.72,92.91,93.11,1176445
2026-02-27 12:15:00,93.12,93.48,93.0,93.38,625131
2026-02-27 13:15:00,93.4,93.74,93.3,93.47,752718
2026-02-27 14:15:00,93.49,93.53,92.5,92.57,2975239
2026-02-27 15:15:00,92.58,92.76,92.21,92.36,1386605
2026-03-02 09:15:00,86.05,90.82,86.05,89.96,5627444
2026-03-02 10:15:00,90.07,90.1,89.31,89.35,971104
2026-03-02 11:15:00,89.33,89.39,88.12,88.21,1419593
2026-03-02 12:15:00,88.25,88.26,87.68,87.78,1149140
2026-03-02 13:15:00,87.84,88.92,87.51,88.91,1173360
2026-03-02 14:15:00,88.91,89.39,88.55,89.16,1758044
2026-03-02 15:15:00,89.19,89.9,89.15,89.8,1018912
2026-03-04 09:15:00,87.0,87.26,85.7,86.41,4088052
2026-03-04 10:15:00,86.41,86.55,85.6,86.11,1578416
2026-03-04 11:15:00,86.11,86.13,85.31,85.35,1079157
2026-03-04 12:15:00,85.35,85.99,85.06,85.9,1983499
2026-03-04 13:15:00,85.94,86.24,85.51,86.15,1431785
2026-03-04 14:15:00,86.21,86.4,85.42,85.51,2225745
2026-03-04 15:15:00,85.51,85.8,85.0,85.0,967084
2026-03-05 09:15:00,86.38,86.5,85.45,85.45,2698441
2026-03-05 10:15:00,85.48,85.87,85.25,85.64,989482
2026-03-05 11:15:00,85.6,85.79,84.91,85.39,901390
2026-03-05 12:15:00,85.42,86.3,85.3,86.08,1476010
2026-03-05 13:15:00,86.08,86.2,85.28,85.35,931391
2026-03-05 14:15:00,85.25,87.2,85.23,86.53,2670323
2026-03-05 15:15:00,86.5,87.3,86.5,87.19,993785
2026-03-06 09:15:00,86.4,88.39,86.06,88.3,2923970
2026-03-06 10:15:00,88.28,88.32,86.68,87.04,1514479
2026-03-06 11:15:00,87.04,87.4,86.73,86.8,788507
2026-03-06 12:15:00,86.8,87.0,86.66,86.9,553445
2026-03-06 13:15:00,86.9,87.15,86.73,86.91,580575
2026-03-06 14:15:00,86.87,87.16,85.46,85.64,1775502
2026-03-06 15:15:00,85.59,85.82,85.41,85.8,805819
2026-03-09 09:15:00,83.7,83.82,81.4,82.66,4484106
2026-03-09 10:15:00,82.65,83.28,82.06,82.78,1450880
2026-03-09 11:15:00,82.82,83.8,82.41,82.54,1636182
2026-03-09 12:15:00,82.54,83.25,82.51,82.82,698653
2026-03-09 13:15:00,82.81,83.45,82.8,83.16,776144
2026-03-09 14:15:00,83.25,84.58,83.11,84.34,2009200
2026-03-09 15:15:00,84.34,85.0,84.25,84.85,881160
2026-03-10 09:15:00,86.0,86.7,85.31,85.82,1736014
2026-03-10 10:15:00,85.7,86.5,85.7,86.28,864974
2026-03-10 11:15:00,86.35,86.6,85.79,85.85,884470
2026-03-10 12:15:00,85.82,86.4,85.62,86.03,851592
2026-03-10 13:15:00,86.03,86.74,85.75,86.66,794674
2026-03-10 14:15:00,86.66,87.24,86.5,86.77,1716146
2026-03-10 15:15:00,86.83,87.5,86.77,87.2,833819
2026-03-11 09:15:00,87.0,88.39,86.84,87.1,2150053
2026-03-11 10:15:00,87.11,87.36,86.43,86.92,1403032
2026-03-11 11:15:00,86.91,87.13,86.54,87.1,757911
2026-03-11 12:15:00,87.11,87.4,86.65,86.72,520634
2026-03-11 13:15:00,86.72,87.29,86.57,86.63,869720
2026-03-11 14:15:00,86.63,87.13,85.91,85.98,1231446
2026-03-11 15:15:00,85.97,86.34,85.89,86.1,857223
2026-03-12 09:15:00,85.35,85.5,84.41,84.65,2305600
2026-03-12 10:15:00,84.65,86.65,84.51,86.58,1426038
