datetime,open,high,low,close,volume
2026-01-29 09:15:00,82.8,83.3,82.5,82.74,157757
2026-01-29 09:45:00,82.61,82.74,81.66,81.8,108263
2026-01-29 10:15:00,81.8,81.89,81.41,81.51,40672
2026-01-29 10:45:00,81.41,81.8,81.2,81.72,46440
2026-01-29 11:15:00,81.72,82.11,81.71,81.8,34695
2026-01-29 11:45:00,81.8,81.86,81.69,81.73,10671
2026-01-29 12:15:00,81.73,81.75,81.51,81.7,20742
2026-01-29 12:45:00,81.67,81.88,81.54,81.82,28613
2026-01-29 13:15:00,81.82,81.88,81.56,81.87,29984
2026-01-29 13:45:00,81.87,82.57,81.87,82.47,64986
2026-01-29 14:15:00,82.47,82.87,82.3,82.83,57703
2026-01-29 14:45:00,82.83,82.84,82.46,82.47,46673
2026-01-29 15:15:00,82.47,82.58,82.12,82.15,86178
2026-01-30 09:15:00,82.0,83.45,80.2,83.0,240910
2026-01-30 09:45:00,83.21,83.26,82.1,82.46,143196
2026-01-30 10:15:00,82.46,82.9,82.41,82.83,50263
2026-01-30 10:45:00,82.88,84.5,82.67,83.5,408797
2026-01-30 11:15:00,83.55,83.7,82.88,83.14,93655
2026-01-30 11:45:00,83.14,83.38,82.8,82.8,95049
2026-01-30 12:15:00,82.8,83.03,82.7,83.03,31424
2026-01-30 12:45:00,83.03,83.1,82.7,82.8,25967
2026-01-30 13:15:00,82.8,82.93,82.55,82.87,34998
2026-01-30 13:45:00,82.87,83.02,82.72,82.86,31265
2026-01-30 14:15:00,82.99,83.18,82.61,82.82,56275
2026-01-30 14:45:00,82.82,83.05,82.61,82.75,88547
2026-01-30 15:15:00,82.77,83.0,82.51,83.0,89569
2026-02-01 09:15:00,82.98,84.38,82.7,83.69,160728
2026-02-01 09:45:00,83.69,84.19,83.51,84.1,84554
2026-02-01 10:15:00,84.18,84.68,84.18,84.45,157602
2026-02-01 10:45:00,84.45,84.96,84.11,84.19,144571
2026-02-01 11:15:00,84.17,84.2,83.25,83.25,104335
2026-02-01 11:45:00,83.25,83.49,82.07,82.56,97092
2026-02-01 12:15:00,82.51,82.51,77.78,80.64,372526
2026-02-01 12:45:00,80.64,81.23,80.29,80.69,80486
2026-02-01 13:15:00,80.55,80.68,80.06,80.26,41883
2026-02-01 13:45:00,80.26,80.52,79.34,79.75,30108
2026-02-01 14:15:00,79.65,80.5,79.47,80.15,41544
2026-02-01 14:45:00,80.15,80.15,79.22,79.28,69402
2026-02-01 15:15:00,79.28,79.28,78.5,79.05,114518
2026-02-02 09:15:00,78.97,79.6,78.01,78.8,176935
2026-02-02 09:45:00,78.8,79.34,78.57,78.79,98999
2026-02-02 10:15:00,78.78,78.88,78.16,78.19,43497
2026-02-02 10:45:00,78.19,78.2,77.1,77.18,120625
2026-02-02 11:15:00,77.18,77.64,76.62,77.53,82919
2026-02-02 11:45:00,77.53,77.53,77.0,77.3,21989
2026-02-02 12:15:00,77.3,77.5,77.1,77.35,19851
2026-02-02 12:45:00,77.35,77.79,77.22,77.61,33728
2026-02-02 13:15:00,77.61,77.93,77.27,77.84,21337
2026-02-02 13:45:00,77.84,78.3,77.84,78.2,35543
