datetime,open,high,low,close,volume
2026-01-29 09:15:00,79.2,80.2,78.86,79.36,2456971
2026-01-29 09:45:00,79.36,79.36,78.7,78.9,1033938
2026-01-29 10:15:00,78.87,78.9,78.41,78.52,639251
2026-01-29 10:45:00,78.5,79.09,78.37,78.81,518109
2026-01-29 11:15:00,78.82,79.19,78.65,78.66,661981
2026-01-29 11:45:00,78.67,78.79,78.44,78.5,765904
2026-01-29 12:15:00,78.5,78.73,78.48,78.55,374829
2026-01-29 12:45:00,78.55,78.97,78.55,78.81,892235
2026-01-29 13:15:00,78.85,79.11,78.62,79.03,627044
2026-01-29 13:45:00,79.09,79.3,78.93,79.18,678109
2026-01-29 14:15:00,79.18,79.38,79.13,79.31,618659
2026-01-29 14:45:00,79.31,79.36,79.05,79.17,1421979
2026-01-29 15:15:00,79.18,79.3,79.09,79.11,1164774
2026-01-30 09:15:00,78.5,78.74,77.9,78.25,2095084
2026-01-30 09:45:00,78.25,78.89,78.25,78.78,1113871
2026-01-30 10:15:00,78.75,78.78,78.1,78.17,781832
2026-01-30 10:45:00,78.2,78.5,78.14,78.21,623399
2026-01-30 11:15:00,78.2,78.56,78.15,78.37,538219
2026-01-30 11:45:00,78.33,78.5,78.1,78.19,425978
2026-01-30 12:15:00,78.16,78.19,77.56,77.65,1010702
2026-01-30 12:45:00,77.65,77.79,77.25,77.31,693402
2026-01-30 13:15:00,77.31,77.85,77.2,77.82,587792
2026-01-30 13:45:00,77.85,78.14,77.71,77.99,547651
2026-01-30 14:15:00,77.96,78.1,77.81,77.84,657951
2026-01-30 14:45:00,77.82,78.38,77.66,78.05,2773676
2026-01-30 15:15:00,78.06,78.5,78.0,78.2,2675856
2026-02-01 09:15:00,78.29,78.7,77.65,78.67,718734
2026-02-01 09:45:00,78.69,79.0,78.42,78.94,566119
2026-02-01 10:15:00,78.94,79.16,78.65,78.77,544640
2026-02-01 10:45:00,78.78,78.79,78.33,78.53,448553
2026-02-01 11:15:00,78.5,78.54,77.8,77.94,504875
2026-02-01 11:45:00,77.94,78.03,77.4,77.44,477021
2026-02-01 12:15:00,77.45,77.45,76.07,77.02,1266653
2026-02-01 12:45:00,77.04,77.19,76.62,76.93,324840
2026-02-01 13:15:00,76.88,76.92,76.3,76.59,400005
2026-02-01 13:45:00,76.55,77.44,76.35,77.44,508136
2026-02-01 14:15:00,77.44,78.44,77.14,78.09,1352023
2026-02-01 14:45:00,78.07,78.12,76.75,76.77,1115138
2026-02-01 15:15:00,76.77,77.09,76.42,76.42,489328
2026-02-02 09:15:00,76.47,76.7,75.61,75.99,1992359
2026-02-02 09:45:00,75.99,76.44,75.91,76.09,667190
2026-02-02 10:15:00,76.08,76.12,75.71,75.81,522389
2026-02-02 10:45:00,75.81,75.81,75.06,75.27,606690
2026-02-02 11:15:00,75.23,75.74,74.93,75.72,839944
2026-02-02 11:45:00,75.72,76.01,75.71,75.86,667981
2026-02-02 12:15:00,75.86,76.0,75.79,75.86,551251
2026-02-02 12:45:00,75.86,76.44,75.82,76.3,711479
2026-02-02 13:15:00,76.34,76.99,76.3,76.99,2156741
2026-02-02 13:45:00,76.93,77.13,76.76,76.88,704492
2026-02-02 14:15:00,76.88,77.4,76.78,77.19,731498
2026-02-02 14:45:00,77.16,77.82,77.16,77.73,1296654
2026-02-02 15:15:00,77.76,78.24,77.69,78.08,814516
