datetime,open,high,low,close,volume
2026-01-29 09:15:00,10.6,10.64,10.48,10.6,4196549
2026-01-29 09:20:00,10.61,10.61,10.5,10.51,2427154
2026-01-29 09:25:00,10.5,10.54,10.5,10.52,743403
2026-01-29 09:30:00,10.54,10.54,10.5,10.5,453179
2026-01-29 09:35:00,10.51,10.51,10.45,10.51,2178632
2026-01-29 09:40:00,10.51,10.53,10.49,10.51,907058
2026-01-29 09:45:00,10.52,10.53,10.5,10.51,328686
2026-01-29 09:50:00,10.51,10.52,10.48,10.49,1253347
2026-01-29 09:55:00,10.49,10.5,10.47,10.49,438195
2026-01-29 10:00:00,10.49,10.5,10.47,10.5,538619
2026-01-29 10:05:00,10.5,10.5,10.47,10.47,416701
2026-01-29 10:10:00,10.48,10.48,10.47,10.48,414470
2026-01-29 10:15:00,10.48,10.48,10.45,10.47,265398
2026-01-29 10:20:00,10.47,10.48,10.45,10.46,347477
2026-01-29 10:25:00,10.46,10.48,10.45,10.46,308181
2026-01-29 10:30:00,10.46,10.46,10.43,10.44,343657
2026-01-29 10:35:00,10.44,10.46,10.44,10.46,207467
2026-01-29 10:40:00,10.46,10.46,10.45,10.45,110895
2026-01-29 10:45:00,10.45,10.46,10.45,10.45,174474
2026-01-29 10:50:00,10.45,10.46,10.43,10.45,324129
2026-01-29 10:55:00,10.45,10.47,10.44,10.45,272188
2026-01-29 11:00:00,10.45,10.49,10.45,10.49,313623
2026-01-29 11:05:00,10.49,10.52,10.49,10.5,521200
2026-01-29 11:10:00,10.52,10.52,10.5,10.51,172116
2026-01-29 11:15:00,10.51,10.55,10.5,10.53,536387
2026-01-29 11:20:00,10.54,10.54,10.52,10.53,192653
2026-01-29 11:25:00,10.54,10.54,10.52,10.53,262289
2026-01-29 11:30:00,10.53,10.53,10.49,10.49,390416
2026-01-29 11:35:00,10.5,10.51,10.48,10.5,476486
2026-01-29 11:40:00,10.5,10.53,10.49,10.52,323241
2026-01-29 11:45:00,10.51,10.52,10.51,10.52,186857
2026-01-29 11:50:00,10.52,10.53,10.51,10.53,228803
2026-01-29 11:55:00,10.53,10.56,10.52,10.54,1052394
2026-01-29 12:00:00,10.54,10.54,10.5,10.5,166908
2026-01-29 12:05:00,10.5,10.51,10.46,10.49,400272
2026-01-29 12:10:00,10.49,10.52,10.46,10.52,470447
2026-01-29 12:15:00,10.51,10.52,10.49,10.51,314066
2026-01-29 12:20:00,10.51,10.51,10.49,10.5,215112
2026-01-29 12:25:00,10.49,10.51,10.49,10.51,210339
2026-01-29 12:30:00,10.51,10.51,10.5,10.51,140536
2026-01-29 12:35:00,10.51,10.51,10.49,10.49,117101
2026-01-29 12:40:00,10.49,10.5,10.49,10.5,65628
2026-01-29 12:45:00,10.5,10.5,10.47,10.49,201064
2026-01-29 12:50:00,10.49,10.49,10.47,10.48,161879
2026-01-29 12:55:00,10.47,10.49,10.47,10.47,105203
2026-01-29 13:00:00,10.48,10.49,10.46,10.48,87085
2026-01-29 13:05:00,10.48,10.48,10.47,10.48,214025
2026-01-29 13:10:00,10.47,10.48,10.47,10.47,97588
2026-01-29 13:15:00,10.48,10.48,10.47,10.48,91861
2026-01-29 13:20:00,10.48,10.48,10.46,10.46,212739
2026-01-29 13:25:00,10.47,10.47,10.45,10.46,224562
2026-01-29 13:30:00,10.46,10.5,10.45,10.46,1109290
2026-01-29 13:35:00,10.48,10.49,10.46,10.48,145583
2026-01-29 13:40:00,10.48,10.52,10.48,10.5,653539
2026-01-29 13:45:00,10.5,10.5,10.48,10.49,196353
2026-01-29 13:50:00,10.48,10.5,10.48,10.5,236743
2026-01-29 13:55:00,10.5,10.5,10.48,10.49,503518
2026-01-29 14:00:00,10.48,10.5,10.48,10.49,259074
2026-01-29 14:05:00,10.49,10.49,10.48,10.49,131885
2026-01-29 14:10:00,10.48,10.49,10.48,10.49,105416
2026-01-29 14:15:00,10.48,10.5,10.48,10.49,459051
2026-01-29 14:20:00,10.49,10.49,10.48,10.49,87669
2026-01-29 14:25:00,10.49,10.49,10.48,10.48,265946
2026-01-29 14:30:00,10.49,10.51,10.48,10.5,475698
2026-01-29 14:35:00,10.5,10.52,10.49,10.51,407718
2026-01-29 14:40:00,10.51,10.51,10.49,10.5,145108
2026-01-29 14:45:00,10.5,10.5,10.49,10.5,146699
2026-01-29 14:50:00,10.5,10.5,10.49,10.5,143683
2026-01-29 14:55:00,10.5,10.5,10.45,10.47,12224743
2026-01-29 15:00:00,10.48,10.48,10.42,10.44,593357
2026-01-29 15:05:00,10.43,10.45,10.4,10.4,520413
2026-01-29 15:10:00,10.41,10.47,10.36,10.45,2167448
2026-01-29 15:15:00,10.46,10.47,10.43,10.44,1774038
2026-01-29 15:20:00,10.44,10.5,10.43,10.5,2535947
2026-01-29 15:25:00,10.5,10.5,10.46,10.49,1937002
2026-01-30 09:15:00,10.41,10.41,10.26,10.27,2672010
2026-01-30 09:20:00,10.28,10.32,10.25,10.3,2312489
2026-01-30 09:25:00,10.31,10.33,10.26,10.27,3717539
2026-01-30 09:30:00,10.27,10.35,10.26,10.35,1128048
2026-01-30 09:35:00,10.35,10.35,10.29,10.29,933913
2026-01-30 09:40:00,10.3,10.32,10.29,10.31,813580
2026-01-30 09:45:00,10.31,10.34,10.29,10.34,750889
2026-01-30 09:50:00,10.34,10.35,10.32,10.34,617362
2026-01-30 09:55:00,10.35,10.35,10.32,10.33,344387
2026-01-30 10:00:00,10.33,10.37,10.32,10.36,441043
2026-01-30 10:05:00,10.36,10.39,10.36,10.39,266454
2026-01-30 10:10:00,10.39,10.39,10.36,10.38,355703
2026-01-30 10:15:00,10.37,10.38,10.35,10.36,303522
2026-01-30 10:20:00,10.36,10.36,10.34,10.36,175007
2026-01-30 10:25:00,10.36,10.36,10.34,10.35,222992
2026-01-30 10:30:00,10.36,10.36,10.34,10.35,636798
2026-01-30 10:35:00,10.36,10.36,10.34,10.35,301335
2026-01-30 10:40:00,10.35,10.37,10.34,10.36,185127
2026-01-30 10:45:00,10.37,10.37,10.35,10.37,99388
2026-01-30 10:50:00,10.37,10.41,10.35,10.41,1075058
2026-01-30 10:55:00,10.41,10.44,10.41,10.42,407507
2026-01-30 11:00:00,10.42,10.45,10.41,10.45,393250
2026-01-30 11:05:00,10.44,10.45,10.41,10.41,170340
2026-01-30 11:10:00,10.41,10.42,10.37,10.39,943239
2026-01-30 11:15:00,10.39,10.39,10.37,10.38,207420
2026-01-30 11:20:00,10.38,10.41,10.38,10.39,185318
2026-01-30 11:25:00,10.39,10.4,10.37,10.37,448587
