datetime,open,high,low,close,volume
2026-01-30 09:15:00,552.0,552.0,541.0,548.0,27032
2026-01-30 10:15:00,548.0,551.1,544.3,547.25,10751
2026-01-30 11:15:00,547.25,549.05,545.1,546.55,6440
2026-01-30 12:15:00,546.55,546.55,542.0,542.0,8188
2026-01-30 13:15:00,542.0,556.25,541.15,555.0,31706
2026-01-30 14:15:00,555.05,557.2,546.85,548.0,23368
2026-01-30 15:15:00,548.0,553.6,547.0,551.4,9719
2026-02-01 09:15:00,551.25,551.25,543.0,547.0,7549
2026-02-01 10:15:00,547.0,548.5,543.1,546.25,12987
2026-02-01 11:15:00,546.25,548.0,543.1,544.6,5335
2026-02-01 12:15:00,544.15,548.0,524.15,544.35,21600
2026-02-01 13:15:00,544.35,553.95,542.0,551.95,16614
2026-02-01 14:15:00,551.95,554.8,545.55,552.0,11307
2026-02-01 15:15:00,552.0,552.9,542.15,550.0,10049
2026-02-02 09:15:00,537.5,544.95,536.2,537.9,25622
2026-02-02 10:15:00,537.9,538.7,534.5,534.5,12625
2026-02-02 11:15:00,534.5,537.45,534.0,535.0,6079
2026-02-02 12:15:00,535.35,538.0,534.3,536.4,6568
2026-02-02 13:15:00,536.25,538.6,535.15,537.65,7471
2026-02-02 14:15:00,537.65,542.75,537.5,541.6,9042
2026-02-02 15:15:00,541.6,553.9,539.9,545.2,9928
2026-02-03 09:15:00,574.65,575.0,545.1,545.9,42768
2026-02-03 10:15:00,545.95,554.4,545.5,552.5,48523
2026-02-03 11:15:00,552.45,555.85,551.0,552.0,12963
2026-02-03 12:15:00,551.7,553.55,548.95,549.9,8073
2026-02-03 13:15:00,549.8,551.0,545.9,549.0,13045
2026-02-03 14:15:00,549.0,550.75,548.15,549.0,19667
2026-02-03 15:15:00,549.0,553.0,549.0,549.7,12974
2026-02-04 09:15:00,554.9,560.0,548.1,558.25,18224
2026-02-04 10:15:00,558.25,561.0,552.0,554.2,18537
2026-02-04 11:15:00,554.2,557.65,545.1,554.85,29677
2026-02-04 12:15:00,554.85,555.0,550.9,553.25,6805
2026-02-04 13:15:00,553.25,554.75,551.05,554.65,5732
2026-02-04 14:15:00,554.65,556.3,549.3,550.5,35165
2026-02-04 15:15:00,551.15,554.9,550.0,554.65,10750
2026-02-05 09:15:00,558.8,558.8,550.5,555.85,23694
2026-02-05 10:15:00,556.1,556.7,553.0,555.25,5535
2026-02-05 11:15:00,555.25,558.85,553.85,554.35,9227
2026-02-05 12:15:00,554.35,555.0,553.5,555.0,6232
2026-02-05 13:15:00,555.0,555.0,552.75,553.0,4578
2026-02-05 14:15:00,553.0,555.5,553.0,554.9,8403
2026-02-05 15:15:00,555.0,555.5,552.75,554.0,12439
2026-02-06 09:15:00,558.0,558.0,545.7,552.45,41468
2026-02-06 10:15:00,552.45,554.0,549.3,550.0,18067
2026-02-06 11:15:00,549.95,550.0,545.5,546.2,63496
2026-02-06 12:15:00,546.15,549.7,545.7,547.5,22150
2026-02-06 13:15:00,547.5,550.85,547.5,550.0,22390
2026-02-06 14:15:00,550.0,550.9,549.05,549.95,38307
2026-02-06 15:15:00,550.0,551.8,549.0,549.15,19119
2026-02-09 09:15:00,560.25,586.25,556.2,574.65,215552
2026-02-09 10:15:00,574.65,577.45,573.35,575.0,109063
2026-02-09 11:15:00,574.95,583.9,572.0,574.65,229458
2026-02-09 12:15:00,574.65,582.7,573.05,581.0,148080
2026-02-09 13:15:00,580.95,585.0,576.5,578.2,129180
2026-02-09 14:15:00,578.55,597.7,575.1,587.35,1020263
2026-02-09 15:15:00,587.35,600.0,585.05,600.0,314846
2026-02-10 09:15:00,616.75,624.0,602.2,608.1,703330
2026-02-10 10:15:00,608.1,617.0,607.5,610.0,101137
2026-02-10 11:15:00,610.0,611.95,604.05,605.65,66217
2026-02-10 12:15:00,605.65,610.0,605.0,608.65,56449
2026-02-10 13:15:00,608.5,609.25,600.0,602.5,43864
2026-02-10 14:15:00,602.5,604.0,598.2,600.5,66382
2026-02-10 15:15:00,600.5,600.55,585.05,596.9,78250
2026-02-11 09:15:00,581.0,589.9,568.2,569.5,271911
2026-02-11 10:15:00,569.5,570.5,565.4,567.9,73745
2026-02-11 11:15:00,567.9,568.5,564.0,564.9,64427
2026-02-11 12:15:00,564.9,565.8,561.35,561.5,42597
2026-02-11 13:15:00,561.5,567.05,561.0,567.05,65363
2026-02-11 14:15:00,567.05,567.95,563.5,563.6,43554
2026-02-11 15:15:00,563.6,564.0,562.0,562.9,41159
2026-02-12 09:15:00,564.0,569.95,550.85,568.85,172749
2026-02-12 10:15:00,568.95,570.9,565.2,566.0,35752
2026-02-12 11:15:00,566.0,572.75,563.0,569.25,60229
2026-02-12 12:15:00,568.65,575.4,568.65,571.45,64662
2026-02-12 13:15:00,571.85,572.85,570.15,572.0,17630
2026-02-12 14:15:00,572.45,572.95,568.8,569.6,24986
2026-02-12 15:15:00,569.55,574.2,569.25,574.0,26222
2026-02-13 09:15:00,571.5,571.5,551.3,564.4,40521
2026-02-13 10:15:00,564.4,570.45,563.0,568.05,20286
2026-02-13 11:15:00,568.05,571.0,566.7,570.05,7082
2026-02-13 12:15:00,570.05,575.0,569.45,573.9,11587
2026-02-13 13:15:00,573.9,574.0,570.15,570.85,13167
2026-02-13 14:15:00,570.85,571.45,567.6,567.6,13421
2026-02-13 15:15:00,567.6,569.5,565.0,569.0,13646
2026-02-16 09:15:00,567.95,567.95,558.3,561.65,33558
2026-02-16 10:15:00,561.65,561.65,552.2,558.5,35218
2026-02-16 11:15:00,558.5,560.0,555.0,557.85,8828
2026-02-16 12:15:00,557.85,559.05,557.0,557.7,5076
2026-02-16 13:15:00,557.7,560.6,556.2,557.35,13993
2026-02-16 14:15:00,557.35,559.4,555.0,556.2,16572
2026-02-16 15:15:00,556.2,556.5,552.9,554.0,20360
2026-02-17 09:15:00,555.05,568.7,552.35,564.2,28821
2026-02-17 10:15:00,564.2,564.2,556.05,557.7,26408
2026-02-17 11:15:00,557.95,559.55,554.15,557.4,10788
2026-02-17 12:15:00,557.15,558.95,556.0,557.0,13802
2026-02-17 13:15:00,557.0,557.5,555.0,555.9,11609
2026-02-17 14:15:00,555.9,557.0,550.0,554.5,55939
2026-02-17 15:15:00,554.5,557.5,554.5,555.1,18499
2026-02-18 09:15:00,555.95,561.1,553.3,558.4,74437
2026-02-18 10:15:00,558.4,566.85,557.8,563.8,82685
2026-02-18 11:15:00,563.8,565.7,562.4,565.25,24183
2026-02-18 12:15:00,565.25,569.45,564.7,568.5,30042
2026-02-18 13:15:00,568.5,569.3,565.75,569.0,17812
2026-02-18 14:15:00,569.0,571.5,567.1,568.55,26838
2026-02-18 15:15:00,568.55,571.0,565.45,570.0,26264
2026-02-19 09:15:00,573.95,580.8,564.0,578.2,79349
2026-02-19 10:15:00,578.25,580.25,575.0,575.65,34550
2026-02-19 11:15:00,575.45,578.95,573.5,573.5,16916
2026-02-19 12:15:00,573.5,574.1,572.0,572.25,13579
2026-02-19 13:15:00,572.25,573.25,571.0,572.05,9609
2026-02-19 14:15:00,571.55,574.0,571.0,572.05,18026
2026-02-19 15:15:00,572.2,574.0,571.1,572.0,26157
2026-02-20 09:15:00,571.65,571.65,560.95,563.35,29898
2026-02-20 10:15:00,563.35,564.7,562.3,562.5,10636
2026-02-20 11:15:00,562.5,564.0,562.0,563.3,7402
2026-02-20 12:15:00,563.3,564.95,561.0,562.6,6285
2026-02-20 13:15:00,562.6,564.0,561.0,562.0,9613
2026-02-20 14:15:00,562.0,563.65,561.15,562.25,8371
2026-02-20 15:15:00,562.25,563.25,561.0,563.25,4294
2026-02-23 09:15:00,565.0,569.0,553.6,556.7,89945
2026-02-23 10:15:00,556.7,561.45,555.85,561.45,19577
2026-02-23 11:15:00,561.45,561.45,558.45,560.65,10276
2026-02-23 12:15:00,560.65,561.35,559.0,560.85,9390
2026-02-23 13:15:00,560.85,562.2,558.35,560.0,14779
2026-02-23 14:15:00,560.5,561.95,555.0,555.35,19847
2026-02-23 15:15:00,555.35,558.3,553.65,553.65,20802
2026-02-24 09:15:00,558.0,561.0,553.1,555.6,30060
2026-02-24 10:15:00,555.6,556.05,554.3,555.0,7167
2026-02-24 11:15:00,555.0,556.0,552.05,553.25,5406
2026-02-24 12:15:00,553.25,554.2,551.3,551.6,6758
2026-02-24 13:15:00,551.6,552.55,548.9,550.6,17773
