datetime,open,high,low,close,volume
2026-01-29 09:15:00,238.95,239.0,233.05,233.1,17841
2026-01-29 10:15:00,233.1,234.0,232.2,233.5,8299
2026-01-29 11:15:00,233.5,239.7,232.35,235.8,27179
2026-01-29 12:15:00,235.8,238.3,234.7,236.4,11797
2026-01-29 13:15:00,236.4,237.1,235.55,236.65,3344
2026-01-29 14:15:00,236.65,237.3,236.1,236.5,6241
2026-01-29 15:15:00,236.5,239.5,236.35,237.2,7567
2026-01-30 09:15:00,234.6,237.25,232.25,237.25,15043
2026-01-30 10:15:00,237.2,239.0,235.5,237.8,7889
2026-01-30 11:15:00,237.8,241.95,237.55,238.3,14741
2026-01-30 12:15:00,238.3,239.35,238.2,238.5,2469
2026-01-30 13:15:00,238.5,241.45,238.5,239.6,7425
2026-01-30 14:15:00,239.6,241.0,238.55,239.75,8144
2026-01-30 15:15:00,239.75,240.0,238.15,239.1,4497
2026-02-01 09:15:00,239.2,240.11,237.13,239.53,5962
2026-02-01 10:15:00,239.53,240.91,238.91,240.65,4701
2026-02-01 11:15:00,240.65,240.65,237.76,238.0,6420
2026-02-01 12:15:00,238.0,239.14,236.5,238.22,8880
2026-02-01 13:15:00,238.22,238.26,237.03,237.75,6150
2026-02-01 14:15:00,237.75,237.96,237.07,237.48,2972
2026-02-01 15:15:00,237.48,237.48,236.0,236.11,7200
2026-02-02 09:15:00,235.76,237.5,234.76,236.12,13049
2026-02-02 10:15:00,236.12,236.12,232.61,232.62,16649
2026-02-02 11:15:00,232.62,232.98,231.15,232.98,5783
2026-02-02 12:15:00,232.98,232.98,230.0,231.8,12102
2026-02-02 13:15:00,231.8,233.97,231.8,233.25,6973
2026-02-02 14:15:00,233.25,236.89,232.78,236.5,13542
2026-02-02 15:15:00,236.45,238.35,233.71,236.8,17441
2026-02-03 09:15:00,240.0,243.54,237.52,238.05,23838
2026-02-03 10:15:00,238.0,240.0,237.69,239.4,12180
2026-02-03 11:15:00,239.4,240.5,238.94,239.42,8425
2026-02-03 12:15:00,239.43,241.92,239.42,241.66,9612
2026-02-03 13:15:00,241.66,242.2,241.01,241.34,12306
2026-02-03 14:15:00,241.34,241.78,240.59,241.14,12471
2026-02-03 15:15:00,241.14,241.78,240.53,241.78,4327
2026-02-04 09:15:00,240.4,247.01,238.66,246.5,28093
2026-02-04 10:15:00,246.5,247.33,245.0,246.09,21297
2026-02-04 11:15:00,246.09,246.27,244.77,246.19,5047
2026-02-04 12:15:00,246.19,247.39,245.8,247.1,6260
2026-02-04 13:15:00,247.1,247.9,246.61,246.61,13353
2026-02-04 14:15:00,246.61,252.0,246.61,252.0,30733
2026-02-04 15:15:00,252.0,252.51,247.5,250.0,21617
2026-02-05 09:15:00,248.6,255.0,248.0,251.9,43883
2026-02-05 10:15:00,252.12,252.8,249.01,250.1,15120
2026-02-05 11:15:00,250.1,250.79,249.85,250.13,5231
2026-02-05 12:15:00,250.13,250.45,248.85,249.86,6256
2026-02-05 13:15:00,249.86,260.0,249.47,257.3,87507
2026-02-05 14:15:00,257.3,263.27,255.85,262.29,130381
2026-02-05 15:15:00,262.29,264.0,262.0,262.0,45984
2026-02-06 09:15:00,259.2,259.97,251.5,252.31,40595
2026-02-06 10:15:00,252.31,253.76,252.0,252.76,9584
2026-02-06 11:15:00,252.76,260.16,251.0,256.0,35067
