datetime,open,high,low,close,volume
2026-02-01 09:15:00,365.3,365.8,361.1,363.7,179813
2026-02-01 09:25:00,363.7,365.85,363.3,365.7,110202
2026-02-01 09:35:00,365.7,365.7,364.5,365.2,52013
2026-02-01 09:45:00,365.25,365.45,364.6,364.9,50247
2026-02-01 09:55:00,365.0,365.95,363.25,365.9,113562
2026-02-01 10:05:00,365.95,366.65,365.7,366.15,81417
2026-02-01 10:15:00,366.15,366.85,365.75,366.45,107874
2026-02-01 10:25:00,366.3,367.3,366.1,366.9,65352
2026-02-01 10:35:00,366.9,367.0,365.05,366.35,120704
2026-02-01 10:45:00,366.35,366.65,365.4,365.5,116443
2026-02-01 10:55:00,365.45,366.25,365.4,366.1,73500
2026-02-01 11:05:00,366.15,366.6,365.3,365.7,60819
2026-02-01 11:15:00,365.65,366.4,365.3,365.5,60267
2026-02-01 11:25:00,365.5,380.0,365.2,379.15,4378704
2026-02-01 11:35:00,379.05,379.25,371.5,374.45,1950901
2026-02-01 11:45:00,374.6,376.9,372.6,375.2,1202699
2026-02-01 11:55:00,374.95,375.25,369.4,369.7,781878
2026-02-01 12:05:00,369.75,372.6,366.1,366.4,926221
2026-02-01 12:15:00,366.4,366.5,363.2,365.1,694010
2026-02-01 12:25:00,365.1,365.7,350.7,361.35,1640884
2026-02-01 12:35:00,361.3,369.9,360.95,369.15,1968621
2026-02-01 12:45:00,369.35,373.35,368.75,370.8,1114029
2026-02-01 12:55:00,370.75,371.3,367.7,370.15,575083
2026-02-01 13:05:00,370.15,371.6,369.1,371.15,201008
2026-02-01 13:15:00,371.2,371.95,370.1,370.85,285165
2026-02-01 13:25:00,370.9,370.9,367.45,369.85,370252
2026-02-01 13:35:00,369.75,371.3,368.1,369.05,171903
2026-02-01 13:45:00,369.1,369.4,366.0,366.75,258871
2026-02-01 13:55:00,366.6,367.5,365.4,365.9,128185
2026-02-01 14:05:00,366.0,366.0,362.15,364.1,317818
2026-02-01 14:15:00,364.2,365.75,364.05,365.0,106252
2026-02-01 14:25:00,365.0,367.05,365.0,367.05,108775
2026-02-01 14:35:00,367.2,368.75,366.2,366.5,196427
2026-02-01 14:45:00,366.5,366.6,363.0,363.05,237298
2026-02-01 14:55:00,363.05,363.95,361.85,363.05,294086
2026-02-01 15:05:00,363.2,363.3,359.55,359.8,280959
