datetime,open,high,low,close,volume
2026-01-29 09:15:00,348.55,352.8,340.7,342.65,6992294
2026-01-29 09:45:00,342.85,343.7,336.2,337.5,3122917
2026-01-29 10:15:00,337.5,337.55,332.1,335.9,3131854
2026-01-29 10:45:00,335.45,336.75,332.1,332.9,1716850
2026-01-29 11:15:00,333.25,335.7,333.05,333.45,1062294
2026-01-29 11:45:00,333.4,333.65,331.2,333.3,1547533
2026-01-29 12:15:00,333.3,335.9,332.5,333.8,887901
2026-01-29 12:45:00,333.6,335.85,333.45,334.2,713219
2026-01-29 13:15:00,334.2,335.9,333.55,335.9,639306
2026-01-29 13:45:00,335.75,335.9,333.5,334.3,594630
2026-01-29 14:15:00,334.3,337.4,334.1,336.9,1208542
2026-01-29 14:45:00,336.85,343.5,336.8,342.85,3181294
2026-01-29 15:15:00,342.8,343.0,339.15,340.0,2032835
2026-01-30 09:15:00,337.9,337.9,331.8,335.55,2481695
2026-01-30 09:45:00,335.4,339.25,334.4,338.95,1152882
2026-01-30 10:15:00,338.85,339.45,336.2,339.15,800402
2026-01-30 10:45:00,339.2,343.05,338.75,340.2,1294493
2026-01-30 11:15:00,340.05,340.25,337.6,338.55,746170
2026-01-30 11:45:00,338.65,340.0,337.75,338.0,672565
2026-01-30 12:15:00,338.0,338.65,336.1,338.1,536720
2026-01-30 12:45:00,338.1,338.95,337.35,338.35,374894
2026-01-30 13:15:00,338.3,339.7,337.0,339.5,696527
2026-01-30 13:45:00,339.65,340.9,338.7,339.95,666448
2026-01-30 14:15:00,339.95,341.25,338.55,338.6,950797
2026-01-30 14:45:00,338.65,344.45,338.0,343.7,1999261
2026-01-30 15:15:00,343.7,344.9,342.6,344.0,1615408
2026-02-01 09:15:00,343.4,345.65,335.35,344.15,3900702
2026-02-01 09:45:00,344.1,351.6,343.9,348.85,4688187
2026-02-01 10:15:00,348.85,350.5,347.5,347.95,1508904
2026-02-01 10:45:00,347.95,349.25,333.2,344.0,3073729
2026-02-01 11:15:00,344.15,350.35,337.6,340.25,4774998
2026-02-01 11:45:00,340.05,342.65,334.15,335.6,2352558
2026-02-01 12:15:00,335.4,335.5,309.1,329.35,6521739
2026-02-01 12:45:00,329.05,334.9,328.3,329.95,1969985
2026-02-01 13:15:00,330.15,330.85,326.1,329.5,1012717
2026-02-01 13:45:00,329.5,331.2,325.0,326.8,915420
2026-02-01 14:15:00,326.8,329.0,325.05,327.8,756797
2026-02-01 14:45:00,327.5,329.5,323.55,325.55,2479018
2026-02-01 15:15:00,325.2,328.5,324.25,326.95,1558047
2026-02-02 09:15:00,320.0,324.3,314.5,315.9,4076201
2026-02-02 09:45:00,315.85,321.95,315.7,319.5,1757909
2026-02-02 10:15:00,319.5,320.4,315.8,316.0,845618
2026-02-02 10:45:00,316.2,316.25,312.05,314.5,1258455
2026-02-02 11:15:00,314.5,316.85,312.75,315.4,732302
2026-02-02 11:45:00,315.3,315.5,313.25,314.3,440929
2026-02-02 12:15:00,314.4,315.25,312.1,313.5,579930
2026-02-02 12:45:00,313.35,316.0,312.6,314.9,541091
2026-02-02 13:15:00,314.6,315.75,312.5,315.4,516822
2026-02-02 13:45:00,315.45,317.25,314.05,314.75,549000
2026-02-02 14:15:00,314.85,318.65,313.85,318.45,838428
2026-02-02 14:45:00,318.25,323.0,318.0,322.85,2047783
2026-02-02 15:15:00,322.9,325.5,322.65,324.7,1066954
2026-02-03 09:15:00,334.4,339.0,324.55,324.55,3015438
2026-02-03 09:45:00,324.5,326.0,323.2,323.7,761702
2026-02-03 10:15:00,323.8,326.85,323.8,324.85,700982
2026-02-03 10:45:00,324.95,326.55,324.0,324.75,378752
2026-02-03 11:15:00,324.75,325.0,323.8,324.4,341166
2026-02-03 11:45:00,324.5,324.9,323.4,324.1,445801
2026-02-03 12:15:00,324.1,325.9,324.0,325.2,350762
2026-02-03 12:45:00,325.2,325.35,323.5,323.9,254835
2026-02-03 13:15:00,324.0,325.0,323.75,324.95,241097
2026-02-03 13:45:00,325.0,326.65,324.5,325.2,485428
2026-02-03 14:15:00,325.05,325.75,324.6,324.9,322719
2026-02-03 14:45:00,324.7,326.7,324.55,325.0,984173
2026-02-03 15:15:00,325.0,325.05,323.0,324.2,750886
2026-02-04 09:15:00,323.7,323.7,318.75,320.3,1867249
2026-02-04 09:45:00,320.15,323.9,320.05,323.3,946645
2026-02-04 10:15:00,323.45,323.85,320.45,321.45,465099
2026-02-04 10:45:00,321.45,322.9,320.9,321.35,338335
2026-02-04 11:15:00,321.5,321.9,320.55,321.4,255782
2026-02-04 11:45:00,321.35,321.95,320.6,321.35,263915
2026-02-04 12:15:00,321.25,321.65,320.3,321.15,304361
2026-02-04 12:45:00,321.1,321.35,319.45,320.15,404831
2026-02-04 13:15:00,320.15,321.05,319.55,320.55,328794
2026-02-04 13:45:00,320.55,321.75,319.7,321.0,424204
2026-02-04 14:15:00,321.0,322.0,319.8,321.25,522891
2026-02-04 14:45:00,321.25,322.9,320.8,321.15,882223
2026-02-04 15:15:00,321.05,321.35,320.0,321.0,570841
2026-02-05 09:15:00,321.0,324.2,318.15,318.35,1441799
2026-02-05 09:45:00,318.2,318.8,316.65,317.85,677882
2026-02-05 10:15:00,317.95,318.95,316.1,316.5,506874
2026-02-05 10:45:00,316.5,317.85,316.1,317.55,292613
2026-02-05 11:15:00,317.55,317.8,316.3,317.2,263786
2026-02-05 11:45:00,317.2,317.3,316.45,316.55,173874
2026-02-05 12:15:00,316.65,317.4,316.05,317.35,268704
2026-02-05 12:45:00,317.3,318.2,317.0,317.3,232586
2026-02-05 13:15:00,317.3,318.8,317.2,318.05,231298
2026-02-05 13:45:00,318.0,318.2,316.2,316.8,225002
2026-02-05 14:15:00,316.9,318.0,316.6,317.5,238384
2026-02-05 14:45:00,317.5,317.95,316.2,316.75,531454
2026-02-05 15:15:00,316.8,317.2,316.0,316.6,767400
2026-02-06 09:15:00,315.25,316.25,311.45,312.75,1530114
2026-02-06 09:45:00,312.7,314.35,311.1,312.55,719008
2026-02-06 10:15:00,312.55,312.85,311.3,311.95,329510
2026-02-06 10:45:00,311.65,315.1,310.5,314.35,745236
2026-02-06 11:15:00,314.4,314.95,312.75,313.4,243745
