datetime,open,high,low,close,volume
2023-05-08 09:15:00,513.2,535.0,502.1,516.15,413662
2023-05-15 09:15:00,516.2,557.95,483.0,503.8,1112050
2023-05-22 09:15:00,508.0,523.5,490.0,492.0,536377
2023-05-29 09:15:00,494.95,540.0,483.0,535.55,1089582
2023-06-05 09:15:00,543.0,657.5,539.15,625.35,2713453
2023-06-12 09:15:00,632.25,674.95,627.15,637.75,1007953
2023-06-19 09:15:00,642.9,678.5,625.0,627.1,527199
2023-06-26 09:15:00,633.75,644.5,610.85,617.2,338620
2023-07-03 09:15:00,625.0,711.6,617.4,683.95,1638803
2023-07-10 09:15:00,685.0,711.05,662.25,702.75,480554
2023-07-17 09:15:00,708.7,750.0,685.85,703.3,529367
2023-07-24 09:15:00,708.0,725.0,677.95,713.95,410860
2023-07-31 09:15:00,721.0,725.0,620.1,626.7,1041330
2023-08-07 09:15:00,626.7,669.95,539.95,548.95,10929458
2023-08-14 09:15:00,548.0,554.05,506.0,517.7,1513579
2023-08-21 09:15:00,522.7,567.5,501.55,556.15,2351632
2023-08-28 09:15:00,568.0,599.0,559.3,576.5,2042156
2023-09-04 09:15:00,582.7,592.25,556.1,559.3,789439
2023-09-11 09:15:00,562.45,571.8,506.75,548.9,1138290
2023-09-18 09:15:00,549.0,554.7,522.25,538.1,452457
2023-09-25 09:15:00,539.6,545.0,527.5,530.85,416856
2023-10-02 09:15:00,531.85,538.8,513.0,527.55,482565
2023-10-09 09:15:00,523.0,560.55,512.85,540.05,582917
2023-10-16 09:15:00,535.0,557.0,530.1,546.6,567144
2023-10-23 09:15:00,550.0,561.0,488.0,524.25,712684
2023-10-30 09:15:00,523.25,548.0,511.2,534.2,493409
2023-11-06 09:15:00,538.25,546.0,500.55,543.85,903802
2023-11-13 09:15:00,543.7,549.85,523.45,537.45,470475
2023-11-20 09:15:00,537.45,557.5,531.0,542.45,413383
2023-11-27 09:15:00,550.0,571.0,535.0,543.2,517483
2023-12-04 09:15:00,558.95,563.0,542.0,546.5,495863
2023-12-11 09:15:00,547.8,556.0,533.7,548.75,566926
2023-12-18 09:15:00,542.15,558.0,520.0,536.35,495823
2023-12-25 09:15:00,539.75,552.3,534.0,550.55,334978
2024-01-01 09:15:00,555.0,616.95,555.0,601.7,2986422
2024-01-08 09:15:00,606.4,615.0,580.45,583.5,776589
2024-01-15 09:15:00,580.0,592.35,550.05,567.75,826289
2024-01-22 09:15:00,572.6,583.8,548.0,567.95,292143
2024-01-29 09:15:00,567.95,599.4,561.0,581.55,688180
2024-02-05 09:15:00,584.8,599.4,524.85,551.7,956384
2024-02-12 09:15:00,569.0,569.0,519.05,551.35,741956
2024-02-19 09:15:00,554.45,565.0,536.05,555.45,343503
2024-02-26 09:15:00,553.9,570.0,523.65,562.95,521556
2024-03-04 09:15:00,569.95,575.85,525.0,550.25,399065
2024-03-11 09:15:00,558.3,564.8,460.0,516.35,967557
2024-03-18 09:15:00,517.0,545.85,517.0,536.35,398869
2024-03-25 09:15:00,540.0,549.5,512.15,519.35,363747
2024-04-01 09:15:00,522.9,599.3,520.0,576.35,668203
2024-04-08 09:15:00,583.7,595.0,565.9,569.0,294542
2024-04-15 09:15:00,552.0,577.8,519.0,567.2,289308
2024-04-22 09:15:00,574.7,600.0,567.55,576.65,499904
2024-04-29 09:15:00,582.5,599.0,570.0,581.45,235121
2024-05-06 09:15:00,581.9,590.0,548.05,556.35,318884
2024-05-13 09:15:00,550.15,568.0,522.05,526.15,398358
2024-05-20 09:15:00,530.0,549.0,500.2,503.0,421429
2024-05-27 09:15:00,504.95,528.0,481.75,506.2,927970
2024-06-03 09:15:00,524.95,540.0,460.95,535.6,1036033
2024-06-10 09:15:00,535.6,569.0,524.0,537.55,587900
2024-06-17 09:15:00,537.65,560.0,526.1,531.0,391306
2024-06-24 09:15:00,532.0,619.4,522.3,581.35,2657706
2024-07-01 09:15:00,582.0,614.4,580.4,598.1,883002
2024-07-08 09:15:00,602.95,687.9,588.55,654.0,2719187
2024-07-15 09:15:00,660.0,677.95,616.8,640.9,1664064
2024-07-22 09:15:00,630.95,691.95,615.7,666.5,1011686
2024-07-29 09:15:00,666.15,669.3,621.05,638.3,424956
2024-08-05 09:15:00,629.95,629.95,536.1,546.55,1991058
2024-08-12 09:15:00,548.5,595.25,541.5,591.3,592031
2024-08-19 09:15:00,593.0,617.05,579.65,592.35,553590
2024-08-26 09:15:00,593.25,602.0,550.0,568.05,749068
2024-09-02 09:15:00,570.0,596.0,553.35,561.0,455445
2024-09-09 09:15:00,555.15,588.1,548.25,575.2,636519
2024-09-16 09:15:00,585.2,620.05,562.0,603.95,927893
2024-09-23 09:15:00,608.7,646.75,579.05,625.4,1406174
