datetime,open,high,low,close,volume
2026-01-29 09:15:00,74.5,74.71,73.11,73.22,1635031
2026-01-29 10:15:00,73.26,73.48,72.9,73.26,490086
2026-01-29 11:15:00,73.26,73.42,72.52,72.55,647532
2026-01-29 12:15:00,72.61,72.86,72.34,72.65,470887
2026-01-29 13:15:00,72.65,72.8,72.46,72.61,483325
2026-01-29 14:15:00,72.61,72.79,72.36,72.49,903898
2026-01-29 15:15:00,72.48,72.56,72.3,72.41,563735
2026-01-30 09:15:00,72.42,74.13,71.35,74.0,1731133
2026-01-30 10:15:00,73.99,73.99,72.61,72.71,846674
2026-01-30 11:15:00,72.64,72.8,72.25,72.5,1114606
2026-01-30 12:15:00,72.45,72.6,71.84,71.88,757264
2026-01-30 13:15:00,71.88,72.38,71.85,72.25,623676
2026-01-30 14:15:00,72.23,72.63,71.99,72.41,875709
2026-01-30 15:15:00,72.41,72.9,72.33,72.65,701734
2026-02-01 09:15:00,73.21,74.19,72.5,74.0,1045836
2026-02-01 10:15:00,74.0,74.08,73.29,73.47,776474
2026-02-01 11:15:00,73.42,73.58,71.82,72.2,989901
2026-02-01 12:15:00,72.2,72.28,70.41,71.61,939891
2026-02-01 13:15:00,71.64,71.83,71.3,71.49,349937
2026-02-01 14:15:00,71.46,71.82,71.15,71.19,369570
2026-02-01 15:15:00,71.24,71.45,71.03,71.45,322433
2026-02-02 09:15:00,71.28,71.5,70.11,70.51,1155484
2026-02-02 10:15:00,70.51,70.59,68.13,68.6,1599084
2026-02-02 11:15:00,68.6,69.18,68.26,68.77,699022
2026-02-02 12:15:00,68.77,69.39,68.41,69.06,575699
2026-02-02 13:15:00,69.1,69.61,68.8,69.29,587363
2026-02-02 14:15:00,69.28,70.73,69.15,70.55,1033129
2026-02-02 15:15:00,70.55,71.0,70.48,70.89,498386
2026-02-03 09:15:00,73.45,73.88,71.53,71.85,1702481
2026-02-03 10:15:00,71.85,72.0,71.5,71.79,521174
2026-02-03 11:15:00,71.79,72.5,71.75,72.02,571441
2026-02-03 12:15:00,72.02,72.2,71.74,71.75,620089
2026-02-03 13:15:00,71.75,72.09,71.41,72.01,465765
2026-02-03 14:15:00,72.01,72.2,71.9,72.08,701128
2026-02-03 15:15:00,72.08,72.3,72.0,72.2,556111
2026-02-04 09:15:00,72.07,73.75,71.42,73.65,1383875
2026-02-04 10:15:00,73.68,73.68,72.81,73.1,653674
2026-02-04 11:15:00,73.1,73.4,72.92,73.2,296470
2026-02-04 12:15:00,73.2,73.33,72.82,73.04,349967
2026-02-04 13:15:00,73.05,73.73,72.97,73.66,626791
2026-02-04 14:15:00,73.7,74.4,73.7,73.91,1714319
2026-02-04 15:15:00,73.91,74.2,73.87,74.05,550892
2026-02-05 09:15:00,73.95,73.96,72.61,72.92,1011637
2026-02-05 10:15:00,72.89,73.08,72.52,72.75,302826
2026-02-05 11:15:00,72.75,72.96,72.57,72.57,336719
2026-02-05 12:15:00,72.57,72.61,72.35,72.52,285161
2026-02-05 13:15:00,72.55,72.71,72.35,72.38,325944
2026-02-05 14:15:00,72.42,72.6,72.11,72.24,551751
2026-02-05 15:15:00,72.25,72.25,72.0,72.1,476724
2026-02-06 09:15:00,72.0,72.54,71.7,71.87,782514
2026-02-06 10:15:00,71.87,72.45,71.75,72.4,415907
2026-02-06 11:15:00,72.4,72.52,72.02,72.1,282612
2026-02-06 12:15:00,72.1,72.17,71.9,72.12,281863
2026-02-06 13:15:00,72.08,72.48,72.08,72.41,226276
2026-02-06 14:15:00,72.41,72.51,72.03,72.28,807012
2026-02-06 15:15:00,72.24,72.4,72.11,72.3,290907
2026-02-09 09:15:00,72.88,73.24,72.41,72.69,910334
2026-02-09 10:15:00,72.69,73.3,72.63,73.16,835392
2026-02-09 11:15:00,73.11,73.36,72.9,72.96,326324
2026-02-09 12:15:00,72.96,73.14,72.85,73.04,240779
2026-02-09 13:15:00,73.02,73.34,72.94,73.2,240559
2026-02-09 14:15:00,73.23,73.43,73.13,73.33,433678
2026-02-09 15:15:00,73.31,73.37,73.25,73.3,291144
2026-02-10 09:15:00,73.7,73.88,73.1,73.12,1025930
2026-02-10 10:15:00,73.12,73.39,73.02,73.06,351036
2026-02-10 11:15:00,73.06,73.18,72.9,73.06,590317
2026-02-10 12:15:00,73.11,73.15,72.92,73.1,430050
2026-02-10 13:15:00,73.1,73.14,72.81,72.87,236623
2026-02-10 14:15:00,72.87,73.06,72.71,72.72,525840
2026-02-10 15:15:00,72.72,72.91,72.7,72.8,430262
2026-02-11 09:15:00,73.0,73.09,71.91,72.12,947727
2026-02-11 10:15:00,72.12,72.77,72.12,72.63,585607
2026-02-11 11:15:00,72.61,72.7,72.12,72.14,417045
2026-02-11 12:15:00,72.14,72.35,72.05,72.3,329380
2026-02-11 13:15:00,72.3,72.55,72.29,72.44,292191
2026-02-11 14:15:00,72.46,78.39,72.41,77.59,17805172
2026-02-11 15:15:00,77.62,78.46,77.25,77.95,6461188
2026-02-12 09:15:00,78.9,81.5,78.45,79.99,29970306
2026-02-12 10:15:00,79.99,80.0,79.3,79.39,5132591
2026-02-12 11:15:00,79.39,79.39,78.91,79.22,3085115
2026-02-12 12:15:00,79.27,79.6,79.01,79.03,1956710
2026-02-12 13:15:00,79.04,79.23,78.3,78.32,2539428
2026-02-12 14:15:00,78.36,79.7,78.35,79.2,7009956
2026-02-12 15:15:00,79.23,79.25,78.05,78.2,3118750
2026-02-13 09:15:00,78.0,78.08,76.1,76.74,2430319
2026-02-13 10:15:00,76.74,77.43,76.53,76.91,914611
2026-02-13 11:15:00,76.91,77.23,76.51,77.17,576142
2026-02-13 12:15:00,77.2,77.3,76.8,77.03,429467
2026-02-13 13:15:00,77.03,77.1,76.7,76.78,349237
2026-02-13 14:15:00,76.8,77.07,76.27,76.54,1064175
2026-02-13 15:15:00,76.54,76.99,76.52,76.8,605371
2026-02-16 09:15:00,76.26,76.65,75.57,76.46,1473281
2026-02-16 10:15:00,76.45,77.16,76.3,76.9,789412
2026-02-16 11:15:00,76.93,77.8,76.93,77.21,975120
2026-02-16 12:15:00,77.2,77.37,76.96,77.08,413485
2026-02-16 13:15:00,77.08,77.49,77.05,77.42,531480
2026-02-16 14:15:00,77.41,78.36,77.26,77.93,1259468
2026-02-16 15:15:00,77.93,77.96,77.56,77.8,481319
2026-02-17 09:15:00,77.81,78.43,77.44,78.17,1238102
2026-02-17 10:15:00,78.17,78.3,77.71,77.75,495715
2026-02-17 11:15:00,77.74,77.92,77.32,77.33,346187
2026-02-17 12:15:00,77.33,77.63,77.3,77.41,255816
2026-02-17 13:15:00,77.41,77.74,77.35,77.36,235463
2026-02-17 14:15:00,77.35,77.77,77.3,77.55,548718
2026-02-17 15:15:00,77.59,77.7,77.35,77.42,385794
2026-02-18 09:15:00,77.87,77.88,76.9,76.92,638083
2026-02-18 10:15:00,76.92,77.18,76.75,76.98,351121
2026-02-18 11:15:00,76.98,77.02,76.57,76.69,373172
2026-02-18 12:15:00,76.69,76.76,76.51,76.61,297549
2026-02-18 13:15:00,76.6,76.83,76.55,76.61,251526
2026-02-18 14:15:00,76.61,76.82,76.61,76.64,456810
2026-02-18 15:15:00,76.64,76.71,76.55,76.67,387504
2026-02-19 09:15:00,76.65,77.28,76.57,76.85,740821
2026-02-19 10:15:00,76.85,76.88,76.51,76.54,295155
