datetime,open,high,low,close,volume
2026-01-30 09:15:00,101.4,102.37,96.05,102.11,1351540
2026-01-30 09:45:00,102.11,102.6,100.84,101.36,408203
2026-01-30 10:15:00,101.36,102.71,100.84,102.52,310706
2026-01-30 10:45:00,102.66,103.24,101.64,103.15,344094
2026-01-30 11:15:00,103.15,107.86,103.15,105.63,1754769
2026-01-30 11:45:00,105.63,105.74,104.03,104.67,405438
2026-01-30 12:15:00,104.73,107.4,104.5,106.95,476554
2026-01-30 12:45:00,106.95,107.54,104.17,105.12,681215
2026-01-30 13:15:00,105.12,105.39,104.5,105.19,188303
2026-01-30 13:45:00,105.19,106.79,104.9,105.74,462786
2026-01-30 14:15:00,105.74,106.2,105.0,106.13,295145
2026-01-30 14:45:00,106.03,106.95,105.58,106.93,630372
2026-01-30 15:15:00,106.85,106.95,105.0,105.3,534418
2026-02-01 09:15:00,107.26,107.27,104.3,105.61,338078
2026-02-01 09:45:00,105.61,106.84,105.57,106.84,103795
2026-02-01 10:15:00,106.88,118.8,106.15,117.75,2647209
2026-02-01 10:45:00,117.73,121.98,117.26,117.26,6205967
2026-02-01 11:15:00,117.29,117.37,111.62,111.75,2449780
2026-02-01 11:45:00,111.74,112.97,110.1,110.85,1776633
2026-02-01 12:15:00,110.85,111.35,105.0,109.2,1579164
2026-02-01 12:45:00,109.2,116.5,109.1,116.16,2702760
2026-02-01 13:15:00,116.3,117.59,115.2,116.45,1800697
2026-02-01 13:45:00,116.55,117.31,115.06,115.8,1824519
2026-02-01 14:15:00,115.65,116.56,115.28,115.61,897863
2026-02-01 14:45:00,115.61,115.76,110.46,115.11,2366973
2026-02-01 15:15:00,115.15,115.28,112.22,113.05,1133745
2026-02-02 09:15:00,113.0,115.02,110.6,111.02,1382550
2026-02-02 09:45:00,111.02,111.88,109.62,110.05,496543
2026-02-02 10:15:00,110.03,110.11,108.3,108.35,413318
2026-02-02 10:45:00,108.31,108.59,106.71,106.93,400319
2026-02-02 11:15:00,106.93,108.38,106.48,107.51,356728
2026-02-02 11:45:00,107.51,108.0,105.67,106.32,256645
2026-02-02 12:15:00,106.32,106.6,104.66,104.79,455833
2026-02-02 12:45:00,104.84,106.3,104.48,105.48,556090
2026-02-02 13:15:00,105.51,105.93,104.6,105.73,232464
2026-02-02 13:45:00,105.85,109.65,105.69,107.11,1202078
2026-02-02 14:15:00,107.06,108.72,107.0,108.45,380451
2026-02-02 14:45:00,108.45,110.95,108.15,110.77,750768
2026-02-02 15:15:00,110.77,111.76,109.79,110.73,642934
2026-02-03 09:15:00,126.0,129.99,120.0,122.55,5992812
2026-02-03 09:45:00,122.83,128.78,122.02,127.25,4047983
2026-02-03 10:15:00,127.49,127.7,125.2,125.29,1509174
2026-02-03 10:45:00,125.29,126.0,124.55,124.97,1185679
2026-02-03 11:15:00,124.97,125.39,123.25,124.98,1295526
2026-02-03 11:45:00,124.98,125.5,124.24,125.0,513546
2026-02-03 12:15:00,125.0,125.0,124.6,124.95,294446
2026-02-03 12:45:00,124.95,125.15,124.7,125.0,631889
2026-02-03 13:15:00,125.0,125.45,124.2,124.95,589660
2026-02-03 13:45:00,124.95,125.2,124.36,124.9,303039
2026-02-03 14:15:00,124.9,125.16,124.23,124.87,651001
2026-02-03 14:45:00,124.87,124.95,124.23,124.75,712490
2026-02-03 15:15:00,124.75,124.8,123.58,124.37,931770
2026-02-04 09:15:00,125.0,128.2,120.0,127.5,2034416
2026-02-04 09:45:00,127.36,128.0,125.71,126.47,805428
2026-02-04 10:15:00,126.47,128.0,126.05,127.43,743347
2026-02-04 10:45:00,127.43,127.55,124.61,124.61,745540
2026-02-04 11:15:00,124.78,127.0,124.73,126.48,895921
2026-02-04 11:45:00,126.48,128.0,125.8,127.31,411453
2026-02-04 12:15:00,127.3,130.0,127.3,128.5,1116402
2026-02-04 12:45:00,128.51,128.6,127.01,127.85,284123
2026-02-04 13:15:00,127.85,129.21,127.5,128.98,244548
2026-02-04 13:45:00,128.84,129.17,127.77,128.45,195829
2026-02-04 14:15:00,128.5,129.65,128.45,129.18,336481
2026-02-04 14:45:00,129.18,129.48,128.58,128.61,495151
2026-02-04 15:15:00,128.51,130.0,128.34,129.33,702668
2026-02-05 09:15:00,130.0,132.0,127.51,128.8,1323715
2026-02-05 09:45:00,128.8,128.89,127.23,128.2,567594
2026-02-05 10:15:00,128.2,130.28,128.08,129.86,434074
2026-02-05 10:45:00,129.75,131.78,129.43,130.65,652925
2026-02-05 11:15:00,130.65,131.56,130.12,131.2,248287
2026-02-05 11:45:00,131.2,136.0,131.0,136.0,1692191
2026-02-05 12:15:00,136.0,139.0,133.75,136.05,4049090
2026-02-05 12:45:00,136.02,136.83,134.2,134.75,1255072
2026-02-05 13:15:00,134.79,137.3,134.05,136.41,797122
2026-02-05 13:45:00,136.4,137.26,134.95,134.95,702530
2026-02-05 14:15:00,135.07,135.16,133.25,134.3,771444
2026-02-05 14:45:00,134.12,134.93,133.55,133.7,592706
2026-02-05 15:15:00,133.69,135.0,133.0,134.2,791205
2026-02-06 09:15:00,133.0,135.61,131.1,133.11,916747
2026-02-06 09:45:00,133.09,133.75,132.03,132.18,260834
2026-02-06 10:15:00,132.18,134.07,131.85,131.97,278700
2026-02-06 10:45:00,131.73,132.32,129.13,131.8,715307
2026-02-06 11:15:00,131.79,131.97,130.7,131.17,121279
2026-02-06 11:45:00,131.15,132.0,131.15,131.6,135763
2026-02-06 12:15:00,131.7,132.22,131.25,131.43,146610
2026-02-06 12:45:00,131.43,132.67,131.35,131.97,102985
2026-02-06 13:15:00,131.97,132.3,131.75,132.14,82775
2026-02-06 13:45:00,132.19,134.05,132.1,133.25,233423
2026-02-06 14:15:00,133.25,133.43,132.01,132.87,241750
2026-02-06 14:45:00,132.87,133.36,132.5,132.55,226686
2026-02-06 15:15:00,132.6,132.79,132.16,132.32,266638
2026-02-09 09:15:00,134.64,143.7,134.64,141.1,3835506
2026-02-09 09:45:00,141.03,141.16,138.63,139.4,949062
2026-02-09 10:15:00,139.4,140.0,138.85,139.93,428626
2026-02-09 10:45:00,139.94,140.55,139.05,139.31,507780
2026-02-09 11:15:00,139.25,140.61,138.01,138.8,500906
2026-02-09 11:45:00,138.8,141.0,138.7,140.13,493127
2026-02-09 12:15:00,140.13,141.76,139.71,141.25,323973
2026-02-09 12:45:00,141.3,141.5,140.5,140.8,389536
2026-02-09 13:15:00,140.8,141.7,140.53,141.2,193801
2026-02-09 13:45:00,141.2,141.5,140.69,141.2,215472
2026-02-09 14:15:00,141.15,142.8,140.5,142.36,742949
2026-02-09 14:45:00,142.5,142.8,141.21,142.58,695307
2026-02-09 15:15:00,142.58,144.0,142.55,142.75,796202
2026-02-10 09:15:00,143.0,154.4,141.05,153.5,4590791
2026-02-10 09:45:00,153.56,158.0,152.6,157.21,5946554
2026-02-10 10:15:00,157.3,163.4,156.8,157.51,9893491
2026-02-10 10:45:00,157.5,160.0,157.15,158.49,4727325
2026-02-10 11:15:00,158.34,158.83,155.4,156.13,4723126
2026-02-10 11:45:00,156.13,158.77,155.72,157.48,3566018
2026-02-10 12:15:00,157.47,158.2,156.0,156.95,2069651
2026-02-10 12:45:00,156.86,158.44,156.8,157.27,1676579
2026-02-10 13:15:00,157.27,158.0,156.51,157.99,1127224
2026-02-10 13:45:00,158.0,159.94,157.27,158.35,2985032
2026-02-10 14:15:00,158.29,159.94,156.87,158.2,3754343
2026-02-10 14:45:00,158.32,158.6,157.17,157.76,2510433
2026-02-10 15:15:00,157.64,158.0,156.0,157.02,2609902
2026-02-11 09:15:00,157.48,157.48,143.62,146.77,8438058
2026-02-11 09:45:00,146.77,149.64,142.25,142.97,8055586
2026-02-11 10:15:00,142.97,143.7,141.74,143.1,4780498
2026-02-11 10:45:00,143.0,143.0,141.74,141.74,625612
2026-02-11 11:15:00,141.74,141.74,141.74,141.74,258228
2026-02-11 11:45:00,141.74,141.74,141.74,141.74,135536
2026-02-11 12:15:00,141.74,141.74,141.74,141.74,114011
2026-02-11 12:45:00,141.74,141.74,141.74,141.74,84177
2026-02-11 13:15:00,141.74,143.58,141.74,141.74,3353244
2026-02-11 13:45:00,141.74,141.81,141.74,141.74,522762
2026-02-11 14:15:00,141.74,143.88,141.74,143.69,1924341
2026-02-11 14:45:00,143.72,147.69,143.66,145.12,2073370
2026-02-11 15:15:00,145.12,145.3,142.0,142.0,1039786
2026-02-12 09:15:00,144.4,146.2,141.0,143.18,3060900
2026-02-12 09:45:00,143.24,144.34,142.41,143.3,781935
2026-02-12 10:15:00,143.3,144.44,142.25,143.14,682595
2026-02-12 10:45:00,143.2,153.2,142.6,150.89,4765541
2026-02-12 11:15:00,150.95,153.0,149.7,150.6,2478359
2026-02-12 11:45:00,150.72,151.78,150.44,151.02,798726
2026-02-12 12:15:00,151.15,151.65,150.05,150.2,433436
2026-02-12 12:45:00,150.29,151.47,150.15,150.88,498875
2026-02-12 13:15:00,151.1,155.95,150.89,155.32,2016748
2026-02-12 13:45:00,155.43,157.42,155.1,156.98,2803552
2026-02-12 14:15:00,156.99,157.0,153.36,153.38,1403289
2026-02-12 14:45:00,153.36,154.7,152.12,154.5,1359872
2026-02-12 15:15:00,154.5,156.4,153.56,154.5,923275
2026-02-13 09:15:00,151.0,154.49,147.2,149.92,2098089
2026-02-13 09:45:00,150.24,151.19,149.0,150.19,815014
2026-02-13 10:15:00,150.06,154.39,149.55,153.58,1145195
2026-02-13 10:45:00,153.53,154.67,151.13,152.48,608603
2026-02-13 11:15:00,152.6,152.78,150.01,150.79,473774
2026-02-13 11:45:00,150.79,150.89,148.5,149.31,520703
2026-02-13 12:15:00,149.31,150.32,149.24,149.99,149281
2026-02-13 12:45:00,149.99,153.63,149.41,153.22,675764
2026-02-13 13:15:00,153.23,159.0,153.22,157.8,2386307
2026-02-13 13:45:00,157.8,157.99,154.5,156.78,1029538
2026-02-13 14:15:00,156.7,158.17,156.18,156.95,874042
2026-02-13 14:45:00,156.95,157.26,155.64,156.21,643811
2026-02-13 15:15:00,156.26,156.36,153.01,153.01,525675
2026-02-16 09:15:00,154.0,156.49,151.92,153.49,965123
2026-02-16 09:45:00,153.5,155.39,152.7,154.68,520305
2026-02-16 10:15:00,154.83,157.0,153.61,156.59,563045
2026-02-16 10:45:00,156.53,158.0,155.62,156.22,450936
2026-02-16 11:15:00,156.22,157.29,155.32,155.32,177887
2026-02-16 11:45:00,155.25,156.98,154.5,155.63,326058
2026-02-16 12:15:00,155.66,157.6,155.32,156.46,207297
2026-02-16 12:45:00,156.6,157.4,156.29,157.09,230684
2026-02-16 13:15:00,157.09,157.19,155.58,156.28,210327
2026-02-16 13:45:00,156.28,156.59,154.6,155.14,201389
2026-02-16 14:15:00,155.14,155.39,154.61,154.85,102317
2026-02-16 14:45:00,154.85,154.88,154.0,154.41,309710
2026-02-16 15:15:00,154.41,154.49,153.03,153.89,393773
2026-02-17 09:15:00,154.0,161.7,153.0,159.74,2709871
2026-02-17 09:45:00,159.48,162.7,159.0,162.7,2421268
2026-02-17 10:15:00,162.7,163.9,161.6,162.08,1522736
2026-02-17 10:45:00,162.08,162.65,159.6,160.2,916834
2026-02-17 11:15:00,160.2,162.7,160.0,162.04,697784
2026-02-17 11:45:00,162.09,163.0,161.11,161.27,510126
2026-02-17 12:15:00,161.2,161.33,159.4,160.5,567034
2026-02-17 12:45:00,160.45,161.6,159.67,160.08,366413
2026-02-17 13:15:00,160.08,161.49,160.0,160.61,337674
2026-02-17 13:45:00,160.61,161.99,160.05,161.25,380953
2026-02-17 14:15:00,161.25,162.0,160.81,161.2,423632
2026-02-17 14:45:00,161.29,164.48,161.2,161.8,1791044
2026-02-17 15:15:00,162.16,163.99,161.84,163.9,875581
2026-02-18 09:15:00,164.1,164.99,161.05,163.87,1514704
2026-02-18 09:45:00,163.87,163.9,161.6,162.59,398133
2026-02-18 10:15:00,162.59,163.0,159.29,159.75,542661
2026-02-18 10:45:00,159.75,160.5,158.06,158.9,602857
2026-02-18 11:15:00,158.92,159.5,158.51,158.65,209845
2026-02-18 11:45:00,158.58,159.0,157.35,158.76,454843
2026-02-18 12:15:00,158.76,161.27,158.76,160.15,447776
2026-02-18 12:45:00,160.15,160.2,158.0,158.95,431969
2026-02-18 13:15:00,158.95,159.06,158.0,158.46,178099
2026-02-18 13:45:00,158.46,158.88,157.45,158.4,222570
2026-02-18 14:15:00,158.41,158.8,158.0,158.17,199872
2026-02-18 14:45:00,158.05,158.76,158.0,158.17,327438
2026-02-18 15:15:00,158.17,159.4,158.0,158.66,669284
2026-02-19 09:15:00,160.0,162.39,159.36,159.52,712603
2026-02-19 09:45:00,159.6,161.9,159.52,160.75,301607
2026-02-19 10:15:00,160.88,161.9,160.1,160.68,167867
2026-02-19 10:45:00,160.68,161.79,160.21,161.13,187207
2026-02-19 11:15:00,161.13,161.13,158.59,158.76,262417
2026-02-19 11:45:00,158.8,159.6,157.7,157.77,188401
2026-02-19 12:15:00,157.78,158.08,154.99,155.6,518122
2026-02-19 12:45:00,155.59,158.85,155.5,158.18,292694
2026-02-19 13:15:00,158.18,158.91,157.86,158.75,150648
2026-02-19 13:45:00,158.75,158.83,157.01,157.62,159953
2026-02-19 14:15:00,157.74,157.9,157.0,157.39,140284
2026-02-19 14:45:00,157.36,158.21,156.5,156.5,317143
2026-02-19 15:15:00,156.8,157.13,155.81,156.63,384637
2026-02-20 09:15:00,156.0,164.0,155.42,161.5,2006895
2026-02-20 09:45:00,161.5,161.8,160.1,160.83,490295
2026-02-20 10:15:00,160.94,161.45,160.6,160.6,284936
2026-02-20 10:45:00,160.6,161.99,160.1,160.1,280258
2026-02-20 11:15:00,160.1,162.0,160.05,161.29,247449
2026-02-20 11:45:00,160.85,161.75,160.3,161.65,150017
2026-02-20 12:15:00,161.64,161.89,160.33,160.54,157204
2026-02-20 12:45:00,160.5,161.34,160.0,160.44,152471
2026-02-20 13:15:00,160.38,160.62,159.64,160.2,195598
2026-02-20 13:45:00,160.2,161.2,159.99,160.85,156286
2026-02-20 14:15:00,160.85,161.1,160.0,160.7,149230
2026-02-20 14:45:00,160.7,160.99,160.12,160.28,369142
2026-02-20 15:15:00,160.26,160.37,158.83,159.5,389462
2026-02-23 09:15:00,163.9,165.65,161.95,164.65,1452554
2026-02-23 09:45:00,164.7,167.9,163.7,167.78,940490
2026-02-23 10:15:00,167.89,170.0,167.78,168.34,2028343
2026-02-23 10:45:00,168.39,169.6,168.2,169.09,668209
2026-02-23 11:15:00,169.1,169.1,164.49,166.25,1324372
2026-02-23 11:45:00,166.29,167.25,164.05,165.9,1245385
2026-02-23 12:15:00,165.89,167.18,164.62,166.4,536824
2026-02-23 12:45:00,166.5,167.39,166.07,166.9,524605
2026-02-23 13:15:00,166.94,168.5,166.7,168.0,844220
2026-02-23 13:45:00,167.95,168.5,166.0,166.66,523982
2026-02-23 14:15:00,166.66,167.0,165.93,166.69,255145
2026-02-23 14:45:00,166.69,168.0,166.55,167.3,443731
2026-02-23 15:15:00,167.26,169.0,166.95,168.65,725529
2026-02-24 09:15:00,166.0,166.77,162.68,163.05,969414
2026-02-24 09:45:00,163.18,164.75,163.06,163.36,327720
2026-02-24 10:15:00,163.36,163.75,163.05,163.57,194873
2026-02-24 10:45:00,163.57,164.95,163.35,164.45,266936
2026-02-24 11:15:00,164.4,171.15,163.98,170.48,1398172
2026-02-24 11:45:00,170.49,170.54,167.02,168.41,1013841
2026-02-24 12:15:00,168.41,168.74,167.14,167.59,306359
2026-02-24 12:45:00,167.59,167.88,166.5,166.81,374185
2026-02-24 13:15:00,166.82,167.17,163.99,165.03,415702
