datetime,open,high,low,close,volume
2026-01-29 09:15:00,876.0,885.55,876.0,876.65,2532
2026-01-29 09:45:00,876.65,877.95,858.75,861.95,13206
2026-01-29 10:15:00,861.95,863.6,857.7,863.15,4183
2026-01-29 10:45:00,863.15,864.1,860.0,861.55,2610
2026-01-29 11:15:00,861.55,863.8,861.1,862.35,863
2026-01-29 11:45:00,862.35,862.6,858.0,858.0,922
2026-01-29 12:15:00,858.0,859.85,857.0,858.0,2421
2026-01-29 12:45:00,858.2,862.05,858.0,860.0,1357
2026-01-29 13:15:00,859.5,861.25,858.05,860.55,1866
2026-01-29 13:45:00,860.55,861.1,859.05,860.25,478
2026-01-29 14:15:00,860.0,863.45,860.0,862.6,877
2026-01-29 14:45:00,861.5,872.7,860.25,870.45,10193
2026-01-29 15:15:00,870.45,885.0,868.0,885.0,15222
2026-01-30 09:15:00,876.05,876.05,860.0,870.0,2879
2026-01-30 09:45:00,870.0,879.65,870.0,879.65,2402
2026-01-30 10:15:00,879.65,879.9,875.65,878.05,1393
2026-01-30 10:45:00,878.05,886.35,878.0,884.0,2327
2026-01-30 11:15:00,883.15,885.45,880.0,883.85,1956
2026-01-30 11:45:00,883.85,891.7,881.15,885.95,2706
2026-01-30 12:15:00,885.95,890.0,885.0,886.85,2609
2026-01-30 12:45:00,886.85,889.55,885.4,887.0,897
2026-01-30 13:15:00,887.0,891.5,885.05,891.5,626
2026-01-30 13:45:00,891.5,893.95,891.1,892.2,283
2026-01-30 14:15:00,892.2,897.1,888.65,891.4,2024
2026-01-30 14:45:00,891.4,893.85,888.45,891.0,3189
2026-01-30 15:15:00,890.95,918.5,889.2,907.0,21459
2026-02-01 09:15:00,889.25,912.25,889.25,910.45,3937
2026-02-01 09:45:00,910.45,913.65,905.0,905.0,1394
2026-02-01 10:15:00,907.05,908.75,905.15,908.6,781
2026-02-01 10:45:00,908.6,915.3,908.6,912.3,1177
2026-02-01 11:15:00,912.3,920.25,905.0,908.95,2050
2026-02-01 11:45:00,908.95,909.9,898.2,903.9,1688
2026-02-01 12:15:00,903.9,905.65,886.6,897.85,4119
2026-02-01 12:45:00,895.05,898.4,890.2,892.2,197
2026-02-01 13:15:00,892.2,895.3,888.3,892.25,940
2026-02-01 13:45:00,891.6,896.9,883.75,888.7,1678
2026-02-01 14:15:00,888.7,892.1,888.05,889.8,209
2026-02-01 14:45:00,888.0,896.75,880.0,896.05,2234
2026-02-01 15:15:00,896.05,899.45,894.0,894.0,2358
2026-02-02 09:15:00,890.0,895.85,870.25,879.7,5503
2026-02-02 09:45:00,879.7,885.45,878.3,880.75,2616
2026-02-02 10:15:00,880.75,880.75,873.35,873.65,1707
2026-02-02 10:45:00,873.65,873.65,865.0,866.5,1963
2026-02-02 11:15:00,866.5,874.6,866.5,874.25,1978
2026-02-02 11:45:00,874.25,874.7,868.35,870.9,893
2026-02-02 12:15:00,870.9,878.05,866.55,873.8,3198
2026-02-02 12:45:00,873.8,876.75,870.65,876.4,1853
2026-02-02 13:15:00,876.4,879.0,873.1,878.7,543
2026-02-02 13:45:00,878.7,879.65,876.5,879.45,701
2026-02-02 14:15:00,879.45,883.55,878.0,882.55,1915
2026-02-02 14:45:00,882.55,898.0,880.95,893.1,9207
2026-02-02 15:15:00,891.1,893.7,890.0,890.0,2363
2026-02-03 09:15:00,945.0,964.9,932.5,933.3,20726
2026-02-03 09:45:00,933.3,950.0,933.0,938.35,12582
2026-02-03 10:15:00,938.35,948.0,936.4,944.05,6177
2026-02-03 10:45:00,944.05,950.0,943.3,948.9,2881
2026-02-03 11:15:00,948.9,950.0,945.35,946.4,1290
2026-02-03 11:45:00,946.4,949.65,942.2,943.65,2808
2026-02-03 12:15:00,943.65,949.95,943.65,946.0,3080
2026-02-03 12:45:00,946.0,946.4,942.8,945.85,955
2026-02-03 13:15:00,945.85,947.0,942.45,943.7,1219
2026-02-03 13:45:00,943.55,947.5,942.3,943.65,1030
2026-02-03 14:15:00,943.65,944.7,936.05,938.5,6619
2026-02-03 14:45:00,938.5,938.5,932.55,934.85,4172
2026-02-03 15:15:00,934.85,937.7,931.0,933.5,4991
2026-02-04 09:15:00,926.0,941.5,925.0,927.5,3313
2026-02-04 09:45:00,927.5,938.45,927.05,937.65,2845
2026-02-04 10:15:00,937.65,943.0,930.0,937.35,2667
2026-02-04 10:45:00,937.35,940.0,926.25,935.05,21657
2026-02-04 11:15:00,934.1,934.1,923.0,924.5,26281
2026-02-04 11:45:00,924.5,925.0,922.75,924.4,396
2026-02-04 12:15:00,924.4,931.9,924.0,929.2,1417
2026-02-04 12:45:00,929.2,929.2,925.4,928.2,209
2026-02-04 13:15:00,927.65,930.8,927.55,930.1,237
2026-02-04 13:45:00,930.1,933.55,930.0,930.75,1132
2026-02-04 14:15:00,931.95,936.3,929.2,934.75,994
2026-02-04 14:45:00,934.75,939.8,934.35,939.8,1048
2026-02-04 15:15:00,939.8,940.25,936.0,936.0,2197
2026-02-05 09:15:00,938.05,939.85,927.05,928.0,1870
2026-02-05 09:45:00,928.0,932.4,927.2,929.05,2033
2026-02-05 10:15:00,929.05,937.0,926.0,931.25,1618
2026-02-05 10:45:00,931.25,931.25,921.9,924.35,1072
2026-02-05 11:15:00,924.35,927.7,924.35,925.8,547
2026-02-05 11:45:00,925.8,927.4,923.25,924.65,626
2026-02-05 12:15:00,924.65,925.3,922.95,925.3,280
2026-02-05 12:45:00,925.3,926.15,924.6,924.75,199
2026-02-05 13:15:00,926.25,926.55,921.0,925.0,1894
2026-02-05 13:45:00,925.0,926.05,922.0,922.0,576
2026-02-05 14:15:00,922.0,922.0,918.9,920.0,826
2026-02-05 14:45:00,920.0,920.95,915.0,918.45,1122
2026-02-05 15:15:00,918.45,919.15,910.0,915.75,3736
2026-02-06 09:15:00,915.95,918.6,905.45,909.3,6170
2026-02-06 09:45:00,909.3,914.4,906.75,906.75,1314
2026-02-06 10:15:00,906.75,912.8,906.75,907.9,941
2026-02-06 10:45:00,907.9,916.0,907.65,915.8,645
2026-02-06 11:15:00,915.8,915.85,912.25,915.55,410
2026-02-06 11:45:00,913.15,915.8,908.0,910.6,530
2026-02-06 12:15:00,910.6,912.05,907.2,909.85,1671
2026-02-06 12:45:00,909.85,911.95,908.25,909.95,1463
2026-02-06 13:15:00,909.95,911.85,908.85,910.2,347
2026-02-06 13:45:00,910.2,915.8,910.2,914.1,971
