datetime,open,high,low,close,volume
2026-02-01 09:15:00,517.75,519.0,511.2,514.95,17864
2026-02-01 09:25:00,514.55,515.0,513.2,513.45,6355
2026-02-01 09:35:00,513.6,515.0,513.1,513.6,4955
2026-02-01 09:45:00,513.6,514.95,513.6,514.7,723
2026-02-01 09:55:00,514.7,515.0,513.85,514.25,317
2026-02-01 10:05:00,514.25,515.95,514.2,515.5,1161
2026-02-01 10:15:00,515.5,516.6,512.15,514.95,3463
2026-02-01 10:25:00,514.95,516.05,514.95,515.35,891
2026-02-01 10:35:00,515.35,517.0,515.35,516.4,1807
2026-02-01 10:45:00,516.4,517.5,516.2,517.0,1733
2026-02-01 10:55:00,517.0,517.0,515.05,515.95,1788
2026-02-01 11:05:00,515.95,516.9,515.6,515.8,1089
2026-02-01 11:15:00,515.8,516.35,515.0,515.65,7101
2026-02-01 11:25:00,515.65,515.75,513.0,513.5,1835
2026-02-01 11:35:00,513.5,513.5,509.0,513.0,11814
2026-02-01 11:45:00,513.0,513.45,505.1,509.35,7783
2026-02-01 11:55:00,509.35,509.35,507.05,507.7,3161
2026-02-01 12:05:00,507.7,510.0,507.35,510.0,5025
2026-02-01 12:15:00,510.0,510.0,506.5,507.05,8991
2026-02-01 12:25:00,507.05,508.3,502.6,504.75,9940
2026-02-01 12:35:00,504.75,507.95,504.75,507.75,4902
2026-02-01 12:45:00,507.75,508.8,507.3,507.85,2192
2026-02-01 12:55:00,507.85,507.95,506.1,506.85,2091
2026-02-01 13:05:00,506.85,507.05,505.0,507.05,2074
2026-02-01 13:15:00,507.05,507.05,505.3,506.3,3105
2026-02-01 13:25:00,506.3,507.7,505.35,507.6,2384
2026-02-01 13:35:00,507.6,507.65,506.95,507.6,1166
2026-02-01 13:45:00,507.6,507.9,506.25,507.0,760
2026-02-01 13:55:00,507.0,507.55,504.05,504.7,7074
2026-02-01 14:05:00,504.7,504.7,503.0,503.9,7884
2026-02-01 14:15:00,503.9,504.0,503.0,503.8,2749
2026-02-01 14:25:00,503.15,504.0,503.0,504.0,1784
2026-02-01 14:35:00,504.0,504.1,503.25,503.65,1833
2026-02-01 14:45:00,503.65,506.4,503.5,506.15,10215
2026-02-01 14:55:00,506.15,510.0,504.9,508.6,13559
2026-02-01 15:05:00,508.6,511.95,507.55,510.8,10910
2026-02-01 15:15:00,510.8,513.0,510.0,512.0,11158
2026-02-01 15:25:00,511.85,512.65,509.0,509.0,8112
2026-02-02 09:15:00,505.6,517.4,505.6,515.25,30555
2026-02-02 09:25:00,515.25,522.65,514.5,521.1,26022
2026-02-02 09:35:00,520.55,524.5,519.75,520.25,31670
2026-02-02 09:45:00,520.25,522.3,519.45,521.5,10771
2026-02-02 09:55:00,521.5,521.5,518.55,519.5,6430
2026-02-02 10:05:00,519.6,519.75,516.85,519.0,13741
2026-02-02 10:15:00,519.0,519.0,517.1,518.1,12739
2026-02-02 10:25:00,518.1,519.15,517.65,517.8,3695
2026-02-02 10:35:00,517.8,518.9,516.25,518.25,8942
2026-02-02 10:45:00,517.95,518.25,516.25,517.0,2812
2026-02-02 10:55:00,517.0,518.95,515.6,517.9,9211
2026-02-02 11:05:00,517.85,519.45,517.25,518.95,8358
2026-02-02 11:15:00,518.95,519.15,511.6,515.0,11873
2026-02-02 11:25:00,515.0,518.2,515.0,516.9,3915
2026-02-02 11:35:00,516.6,518.9,515.85,518.85,3137
2026-02-02 11:45:00,518.85,518.85,517.7,517.9,550
2026-02-02 11:55:00,517.9,518.55,517.15,517.95,752
2026-02-02 12:05:00,518.5,518.5,516.65,517.85,810
2026-02-02 12:15:00,517.85,518.85,516.75,517.45,946
2026-02-02 12:25:00,517.45,518.75,516.25,517.85,5236
2026-02-02 12:35:00,517.85,519.95,517.5,519.45,3295
2026-02-02 12:45:00,519.45,519.85,518.65,519.25,1337
2026-02-02 12:55:00,519.25,520.95,519.25,519.25,8370
2026-02-02 13:05:00,519.25,523.0,519.25,521.15,26266
2026-02-02 13:15:00,521.75,522.0,519.3,519.9,3729
2026-02-02 13:25:00,520.05,521.7,520.05,521.5,4260
2026-02-02 13:35:00,521.5,523.0,521.5,522.95,6496
2026-02-02 13:45:00,522.55,524.0,522.35,523.45,11618
2026-02-02 13:55:00,523.45,527.0,523.05,526.15,25799
2026-02-02 14:05:00,526.15,528.8,525.2,527.75,24772
2026-02-02 14:15:00,527.5,528.0,525.9,527.0,7346
2026-02-02 14:25:00,527.0,527.75,525.95,526.35,3849
2026-02-02 14:35:00,526.5,526.85,522.25,526.05,22146
2026-02-02 14:45:00,526.05,528.0,526.05,526.35,14687
2026-02-02 14:55:00,526.35,527.1,526.3,526.75,3622
2026-02-02 15:05:00,526.3,531.9,526.3,531.9,22972
2026-02-02 15:15:00,532.2,532.85,526.75,527.95,84454
2026-02-02 15:25:00,527.95,528.0,526.85,528.0,24515
2026-02-03 09:15:00,550.0,555.2,539.05,543.4,157144
2026-02-03 09:25:00,543.4,543.4,535.3,538.25,48746
2026-02-03 09:35:00,538.25,538.5,533.1,534.2,15644
2026-02-03 09:45:00,534.25,534.85,533.0,533.65,14025
2026-02-03 09:55:00,533.65,535.0,532.7,533.7,6293
2026-02-03 10:05:00,533.9,534.2,530.95,531.95,10033
2026-02-03 10:15:00,531.95,532.45,531.0,531.0,4035
2026-02-03 10:25:00,531.0,531.45,528.55,528.6,11253
2026-02-03 10:35:00,529.0,529.05,526.05,526.95,20968
2026-02-03 10:45:00,526.9,529.25,526.2,529.15,13147
2026-02-03 10:55:00,529.15,529.95,528.0,529.35,4553
2026-02-03 11:05:00,529.35,530.0,528.0,529.4,5164
2026-02-03 11:15:00,529.4,529.65,525.25,525.45,12526
2026-02-03 11:25:00,525.35,526.25,524.05,525.0,15185
2026-02-03 11:35:00,525.1,525.3,524.1,524.1,6238
2026-02-03 11:45:00,523.4,524.2,523.05,523.25,7221
2026-02-03 11:55:00,523.25,524.5,523.1,523.55,4901
2026-02-03 12:05:00,523.55,523.85,520.2,520.35,11393
2026-02-03 12:15:00,520.5,523.15,520.3,521.8,17058
2026-02-03 12:25:00,521.8,524.55,521.8,524.0,17174
2026-02-03 12:35:00,524.0,527.5,523.65,526.8,21246
2026-02-03 12:45:00,526.85,527.65,525.35,525.35,22876
2026-02-03 12:55:00,525.35,527.65,525.15,526.8,14868
2026-02-03 13:05:00,526.8,529.0,525.7,528.3,18809
2026-02-03 13:15:00,528.25,529.45,527.85,528.25,16100
2026-02-03 13:25:00,528.85,535.2,528.85,534.25,83541
2026-02-03 13:35:00,533.25,535.35,530.9,531.6,38156
2026-02-03 13:45:00,531.3,534.3,531.25,532.35,35885
2026-02-03 13:55:00,532.25,533.95,531.15,533.05,41093
2026-02-03 14:05:00,532.95,532.95,531.05,531.2,34630
2026-02-03 14:15:00,531.2,531.8,530.15,531.35,33665
2026-02-03 14:25:00,531.35,533.0,531.3,532.7,35111
2026-02-03 14:35:00,532.95,534.15,531.75,532.25,43364
2026-02-03 14:45:00,532.2,538.75,531.95,534.8,69971
