datetime,open,high,low,close,volume
2025-06-02 09:15:00,406.0,439.9,405.0,432.45,18642007
2025-06-09 09:15:00,430.0,435.5,393.45,402.35,2743417
2025-06-16 09:15:00,402.0,411.3,382.5,393.5,2021506
2025-06-23 09:15:00,387.0,411.65,384.0,410.15,1187310
2025-06-30 09:15:00,406.0,412.5,396.55,401.6,2116334
2025-07-07 09:15:00,398.0,443.3,398.0,434.85,4677492
2025-07-14 09:15:00,436.95,463.0,430.0,461.0,4975024
2025-07-21 09:15:00,460.0,474.4,434.45,445.05,6793795
2025-07-28 09:15:00,445.0,448.6,410.1,413.45,1003681
2025-08-04 09:15:00,417.9,442.3,413.1,434.65,1374564
2025-08-11 09:15:00,430.65,441.0,425.7,439.2,724405
2025-08-18 09:15:00,438.05,449.5,418.0,420.65,1205166
2025-08-25 09:15:00,421.0,423.6,392.6,399.45,1199093
2025-09-01 09:15:00,399.0,422.35,392.0,410.8,1172313
2025-09-08 09:15:00,411.95,432.5,399.0,419.6,1025461
2025-09-15 09:15:00,418.95,434.75,409.0,419.75,5046852
2025-09-22 09:15:00,421.45,445.85,412.45,419.45,2619197
2025-09-29 09:15:00,424.8,434.6,403.65,431.55,2571879
2025-10-06 09:15:00,435.0,457.0,417.15,452.85,2528697
2025-10-13 09:15:00,449.9,473.95,427.45,441.65,8730226
2025-10-20 09:15:00,441.65,446.55,427.5,428.7,979258
2025-10-27 09:15:00,429.45,445.0,419.85,433.7,2880570
2025-11-03 09:15:00,431.3,443.7,413.55,436.6,1473754
2025-11-10 09:15:00,436.25,442.0,425.15,428.4,1859084
2025-11-17 09:15:00,435.0,448.0,415.6,417.0,1308124
2025-11-24 09:15:00,418.85,421.0,394.75,411.75,3617084
2025-12-01 09:15:00,412.05,419.5,395.2,397.75,504184
2025-12-08 09:15:00,398.9,404.35,384.5,397.65,841188
2025-12-15 09:15:00,394.6,420.4,393.25,411.8,1073576
2025-12-22 09:15:00,412.0,442.3,406.6,434.7,917392
2025-12-29 09:15:00,436.35,451.0,415.8,445.15,1051674
2026-01-05 09:15:00,445.15,452.95,415.25,428.9,1592233
2026-01-12 09:15:00,421.0,471.0,416.2,441.1,3594170
2026-01-19 09:15:00,444.55,445.85,401.5,408.05,2119302
2026-01-26 09:15:00,407.0,433.55,396.0,425.45,4568261
2026-02-02 09:15:00,430.95,450.55,415.0,433.7,1076789
2026-02-09 09:15:00,434.05,453.75,428.8,445.25,1226591
2026-02-16 09:15:00,445.25,447.9,430.0,435.45,398038
2026-02-23 09:15:00,434.0,465.6,430.0,453.55,581904
2026-03-02 09:15:00,433.1,453.55,425.0,433.85,890594
2026-03-09 09:15:00,426.45,442.0,414.0,432.2,1214808
2026-03-16 09:15:00,427.0,432.05,395.1,399.3,1458741
2026-03-23 09:15:00,390.0,418.9,385.1,406.2,1669539
2026-03-30 09:15:00,400.0,419.75,390.0,415.9,392300
2026-04-06 09:15:00,406.8,441.8,406.8,429.6,1652499
2026-04-13 09:15:00,420.0,438.0,420.0,426.9,522586
2026-04-20 09:15:00,423.0,442.75,421.3,429.05,725395
2026-04-27 09:15:00,429.95,439.9,405.0,428.25,3094611
2026-05-04 09:15:00,428.25,433.45,415.0,423.45,2363636
2026-05-11 09:15:00,421.15,422.0,406.05,411.2,982686
2026-05-12 09:15:00,411.2,411.2,411.2,411.2,1503764
2026-05-14 09:15:00,409.95,409.95,409.95,409.95,135077
2026-05-18 09:15:00,412.0,417.6,406.6,413.35,176179
2026-05-20 09:15:00,406.9,406.9,406.9,406.9,162150
