datetime,open,high,low,close,volume
2023-05-08 09:15:00,689.41,695.45,645.57,650.56,23088645
2023-05-15 09:15:00,651.71,655.59,630.27,640.77,12342599
2023-05-22 09:15:00,640.77,660.87,634.97,660.06,10040636
2023-05-29 09:15:00,661.88,665.71,648.93,655.5,8657927
2023-06-05 09:15:00,660.92,670.41,650.17,652.53,6443247
2023-06-12 09:15:00,652.53,667.44,646.72,662.69,12939599
2023-06-19 09:15:00,666.63,667.63,638.38,639.67,7953843
2023-06-26 09:15:00,645.23,660.2,640.29,659.53,8772210
2023-07-03 09:15:00,660.34,660.87,634.83,635.98,9794032
2023-07-10 09:15:00,639.34,639.34,604.32,613.48,14310161
2023-07-17 09:15:00,616.79,620.63,607.92,608.74,13085304
2023-07-24 09:15:00,611.81,611.81,596.89,599.67,9303442
2023-07-31 09:15:00,599.53,605.28,566.05,578.76,23225815
2023-08-07 09:15:00,579.86,593.68,573.68,575.26,12383657
2023-08-14 09:15:00,575.55,576.03,553.44,554.87,7483911
2023-08-21 09:15:00,558.28,569.65,556.36,559.43,6817928
2023-08-28 09:15:00,559.43,582.74,558.28,578.42,19992088
2023-09-04 09:15:00,580.34,590.8,574.83,582.07,15150894
2023-09-11 09:15:00,585.14,609.6,577.8,608.78,20152757
2023-09-18 09:15:00,608.78,613.0,587.63,589.74,10388099
2023-09-25 09:15:00,589.74,599.34,577.99,591.13,9966002
2023-10-02 09:15:00,590.85,590.85,573.44,587.2,7188869
2023-10-09 09:15:00,581.83,603.94,573.92,597.66,9611095
2023-10-16 09:15:00,596.65,609.02,577.46,578.86,7308364
2023-10-23 09:15:00,578.42,583.22,533.63,535.88,11067153
2023-10-30 09:15:00,537.18,540.25,506.62,527.87,18943550
2023-11-06 09:15:00,529.55,535.11,522.79,533.1,7113896
2023-11-13 09:15:00,532.38,542.64,527.68,538.85,6825293
2023-11-20 09:15:00,538.85,548.4,532.19,536.17,6900982
2023-11-27 09:15:00,536.17,552.48,533.48,551.71,8448158
2023-12-04 09:15:00,554.92,572.0,553.34,561.35,11832128
2023-12-11 09:15:00,561.16,587.82,559.77,585.95,15238179
2023-12-18 09:15:00,588.78,589.69,542.64,557.94,14528272
2023-12-25 09:15:00,563.94,570.75,557.42,563.32,9682270
2024-01-01 09:15:00,564.03,579.19,553.0,557.56,14107837
2024-01-08 09:15:00,557.32,559.05,529.41,542.07,13623814
2024-01-15 09:15:00,544.85,548.35,517.18,529.93,14175699
2024-01-22 09:15:00,535.69,535.69,511.8,515.4,5716172
2024-01-29 09:15:00,520.1,525.19,505.04,511.9,14899815
2024-02-05 09:15:00,502.64,503.6,434.82,439.29,42133911
2024-02-12 09:15:00,442.98,474.06,433.72,470.89,21357473
2024-02-19 09:15:00,473.58,484.85,464.32,468.78,11834307
2024-02-26 09:15:00,468.69,473.0,447.77,456.65,14832212
2024-03-04 09:15:00,456.65,471.04,445.57,462.64,15958994
2024-03-11 09:15:00,465.33,468.11,429.55,455.78,17258541
2024-03-18 09:15:00,455.64,455.64,430.94,450.84,17906573
2024-03-25 09:15:00,448.93,451.9,433.67,437.41,36819220
2024-04-01 09:15:00,441.25,480.2,439.76,474.2,28515222
2024-04-08 09:15:00,480.15,490.27,463.36,481.59,19228945
2024-04-15 09:15:00,474.83,479.19,447.53,467.68,13443268
2024-04-22 09:15:00,471.95,492.95,467.73,487.73,13473132
2024-04-29 09:15:00,490.13,492.76,470.08,473.48,10180607
2024-05-06 09:15:00,475.07,484.42,445.42,481.44,18812105
2024-05-13 09:15:00,481.97,517.99,481.2,490.56,48737275
2024-05-20 09:15:00,487.78,500.77,486.53,494.78,10862905
2024-05-27 09:15:00,497.27,508.06,484.42,488.06,21167464
2024-06-03 09:15:00,495.93,523.27,458.52,517.75,21443199
2024-06-10 09:15:00,520.53,538.95,510.41,529.21,18287663
2024-06-17 09:15:00,531.42,554.15,527.68,542.88,20216084
2024-06-24 09:15:00,539.09,555.11,528.64,547.58,12540455
2024-07-01 09:15:00,546.82,556.65,539.0,549.36,8970363
2024-07-08 09:15:00,549.36,551.37,525.04,540.68,13121324
2024-07-15 09:15:00,542.93,548.69,519.19,520.49,5866955
2024-07-22 09:15:00,517.99,535.45,501.01,521.97,9573128
2024-07-29 09:15:00,525.71,553.48,509.79,515.69,16493698
2024-08-05 09:15:00,498.81,539.09,498.81,532.0,18694551
2024-08-12 09:15:00,529.98,545.76,517.61,530.8,7252039
2024-08-19 09:15:00,530.46,563.94,529.17,550.32,13569713
2024-08-26 09:15:00,555.31,579.38,547.73,573.96,13914407
2024-09-02 09:15:00,577.46,598.28,568.83,584.95,15280373
2024-09-09 09:15:00,581.3,594.73,576.6,586.48,7998995
2024-09-16 09:15:00,589.84,590.7,558.81,563.17,12009595
2024-09-23 09:15:00,565.38,591.37,560.25,585.76,10018099
2024-09-30 09:15:00,585.76,599.53,572.28,574.87,7642001
2024-10-07 09:15:00,577.85,580.82,549.98,559.29,8880655
2024-10-14 09:15:00,561.16,562.98,520.49,532.62,6909317
2024-10-21 09:15:00,534.35,540.39,496.36,500.68,9018338
2024-10-28 09:15:00,498.85,539.09,498.85,535.64,5007843
2024-11-04 09:15:00,532.48,552.0,517.8,534.87,5087417
2024-11-11 09:15:00,530.61,530.65,483.75,504.37,25426664
2024-11-18 09:15:00,506.96,546.72,493.67,543.32,18591149
2024-11-25 09:15:00,546.77,558.75,538.25,545.0,13197775
2024-12-02 09:15:00,546.9,572.7,540.55,562.65,10957044
2024-12-09 09:15:00,559.8,566.7,535.7,550.25,15030215
2024-12-16 09:15:00,549.8,552.0,501.5,504.5,8095363
2024-12-23 09:15:00,505.55,519.65,495.85,502.05,5225428
2024-12-30 09:15:00,502.0,533.25,493.0,529.55,8266631
2025-01-06 09:15:00,525.0,555.75,516.1,548.85,13388052
2025-01-13 09:15:00,546.25,557.65,530.95,551.7,6778710
2025-01-20 09:15:00,551.7,560.45,531.6,552.0,6781571
2025-01-27 09:15:00,548.95,617.8,536.1,604.0,24126539
2025-02-03 09:15:00,610.0,649.45,607.55,641.35,25853238
2025-02-10 09:15:00,641.25,643.0,594.45,618.35,13699786
2025-02-17 09:15:00,618.2,658.25,609.9,646.35,9162267
2025-02-24 09:15:00,643.75,657.3,619.5,632.95,10268102
2025-03-03 09:15:00,628.1,642.7,607.0,629.85,10889558
2025-03-10 09:15:00,631.45,637.0,599.95,601.45,6283814
2025-03-17 09:15:00,601.45,671.3,601.45,658.85,12546509
2025-03-24 09:15:00,667.95,668.8,624.0,636.25,12255980
2025-03-31 09:15:00,621.3,656.1,621.3,637.7,8548909
2025-04-07 09:15:00,595.0,645.55,588.85,638.85,7627077
2025-04-14 09:15:00,649.0,665.4,638.85,656.2,6065800
2025-04-21 09:15:00,656.25,692.2,653.7,661.85,15903437
2025-04-28 09:15:00,662.0,692.8,661.35,680.8,7313941
2025-05-05 09:15:00,687.0,691.45,638.0,674.75,10299276
2025-05-12 09:15:00,686.0,699.45,634.0,644.2,25818464
2025-05-19 09:15:00,645.1,654.8,623.6,630.5,9768016
2025-05-26 09:15:00,632.0,638.6,618.0,627.9,9371638
2025-06-02 09:15:00,627.9,649.8,620.75,642.85,6973954
2025-06-09 09:15:00,650.0,651.55,623.05,632.5,6063101
2025-06-16 09:15:00,631.95,653.35,626.35,633.5,10014753
2025-06-23 09:15:00,631.0,654.3,628.8,644.9,10712470
2025-06-30 09:15:00,646.5,696.95,643.7,681.3,12452218
2025-07-07 09:15:00,681.05,689.5,645.7,652.8,6763832
2025-07-14 09:15:00,654.0,697.9,646.75,686.85,12600452
2025-07-21 09:15:00,688.0,730.95,682.45,722.2,18706543
2025-07-28 09:15:00,725.0,735.85,658.0,665.15,19301874
2025-08-04 09:15:00,673.5,723.8,672.05,688.75,20498369
2025-08-11 09:15:00,688.95,696.6,678.15,683.75,4708341
2025-08-18 09:15:00,690.15,730.3,686.45,716.45,10142816
2025-08-25 09:15:00,717.2,741.0,702.6,715.75,14385214
2025-09-01 09:15:00,715.7,732.0,684.2,688.85,10116057
2025-09-08 09:15:00,691.0,715.95,688.0,693.1,9921892
2025-09-15 09:15:00,695.5,713.4,686.35,691.1,18010933
2025-09-22 09:15:00,693.7,693.7,645.0,648.0,10018335
2025-09-29 09:15:00,648.0,680.0,643.25,674.0,9347461
2025-10-06 09:15:00,676.0,686.65,666.9,681.3,5563027
2025-10-13 09:15:00,667.0,686.0,666.0,674.15,6378880
2025-10-20 09:15:00,677.1,689.8,669.85,672.05,3556594
2025-10-27 09:15:00,673.0,729.4,672.7,720.1,16755364
2025-11-03 09:15:00,720.1,753.8,713.4,747.95,19600437
2025-11-10 09:15:00,750.05,767.8,742.4,758.6,12287134
2025-11-17 09:15:00,758.6,776.0,747.0,750.85,12641030
2025-11-24 09:15:00,752.0,769.2,731.0,758.65,11439452
2025-12-01 09:15:00,761.0,762.9,737.0,759.1,13947219
2025-12-08 09:15:00,759.9,761.3,729.6,748.35,11242097
2025-12-15 09:15:00,751.0,769.55,736.5,751.55,11527701
2025-12-22 09:15:00,753.05,786.3,752.1,774.05,11764427
2025-12-29 09:15:00,774.4,812.2,767.5,804.65,19940439
2026-01-05 09:15:00,810.0,811.45,768.3,771.7,12003057
2026-01-12 09:15:00,785.0,796.95,761.4,790.15,10620448
2026-01-19 09:15:00,790.15,800.05,671.5,702.55,23636213
2026-01-26 09:15:00,702.6,725.8,644.6,664.95,13730412
2026-02-02 09:15:00,669.25,764.35,665.05,741.3,22021949
2026-02-09 09:15:00,747.8,757.2,720.95,724.3,7059305
2026-02-16 09:15:00,719.15,771.9,716.4,752.35,8042102
2026-02-23 09:15:00,714.75,714.75,620.5,637.4,44558445
2026-03-02 09:15:00,622.25,638.0,601.0,628.35,11588286
2026-03-09 09:15:00,610.0,636.3,603.0,609.4,10855891
2026-03-16 09:15:00,610.0,635.3,601.8,625.55,12952242
2026-03-23 09:15:00,615.0,632.85,593.25,595.85,10002072
2026-03-30 09:15:00,591.75,601.85,565.15,593.0,8902969
2026-04-06 09:15:00,593.3,653.75,585.2,644.85,10918531
2026-04-13 09:15:00,629.5,671.7,615.0,664.7,6972728
2026-04-20 09:15:00,664.7,670.65,629.95,631.4,8420860
2026-04-27 09:15:00,634.9,651.9,629.8,641.85,7046067
2026-05-04 09:15:00,645.9,664.0,638.85,646.0,9275017
2026-05-11 09:15:00,644.0,682.6,622.25,626.15,21133888
2026-05-12 09:15:00,626.15,626.15,626.15,626.15,10743988
2026-05-14 09:15:00,638.4,638.4,638.4,638.4,1486427
2026-05-18 09:15:00,627.5,646.25,618.3,633.3,5545703
2026-05-20 09:15:00,634.35,634.35,634.35,634.35,23248095
