datetime,open,high,low,close,volume
2023-05-11 09:15:00,78.45,79.45,78.0,78.7,643237
2023-05-12 09:15:00,79.2,79.35,75.5,76.05,1389672
2023-05-15 09:15:00,76.65,76.7,74.0,75.3,892646
2023-05-16 09:15:00,75.8,82.65,75.8,79.55,13213378
2023-05-17 09:15:00,79.55,80.7,77.8,79.3,1261515
2023-05-18 09:15:00,79.5,81.1,78.35,80.3,1146685
2023-05-19 09:15:00,79.7,81.45,77.6,78.3,1087035
2023-05-22 09:15:00,78.5,79.5,77.8,79.05,738976
2023-05-23 09:15:00,78.9,79.4,76.8,77.3,644142
2023-05-24 09:15:00,70.6,76.5,70.6,73.55,4450084
2023-05-25 09:15:00,73.8,75.0,73.25,73.6,908157
2023-05-26 09:15:00,74.0,75.9,72.85,74.1,1602722
2023-05-29 09:15:00,74.65,74.8,73.25,73.45,692826
2023-05-30 09:15:00,73.4,74.1,72.65,73.1,596350
2023-05-31 09:15:00,73.0,73.45,71.8,72.05,590204
2023-06-01 09:15:00,72.25,74.1,72.25,72.75,743301
2023-06-02 09:15:00,73.15,75.2,73.05,73.7,852598
2023-06-05 09:15:00,74.15,74.7,73.5,73.9,534486
2023-06-06 09:15:00,74.0,74.7,73.4,73.7,448054
2023-06-07 09:15:00,74.0,74.9,73.25,74.05,826205
2023-06-08 09:15:00,74.25,76.9,74.1,74.95,1344921
2023-06-09 09:15:00,74.95,77.7,73.65,76.2,1166014
2023-06-12 09:15:00,76.8,78.0,76.1,77.5,1019562
2023-06-13 09:15:00,77.9,78.4,75.0,75.5,939357
2023-06-14 09:15:00,75.5,76.65,75.45,76.05,496024
2023-06-15 09:15:00,76.0,76.35,74.6,74.9,510454
2023-06-16 09:15:00,75.25,77.0,75.15,75.9,642146
2023-06-19 09:15:00,75.9,79.5,75.45,78.8,2092578
2023-06-20 09:15:00,79.75,83.0,79.55,81.3,6381603
2023-06-21 09:15:00,81.65,81.95,79.75,80.55,1258247
2023-06-22 09:15:00,80.95,90.4,80.65,89.3,27633476
2023-06-23 09:15:00,89.3,89.3,86.45,88.35,6294822
2023-06-26 09:15:00,88.0,92.7,87.05,89.4,8152835
2023-06-27 09:15:00,90.1,95.5,89.55,94.8,9442689
2023-06-28 09:15:00,95.25,95.65,91.5,92.15,4108736
2023-06-30 09:15:00,92.9,94.95,91.5,94.35,3356627
2023-07-03 09:15:00,94.7,95.5,90.5,91.6,2416696
2023-07-04 09:15:00,92.25,92.3,89.0,89.3,1716643
2023-07-05 09:15:00,89.2,92.9,89.2,90.85,2759766
2023-07-06 09:15:00,91.0,92.75,90.5,91.3,1417433
2023-07-07 09:15:00,91.45,91.8,89.0,89.55,1012811
2023-07-10 09:15:00,89.95,90.8,87.1,87.45,933468
2023-07-11 09:15:00,87.7,89.85,87.2,88.15,1096798
2023-07-12 09:15:00,88.55,89.65,87.25,88.7,987283
2023-07-13 09:15:00,89.2,91.8,88.3,88.85,2127397
2023-07-14 09:15:00,89.3,89.3,87.65,88.3,719669
2023-07-17 09:15:00,88.55,90.0,88.05,88.7,901589
2023-07-18 09:15:00,88.7,94.25,88.65,89.75,4283966
2023-07-19 09:15:00,90.3,90.9,88.75,89.75,1018325
2023-07-20 09:15:00,89.8,90.65,88.65,89.0,1108591
2023-07-21 09:15:00,88.8,89.1,87.05,87.3,1090913
2023-07-24 09:15:00,87.7,89.2,86.45,87.55,1169958
2023-07-25 09:15:00,87.9,89.85,87.05,89.7,1772780
2023-07-26 09:15:00,90.05,90.25,87.75,88.3,584646
2023-07-27 09:15:00,88.9,91.0,88.45,89.65,1635031
2023-07-28 09:15:00,89.5,90.05,88.1,88.8,683932
2023-07-31 09:15:00,89.0,94.95,88.7,94.4,6247320
2023-08-01 09:15:00,95.0,96.85,93.1,93.3,2394469
2023-08-02 09:15:00,93.3,94.5,89.7,90.35,1755927
2023-08-03 09:15:00,90.5,92.45,90.25,91.55,1308299
2023-08-04 09:15:00,91.95,93.5,91.2,92.75,1305623
2023-08-07 09:15:00,92.95,99.8,92.0,99.25,5071291
2023-08-08 09:15:00,100.9,103.8,100.05,102.0,8929747
2023-08-09 09:15:00,102.5,102.5,99.25,100.55,2093054
2023-08-10 09:15:00,100.8,103.9,100.3,101.05,3169005
2023-08-11 09:15:00,96.0,98.25,90.65,91.65,6539058
2023-08-14 09:15:00,91.3,91.8,87.6,88.95,2070243
2023-08-16 09:15:00,89.0,90.9,88.85,90.45,1161086
2023-08-17 09:15:00,90.5,91.5,89.0,89.25,777891
2023-08-18 09:15:00,89.25,90.1,87.45,87.8,872372
2023-08-21 09:15:00,87.25,89.6,87.25,88.65,936376
2023-08-22 09:15:00,89.0,89.75,88.3,88.65,644079
2023-08-23 09:15:00,89.15,92.65,89.05,91.8,1722963
2023-08-24 09:15:00,92.6,93.75,90.9,91.2,1015596
2023-08-25 09:15:00,90.9,91.85,89.1,89.7,732703
2023-08-28 09:15:00,89.75,92.3,89.5,91.9,814817
2023-08-29 09:15:00,92.0,93.7,91.2,92.3,1066246
2023-08-30 09:15:00,92.5,94.7,92.5,93.4,1263728
2023-08-31 09:15:00,94.3,96.4,92.25,93.0,1352558
2023-09-01 09:15:00,93.6,93.9,92.2,92.55,762367
2023-09-04 09:15:00,93.3,93.85,91.1,91.7,985954
2023-09-05 09:15:00,91.75,92.45,90.05,90.3,1052199
2023-09-06 09:15:00,90.6,91.8,89.5,90.4,923178
2023-09-07 09:15:00,90.55,93.5,90.55,92.25,1851115
2023-09-08 09:15:00,92.9,93.9,91.6,91.85,996669
2023-09-11 09:15:00,92.0,92.5,91.3,91.75,802576
2023-09-12 09:15:00,92.35,92.35,87.2,87.6,1612478
2023-09-13 09:15:00,87.65,89.8,86.4,88.4,953352
2023-09-14 09:15:00,89.0,89.65,87.3,87.8,996435
2023-09-15 09:15:00,90.7,96.15,90.1,91.8,12416770
2023-09-18 09:15:00,92.2,92.35,90.05,90.35,1233346
2023-09-20 09:15:00,90.1,90.65,88.55,89.2,867435
2023-09-21 09:15:00,89.1,89.8,88.15,88.75,598864
2023-09-22 09:15:00,88.65,89.4,87.0,88.35,652951
2023-09-25 09:15:00,89.0,93.5,88.4,92.65,4812647
2023-09-26 09:15:00,93.2,93.45,90.0,90.35,877998
2023-09-27 09:15:00,90.35,93.7,90.0,93.4,1776684
2023-09-28 09:15:00,93.0,94.8,92.55,93.6,1423485
2023-09-29 09:15:00,93.95,95.2,91.8,92.65,1588170
2023-10-03 09:15:00,92.15,93.5,91.55,92.25,789553
2023-10-04 09:15:00,91.85,93.35,90.65,91.55,1155941
2023-10-05 09:15:00,91.95,93.3,91.55,93.0,761529
2023-10-06 09:15:00,93.0,94.85,92.3,94.4,1149189
2023-10-09 09:15:00,93.6,93.95,90.9,93.05,1250640
2023-10-10 09:15:00,93.45,95.45,92.7,94.15,1151678
2023-10-11 09:15:00,95.0,96.3,94.05,95.15,1286380
2023-10-12 09:15:00,95.6,96.1,93.25,93.85,600864
2023-10-13 09:15:00,93.4,106.0,93.4,103.2,44460454
2023-10-16 09:15:00,103.8,112.25,103.65,109.8,28680449
2023-10-17 09:15:00,111.0,113.8,109.1,110.1,10338436
2023-10-18 09:15:00,110.75,111.0,105.7,107.7,5030130
2023-10-19 09:15:00,106.55,109.8,106.4,108.2,4024630
2023-10-20 09:15:00,108.7,109.5,103.5,104.55,3172787
2023-10-23 09:15:00,103.0,104.95,90.7,94.3,8845740
2023-10-25 09:15:00,96.25,102.2,96.0,99.6,16829531
2023-10-26 09:15:00,99.35,100.4,94.5,99.55,4719809
2023-10-27 09:15:00,100.05,103.3,99.95,101.35,2739676
2023-10-30 09:15:00,101.7,101.9,98.2,99.05,2445884
2023-10-31 09:15:00,99.3,99.7,97.65,98.75,1593084
2023-11-01 09:15:00,99.0,100.3,96.7,98.05,1638866
2023-11-02 09:15:00,98.55,99.35,97.1,97.7,1114094
2023-11-03 09:15:00,97.9,101.15,97.9,99.95,1509385
2023-11-06 09:15:00,99.9,103.0,99.05,100.8,1414274
2023-11-07 09:15:00,101.05,104.3,100.8,102.2,1705314
2023-11-08 09:15:00,102.25,103.0,99.5,99.8,917093
2023-11-09 09:15:00,98.6,100.05,97.8,98.2,722881
2023-11-10 09:15:00,98.1,100.35,97.25,97.7,974561
2023-11-13 09:15:00,99.4,100.9,98.0,99.15,1127251
2023-11-15 09:15:00,99.85,100.25,97.0,97.8,1071516
2023-11-16 09:15:00,97.95,99.6,97.7,98.0,804196
2023-11-17 09:15:00,98.2,99.0,97.2,98.05,667584
2023-11-20 09:15:00,98.05,104.1,98.05,103.6,6055542
2023-11-21 09:15:00,104.95,109.9,104.8,108.4,10229638
2023-11-22 09:15:00,107.65,110.9,106.1,108.85,3884804
2023-11-23 09:15:00,108.65,119.3,107.5,118.2,19369433
2023-11-24 09:15:00,118.0,123.9,115.2,123.0,12978532
2023-11-28 09:15:00,123.0,127.9,121.05,124.85,6734639
2023-11-29 09:15:00,124.5,126.95,123.0,123.45,2146444
2023-11-30 09:15:00,123.5,125.75,118.5,123.8,2259435
2023-12-01 09:15:00,123.8,125.95,122.4,125.2,1465295
2023-12-04 09:15:00,126.5,128.7,123.7,126.5,1524621
2023-12-05 09:15:00,126.0,126.0,119.75,121.05,1062391
2023-12-06 09:15:00,121.45,122.3,116.7,117.25,1043459
2023-12-07 09:15:00,117.95,120.7,117.25,118.5,752091
2023-12-08 09:15:00,119.0,123.1,117.05,118.1,1575010
2023-12-11 09:15:00,118.45,121.0,117.8,119.95,674146
2023-12-12 09:15:00,120.0,123.35,118.85,120.3,1164836
2023-12-13 09:15:00,120.5,121.2,117.75,119.1,750566
2023-12-14 09:15:00,119.0,121.3,117.0,117.8,1044076
2023-12-15 09:15:00,117.85,119.9,117.05,117.5,778781
2023-12-18 09:15:00,117.5,122.3,117.0,117.75,1568307
2023-12-19 09:15:00,117.75,119.7,116.1,117.25,772559
2023-12-20 09:15:00,118.4,119.9,108.1,110.7,2135180
2023-12-21 09:15:00,110.7,115.9,108.55,114.85,1411056
2023-12-22 09:15:00,115.6,120.05,115.2,118.2,1590714
2023-12-26 09:15:00,118.0,119.8,116.1,118.95,943384
2023-12-27 09:15:00,119.0,122.2,116.7,117.4,1495137
2023-12-28 09:15:00,118.6,119.35,115.5,116.25,760754
2023-12-29 09:15:00,116.0,117.2,112.8,113.75,1497942
2024-01-01 09:15:00,114.3,117.2,113.9,115.15,1063720
2024-01-02 09:15:00,115.55,124.45,115.4,121.9,9167723
2024-01-03 09:15:00,122.0,135.0,121.8,132.0,16982868
2024-01-04 09:15:00,132.1,135.8,129.5,130.4,5501453
2024-01-05 09:15:00,131.4,131.4,125.5,126.8,2330019
2024-01-08 09:15:00,128.0,137.25,127.4,133.25,8954603
2024-01-09 09:15:00,135.55,142.9,134.7,141.25,10437250
2024-01-10 09:15:00,142.0,142.1,136.1,137.5,2394223
2024-01-11 09:15:00,138.9,147.0,138.15,139.65,7520588
2024-01-12 09:15:00,141.0,141.0,137.1,138.4,1613902
2024-01-15 09:15:00,139.0,139.05,134.1,134.8,1643333
2024-01-16 09:15:00,135.7,136.7,130.6,133.55,1425938
2024-01-17 09:15:00,130.0,133.3,127.5,128.8,1791975
2024-01-18 09:15:00,127.5,138.7,127.0,135.2,9955538
2024-01-19 09:15:00,136.3,139.65,134.15,137.4,2590489
2024-01-23 09:15:00,137.4,141.3,132.4,135.95,2558035
2024-01-24 09:15:00,136.5,136.5,131.5,133.3,1194714
