datetime,open,high,low,close,volume
2023-05-10 09:15:00,298.0,300.9,296.12,299.2,40821
2023-05-11 09:15:00,300.0,302.16,298.83,300.28,43439
2023-05-12 09:15:00,301.36,301.55,297.64,298.39,32824
2023-05-15 09:15:00,299.18,300.45,296.09,299.43,59543
2023-05-16 09:15:00,298.64,300.22,297.4,299.01,138996
2023-05-17 09:15:00,299.01,300.45,296.91,297.68,29832
2023-05-18 09:15:00,297.68,299.9,297.27,297.47,26884
2023-05-19 09:15:00,298.82,298.82,294.18,296.65,15015
2023-05-22 09:15:00,296.9,299.64,296.0,298.0,23320
2023-05-23 09:15:00,297.03,300.27,297.02,299.23,37268
2023-05-24 09:15:00,298.43,301.44,298.18,300.52,42141
2023-05-25 09:15:00,301.36,302.91,299.56,301.86,34419
2023-05-26 09:15:00,302.72,304.31,301.91,303.03,31130
2023-05-29 09:15:00,303.64,310.34,302.73,307.49,87351
2023-05-30 09:15:00,307.73,308.82,304.45,305.06,48466
2023-05-31 09:15:00,305.45,310.45,303.91,308.93,48147
2023-06-01 09:15:00,310.45,310.45,304.64,304.9,45782
2023-06-02 09:15:00,306.42,308.26,304.55,307.58,27478
2023-06-05 09:15:00,309.1,309.73,304.55,306.11,26576
2023-06-06 09:15:00,308.91,308.91,300.6,306.1,51029
2023-06-07 09:15:00,307.24,308.73,305.46,308.04,29084
2023-06-08 09:15:00,308.18,309.55,306.14,308.36,43241
2023-06-09 09:15:00,310.89,313.09,308.91,309.44,75746
2023-06-12 09:15:00,310.91,312.45,306.82,306.89,41107
2023-06-13 09:15:00,306.82,309.45,306.82,308.9,24244
2023-06-14 09:15:00,308.9,315.4,307.27,314.23,72325
2023-06-15 09:15:00,315.45,315.91,312.1,314.15,85580
2023-06-16 09:15:00,314.55,318.09,313.82,314.56,36465
2023-06-19 09:15:00,317.7,317.7,311.75,312.02,26884
2023-06-20 09:15:00,310.46,317.28,310.0,316.74,48895
2023-06-21 09:15:00,314.09,320.0,314.09,319.36,73733
2023-06-22 09:15:00,320.36,323.63,318.19,320.49,52151
2023-06-23 09:15:00,322.09,322.09,313.64,315.51,35607
2023-06-26 09:15:00,316.82,316.82,313.37,313.96,19591
2023-06-27 09:15:00,313.96,316.38,312.82,315.05,21153
2023-06-28 09:15:00,315.0,317.0,313.73,314.66,26598
2023-06-30 09:15:00,316.24,316.91,313.82,314.6,27797
2023-07-03 09:15:00,314.6,326.82,313.87,323.84,94402
2023-07-04 09:15:00,325.0,326.55,317.75,320.04,54318
2023-07-05 09:15:00,321.64,331.73,321.64,329.1,121110
2023-07-06 09:15:00,330.75,331.27,326.15,327.69,52250
2023-07-07 09:15:00,331.34,331.34,322.82,326.5,45221
2023-07-10 09:15:00,327.27,329.18,325.1,326.22,37697
2023-07-11 09:15:00,326.22,327.26,325.0,326.24,41844
2023-07-12 09:15:00,326.24,329.18,325.0,327.61,54483
2023-07-13 09:15:00,325.46,327.7,325.0,326.64,46046
2023-07-14 09:15:00,326.64,327.27,323.65,325.66,57354
2023-07-17 09:15:00,325.66,329.99,324.0,328.33,151250
2023-07-18 09:15:00,330.26,330.81,324.55,326.05,69278
2023-07-19 09:15:00,327.69,329.09,326.27,327.13,47575
2023-07-20 09:15:00,328.09,332.27,327.27,328.64,74602
2023-07-21 09:15:00,330.29,333.45,329.09,332.0,128722
2023-07-24 09:15:00,331.82,336.31,331.7,334.9,133672
2023-07-25 09:15:00,336.36,336.36,333.08,334.92,86757
2023-07-26 09:15:00,336.36,336.36,332.72,334.6,61985
2023-07-27 09:15:00,336.28,336.36,333.0,334.48,47542
2023-07-28 09:15:00,336.36,336.82,333.28,336.3,77484
2023-07-31 09:15:00,337.18,347.36,336.36,345.6,173382
2023-08-01 09:15:00,347.9,350.18,345.46,348.27,148027
2023-08-02 09:15:00,350.0,351.09,343.73,345.69,195415
2023-08-03 09:15:00,349.09,349.99,339.97,341.11,151085
2023-08-04 09:15:00,329.91,331.72,324.55,324.86,135553
2023-08-07 09:15:00,321.18,324.55,314.51,318.91,163977
2023-08-08 09:15:00,320.64,320.73,316.32,318.14,63745
2023-08-09 09:15:00,318.13,319.54,315.15,318.11,66594
2023-08-10 09:15:00,316.36,319.63,316.36,318.2,47344
2023-08-11 09:15:00,318.53,318.53,313.64,314.87,48246
2023-08-14 09:15:00,313.64,316.45,309.41,313.7,65670
2023-08-16 09:15:00,313.7,315.0,310.73,314.08,32560
2023-08-17 09:15:00,315.65,316.37,309.09,309.58,60137
2023-08-18 09:15:00,311.13,314.84,309.97,314.19,87868
2023-08-21 09:15:00,315.73,316.09,314.09,315.78,39006
2023-08-22 09:15:00,313.64,318.83,312.51,316.4,110033
2023-08-23 09:15:00,316.65,317.11,314.91,316.76,33704
2023-08-24 09:15:00,317.27,319.09,315.02,318.78,55682
2023-08-25 09:15:00,319.09,322.72,318.0,319.94,95183
2023-08-28 09:15:00,322.45,327.09,320.9,325.6,99737
2023-08-29 09:15:00,325.6,330.91,325.6,329.83,77715
2023-08-30 09:15:00,331.82,334.53,330.17,331.03,84689
2023-08-31 09:15:00,332.69,334.45,326.28,332.37,77583
2023-09-01 09:15:00,332.37,335.0,330.55,332.04,57816
2023-09-04 09:15:00,333.18,336.06,326.86,327.36,58872
2023-09-05 09:15:00,327.37,331.36,320.88,322.17,57761
2023-09-06 09:15:00,322.48,323.78,315.45,317.23,92433
2023-09-07 09:15:00,317.09,318.82,312.76,316.33,74448
2023-09-08 09:15:00,317.91,319.18,316.02,318.03,38093
2023-09-11 09:15:00,317.45,321.73,317.45,320.69,71720
2023-09-12 09:15:00,320.73,322.3,307.95,319.4,91872
2023-09-13 09:15:00,319.55,320.52,316.83,318.9,35970
2023-09-14 09:15:00,318.23,322.73,317.19,322.05,44979
2023-09-15 09:15:00,322.73,325.45,319.1,322.42,42757
2023-09-18 09:15:00,326.27,326.59,320.07,324.36,58641
2023-09-20 09:15:00,325.99,325.99,321.82,325.26,42295
2023-09-21 09:15:00,322.37,325.45,321.55,322.83,25344
2023-09-22 09:15:00,323.18,324.54,321.93,323.45,39303
2023-09-25 09:15:00,325.06,325.06,319.55,323.5,18458
2023-09-26 09:15:00,323.64,325.11,316.36,316.85,31966
2023-09-27 09:15:00,317.27,320.18,315.76,318.58,26906
2023-09-28 09:15:00,319.73,319.73,308.18,310.55,81631
2023-09-29 09:15:00,310.55,315.3,310.55,313.39,25729
2023-10-03 09:15:00,312.0,314.45,310.69,311.4,43824
2023-10-04 09:15:00,310.92,314.09,306.82,308.78,72094
2023-10-05 09:15:00,310.0,311.32,307.75,309.01,35299
2023-10-06 09:15:00,309.4,312.55,304.52,306.92,62007
2023-10-09 09:15:00,301.36,307.04,300.5,303.04,54879
2023-10-10 09:15:00,303.04,306.9,303.04,305.4,23320
2023-10-11 09:15:00,305.91,312.55,305.91,307.62,56254
2023-10-12 09:15:00,309.09,311.82,305.0,305.5,60005
2023-10-13 09:15:00,305.5,309.12,304.09,304.84,38962
2023-10-16 09:15:00,306.37,308.91,304.82,305.29,29909
2023-10-17 09:15:00,306.82,309.09,305.55,307.64,68123
2023-10-18 09:15:00,304.55,304.55,298.64,300.76,125598
2023-10-19 09:15:00,300.0,302.23,300.0,300.37,30844
2023-10-20 09:15:00,300.59,301.73,298.64,300.14,25883
2023-10-23 09:15:00,301.36,301.36,293.23,294.76,39094
2023-10-25 09:15:00,293.45,296.72,291.18,292.71,50985
2023-10-26 09:15:00,292.71,292.71,287.18,289.32,46838
2023-10-27 09:15:00,290.73,298.17,288.99,297.26,41888
2023-10-30 09:15:00,298.64,298.64,292.27,293.3,22385
2023-10-31 09:15:00,294.07,296.72,290.91,291.85,25113
2023-11-01 09:15:00,292.55,294.55,290.82,291.63,16291
2023-11-02 09:15:00,292.38,294.13,290.45,291.11,23012
2023-11-03 09:15:00,294.73,294.73,290.0,290.53,25949
2023-11-06 09:15:00,291.95,293.64,289.36,290.38,32956
2023-11-07 09:15:00,291.84,292.45,289.1,289.89,39831
2023-11-08 09:15:00,291.18,291.63,289.37,289.85,20933
2023-11-09 09:15:00,291.3,291.45,289.27,289.79,19382
2023-11-10 09:15:00,289.73,290.9,288.64,289.14,37114
2023-11-13 09:15:00,290.91,291.45,289.09,289.34,29348
2023-11-15 09:15:00,291.18,291.81,288.92,289.72,29425
2023-11-16 09:15:00,291.36,291.36,288.62,290.9,40656
2023-11-17 09:15:00,291.0,291.27,290.0,290.27,35541
2023-11-20 09:15:00,290.73,291.73,290.0,290.81,28864
2023-11-21 09:15:00,291.55,297.0,290.18,296.52,48312
2023-11-22 09:15:00,297.45,297.45,295.35,296.83,22341
2023-11-23 09:15:00,297.45,299.81,296.07,298.0,22319
2023-11-24 09:15:00,298.18,299.09,295.0,297.43,22627
2023-11-28 09:15:00,295.37,298.64,291.51,292.69,39303
2023-11-29 09:15:00,294.55,303.91,293.4,300.86,64350
2023-11-30 09:15:00,300.91,303.27,295.78,301.69,79783
2023-12-01 09:15:00,301.82,303.6,297.55,298.42,72974
2023-12-04 09:15:00,298.45,301.34,296.64,298.35,51480
2023-12-05 09:15:00,299.54,304.09,298.0,301.78,69399
2023-12-06 09:15:00,302.43,302.43,296.67,298.1,47971
2023-12-07 09:15:00,298.64,301.27,297.27,299.16,33308
2023-12-08 09:15:00,301.27,301.27,297.77,298.66,33429
2023-12-11 09:15:00,300.45,302.01,298.61,301.07,30305
2023-12-12 09:15:00,301.82,302.27,297.74,298.61,36179
2023-12-13 09:15:00,299.64,302.25,295.55,300.07,35937
2023-12-14 09:15:00,301.82,301.82,299.09,300.86,25971
2023-12-15 09:15:00,300.91,303.18,299.69,302.45,36410
2023-12-18 09:15:00,302.55,309.0,302.55,305.42,461890
2023-12-19 09:15:00,307.27,309.0,305.82,306.6,38764
2023-12-20 09:15:00,306.82,308.64,304.01,305.04,798204
2023-12-21 09:15:00,305.04,305.09,297.13,304.16,312840
2023-12-22 09:15:00,304.27,310.0,304.27,308.98,76010
2023-12-26 09:15:00,310.45,312.73,308.18,309.96,68101
2023-12-27 09:15:00,309.91,310.66,304.69,307.54,41767
2023-12-28 09:15:00,307.73,309.09,304.55,307.82,37554
