datetime,open,high,low,close,volume
2023-05-08 09:15:00,192.8,194.9,179.3,186.2,48946167
2023-05-15 09:15:00,188.0,191.6,183.65,185.75,27539788
2023-05-22 09:15:00,186.8,192.9,175.55,190.8,69171460
2023-05-29 09:15:00,192.0,196.8,190.35,193.5,35393116
2023-06-05 09:15:00,194.0,202.5,193.5,194.05,39284349
2023-06-12 09:15:00,194.95,199.25,182.0,187.15,81452920
2023-06-19 09:15:00,186.0,188.75,170.1,176.65,122172462
2023-06-26 09:15:00,176.75,182.05,174.6,177.35,30732761
2023-07-03 09:15:00,177.5,208.25,176.3,206.15,98029841
2023-07-10 09:15:00,207.65,217.4,194.45,216.0,96288729
2023-07-17 09:15:00,215.6,234.35,213.6,220.65,101885132
2023-07-24 09:15:00,221.8,247.2,215.85,245.15,77957802
2023-07-31 09:15:00,245.0,246.85,225.0,234.35,59020539
2023-08-07 09:15:00,234.05,290.7,230.5,270.9,197746104
2023-08-14 09:15:00,272.0,279.7,265.7,273.7,57594800
2023-08-21 09:15:00,275.0,280.7,261.5,265.75,57796933
2023-08-28 09:15:00,266.0,271.0,260.1,262.55,51403464
2023-09-04 09:15:00,264.0,285.75,262.7,277.15,77053272
2023-09-11 09:15:00,278.05,282.35,267.55,274.15,45427465
2023-09-18 09:15:00,274.5,274.6,261.3,265.5,21844292
2023-09-25 09:15:00,266.45,270.0,252.95,264.55,47201323
2023-10-02 09:15:00,264.55,266.6,255.1,260.65,17890826
2023-10-09 09:15:00,257.55,266.5,255.45,258.4,21950711
2023-10-16 09:15:00,258.2,265.4,253.6,261.5,34014540
2023-10-23 09:15:00,261.45,261.6,237.0,249.15,26621528
2023-10-30 09:15:00,249.6,276.8,247.1,275.3,59878027
2023-11-06 09:15:00,274.8,275.2,245.85,252.0,55996770
2023-11-13 09:15:00,252.0,254.5,244.0,246.1,30633675
2023-11-20 09:15:00,247.35,256.85,242.15,252.85,37868340
2023-11-27 09:15:00,253.65,269.9,244.1,266.55,99238981
2023-12-04 09:15:00,267.0,283.85,249.05,278.95,148584090
2023-12-11 09:15:00,280.1,299.7,259.1,277.6,167680937
2023-12-18 09:15:00,270.85,282.0,248.15,267.55,134959827
2023-12-25 09:15:00,267.8,278.25,261.15,274.7,58759367
2024-01-01 09:15:00,275.1,293.2,274.15,283.05,92255843
2024-01-08 09:15:00,286.1,286.6,240.3,249.95,261979666
2024-01-15 09:15:00,251.95,264.0,229.05,231.4,213849829
2024-01-22 09:15:00,208.3,208.3,152.5,163.2,413046284
2024-01-29 09:15:00,164.0,179.0,161.05,172.9,149933979
2024-02-05 09:15:00,178.2,206.4,174.55,203.25,189304943
2024-02-12 09:15:00,206.0,209.7,180.0,183.75,123537682
2024-02-19 09:15:00,184.0,205.25,163.4,173.45,266949513
2024-02-26 09:15:00,174.55,176.95,154.5,158.4,175436785
2024-03-04 09:15:00,159.0,163.0,150.0,160.6,68560690
2024-03-11 09:15:00,161.1,164.4,141.0,141.7,95633837
2024-03-18 09:15:00,142.0,145.55,138.35,142.45,63380822
2024-03-25 09:15:00,142.7,145.6,138.0,138.55,119733129
2024-04-01 09:15:00,141.9,157.25,138.95,152.35,99808311
2024-04-08 09:15:00,153.75,154.9,145.8,146.55,36396575
2024-04-15 09:15:00,144.3,149.75,141.05,142.85,36383531
2024-04-22 09:15:00,144.3,149.0,139.5,145.9,78058422
2024-04-29 09:15:00,147.0,152.65,140.8,143.1,57728204
2024-05-06 09:15:00,145.0,145.2,130.15,131.25,80856494
2024-05-13 09:15:00,131.8,141.65,129.25,140.85,52183262
2024-05-20 09:15:00,140.95,152.95,139.05,151.65,76917222
2024-05-27 09:15:00,152.2,156.0,145.85,148.9,97837385
2024-06-03 09:15:00,160.0,160.2,125.5,156.25,124400101
2024-06-10 09:15:00,157.0,168.7,154.0,163.98,110814900
2024-06-17 09:15:00,164.7,165.09,153.62,154.24,44061128
2024-06-24 09:15:00,154.1,160.25,148.1,151.79,158121080
2024-07-01 09:15:00,152.0,156.29,148.4,151.1,54189348
2024-07-08 09:15:00,151.1,159.39,145.9,155.5,77258116
2024-07-15 09:15:00,156.8,164.03,136.85,137.52,116087411
2024-07-22 09:15:00,137.52,144.5,129.77,142.62,68442165
2024-07-29 09:15:00,143.7,153.45,139.3,142.66,129169055
2024-08-05 09:15:00,139.5,141.3,133.65,137.53,55741803
2024-08-12 09:15:00,137.54,138.16,133.41,134.41,22409554
2024-08-19 09:15:00,135.5,142.7,134.4,136.64,49193671
2024-08-26 09:15:00,137.5,154.9,134.8,140.78,191703157
